"calibration_group","max_incidence","min_incidence","mean_incidence"
"HIV_neg_female",325.57633514446,221.3022833627,271.517619317512
"HIV_neg_male",375.98049849728,255.979323610401,313.954348023992
"HIV_pos_female",1064.8913415071,756.038512484301,897.24936264572
"HIV_pos_male",538.5549017788,378.185252750331,450.181516365922
