"year","TB_compartment","HIV_compartment","G_compartment","mort_adj","level","level_ref","mort_rate"
2014,5,2,2,10,1,"hiv_2_only_level_1",0.0335823946233321
2014,7,2,2,10,1,"hiv_2_only_level_1",0.0335823946233321
2014,8,2,2,10,1,"hiv_2_only_level_1",0.0335823946233321
2015,1,2,2,10,1,"hiv_2_only_level_1",0.0325996925327156
2015,2,2,2,10,1,"hiv_2_only_level_1",0.0325996925327156
2015,3,2,2,10,1,"hiv_2_only_level_1",0.0325996925327156
2015,4,2,2,10,1,"hiv_2_only_level_1",0.0325996925327156
2015,5,2,2,10,1,"hiv_2_only_level_1",0.0325996925327156
2015,7,2,2,10,1,"hiv_2_only_level_1",0.0325996925327156
2015,8,2,2,10,1,"hiv_2_only_level_1",0.0325996925327156
2016,1,2,2,10,1,"hiv_2_only_level_1",0.0310455557708556
2016,2,2,2,10,1,"hiv_2_only_level_1",0.0310455557708556
2016,3,2,2,10,1,"hiv_2_only_level_1",0.0310455557708556
2016,4,2,2,10,1,"hiv_2_only_level_1",0.0310455557708556
2016,5,2,2,10,1,"hiv_2_only_level_1",0.0310455557708556
2016,7,2,2,10,1,"hiv_2_only_level_1",0.0310455557708556
2016,8,2,2,10,1,"hiv_2_only_level_1",0.0310455557708556
2017,1,2,2,10,1,"hiv_2_only_level_1",0.0303151618158376
2017,2,2,2,10,1,"hiv_2_only_level_1",0.0303151618158376
2017,3,2,2,10,1,"hiv_2_only_level_1",0.0303151618158376
2017,4,2,2,10,1,"hiv_2_only_level_1",0.0303151618158376
2017,5,2,2,10,1,"hiv_2_only_level_1",0.0303151618158376
2017,7,2,2,10,1,"hiv_2_only_level_1",0.0303151618158376
2017,8,2,2,10,1,"hiv_2_only_level_1",0.0303151618158376
2018,1,2,2,10,1,"hiv_2_only_level_1",0.0303258936415776
2018,2,2,2,10,1,"hiv_2_only_level_1",0.0303258936415776
2018,3,2,2,10,1,"hiv_2_only_level_1",0.0303258936415776
2018,4,2,2,10,1,"hiv_2_only_level_1",0.0303258936415776
2018,5,2,2,10,1,"hiv_2_only_level_1",0.0303258936415776
2018,7,2,2,10,1,"hiv_2_only_level_1",0.0303258936415776
2018,8,2,2,10,1,"hiv_2_only_level_1",0.0303258936415776
2019,1,2,2,10,1,"hiv_2_only_level_1",0.0308259093033416
2019,2,2,2,10,1,"hiv_2_only_level_1",0.0308259093033416
2019,3,2,2,10,1,"hiv_2_only_level_1",0.0308259093033416
2019,4,2,2,10,1,"hiv_2_only_level_1",0.0308259093033416
2019,5,2,2,10,1,"hiv_2_only_level_1",0.0308259093033416
2019,7,2,2,10,1,"hiv_2_only_level_1",0.0308259093033416
2019,8,2,2,10,1,"hiv_2_only_level_1",0.0308259093033416
1990,1,1,1,1,0,"base",0.00673270195911744
1990,2,1,1,1,0,"base",0.00673270195911744
1990,3,1,1,1,0,"base",0.00673270195911744
1990,4,1,1,1,0,"base",0.00673270195911744
1990,5,1,1,1,0,"base",0.00673270195911744
1990,7,1,1,1,0,"base",0.00673270195911744
1990,8,1,1,1,0,"base",0.00673270195911744
1991,1,1,1,1,0,"base",0.00684431344516034
1991,2,1,1,1,0,"base",0.00684431344516034
1991,3,1,1,1,0,"base",0.00684431344516034
1991,4,1,1,1,0,"base",0.00684431344516034
1991,5,1,1,1,0,"base",0.00684431344516034
1991,7,1,1,1,0,"base",0.00684431344516034
1991,8,1,1,1,0,"base",0.00684431344516034
1992,1,1,1,1,0,"base",0.00710171239497655
1992,2,1,1,1,0,"base",0.00710171239497655
1992,3,1,1,1,0,"base",0.00710171239497655
1992,4,1,1,1,0,"base",0.00710171239497655
1992,5,1,1,1,0,"base",0.00710171239497655
1992,7,1,1,1,0,"base",0.00710171239497655
1992,8,1,1,1,0,"base",0.00710171239497655
1993,1,1,1,1,0,"base",0.00680029557211367
1993,2,1,1,1,0,"base",0.00680029557211367
1993,3,1,1,1,0,"base",0.00680029557211367
1993,4,1,1,1,0,"base",0.00680029557211367
1993,5,1,1,1,0,"base",0.00680029557211367
1993,7,1,1,1,0,"base",0.00680029557211367
1993,8,1,1,1,0,"base",0.00680029557211367
1994,1,1,1,1,0,"base",0.00694589120001642
1994,2,1,1,1,0,"base",0.00694589120001642
1994,3,1,1,1,0,"base",0.00694589120001642
1994,4,1,1,1,0,"base",0.00694589120001642
1994,5,1,1,1,0,"base",0.00694589120001642
1994,7,1,1,1,0,"base",0.00694589120001642
1994,8,1,1,1,0,"base",0.00694589120001642
1995,1,1,1,1,0,"base",0.00724053548974303
1995,2,1,1,1,0,"base",0.00724053548974303
1995,3,1,1,1,0,"base",0.00724053548974303
1995,4,1,1,1,0,"base",0.00724053548974303
1995,5,1,1,1,0,"base",0.00724053548974303
1995,7,1,1,1,0,"base",0.00724053548974303
1995,8,1,1,1,0,"base",0.00724053548974303
1996,1,1,1,1,0,"base",0.00730117688101001
1996,2,1,1,1,0,"base",0.00730117688101001
1996,3,1,1,1,0,"base",0.00730117688101001
1996,4,1,1,1,0,"base",0.00730117688101001
1996,5,1,1,1,0,"base",0.00730117688101001
1996,7,1,1,1,0,"base",0.00730117688101001
1996,8,1,1,1,0,"base",0.00730117688101001
1997,1,1,1,1,0,"base",0.00807833696534315
1997,2,1,1,1,0,"base",0.00807833696534315
1997,3,1,1,1,0,"base",0.00807833696534315
1997,4,1,1,1,0,"base",0.00807833696534315
1997,5,1,1,1,0,"base",0.00807833696534315
1997,7,1,1,1,0,"base",0.00807833696534315
1997,8,1,1,1,0,"base",0.00807833696534315
1998,1,1,1,1,0,"base",0.00849202948610389
1998,2,1,1,1,0,"base",0.00849202948610389
1998,3,1,1,1,0,"base",0.00849202948610389
1998,4,1,1,1,0,"base",0.00849202948610389
1998,5,1,1,1,0,"base",0.00849202948610389
1998,7,1,1,1,0,"base",0.00849202948610389
1998,8,1,1,1,0,"base",0.00849202948610389
1999,1,1,1,1,0,"base",0.00827155923908419
1999,2,1,1,1,0,"base",0.00827155923908419
1999,3,1,1,1,0,"base",0.00827155923908419
1999,4,1,1,1,0,"base",0.00827155923908419
1999,5,1,1,1,0,"base",0.00827155923908419
1999,7,1,1,1,0,"base",0.00827155923908419
1999,8,1,1,1,0,"base",0.00827155923908419
2000,1,1,1,1,0,"base",0.00854606802239241
2000,2,1,1,1,0,"base",0.00854606802239241
2000,3,1,1,1,0,"base",0.00854606802239241
2000,4,1,1,1,0,"base",0.00854606802239241
2000,5,1,1,1,0,"base",0.00854606802239241
2000,7,1,1,1,0,"base",0.00854606802239241
2000,8,1,1,1,0,"base",0.00854606802239241
2001,1,1,1,1,0,"base",0.00840656846144198
2001,2,1,1,1,0,"base",0.00840656846144198
2001,3,1,1,1,0,"base",0.00840656846144198
2001,4,1,1,1,0,"base",0.00840656846144198
2001,5,1,1,1,0,"base",0.00840656846144198
2001,7,1,1,1,0,"base",0.00840656846144198
2001,8,1,1,1,0,"base",0.00840656846144198
2002,1,1,1,1,0,"base",0.00849250138829641
2002,2,1,1,1,0,"base",0.00849250138829641
2002,3,1,1,1,0,"base",0.00849250138829641
2002,4,1,1,1,0,"base",0.00849250138829641
2002,5,1,1,1,0,"base",0.00849250138829641
2002,7,1,1,1,0,"base",0.00849250138829641
2002,8,1,1,1,0,"base",0.00849250138829641
2003,1,1,1,1,0,"base",0.00864253880812352
2003,2,1,1,1,0,"base",0.00864253880812352
2003,3,1,1,1,0,"base",0.00864253880812352
2003,4,1,1,1,0,"base",0.00864253880812352
2003,5,1,1,1,0,"base",0.00864253880812352
2003,7,1,1,1,0,"base",0.00864253880812352
2003,8,1,1,1,0,"base",0.00864253880812352
2004,1,1,1,1,0,"base",0.00852047520428575
2004,2,1,1,1,0,"base",0.00852047520428575
2004,3,1,1,1,0,"base",0.00852047520428575
2004,4,1,1,1,0,"base",0.00852047520428575
2004,5,1,1,1,0,"base",0.00852047520428575
2004,7,1,1,1,0,"base",0.00852047520428575
2004,8,1,1,1,0,"base",0.00852047520428575
2005,1,1,1,1,0,"base",0.00839470012922541
2005,2,1,1,1,0,"base",0.00839470012922541
2005,3,1,1,1,0,"base",0.00839470012922541
2005,4,1,1,1,0,"base",0.00839470012922541
2005,5,1,1,1,0,"base",0.00839470012922541
2005,7,1,1,1,0,"base",0.00839470012922541
2005,8,1,1,1,0,"base",0.00839470012922541
2006,1,1,1,1,0,"base",0.00834297233320486
2006,2,1,1,1,0,"base",0.00834297233320486
2006,3,1,1,1,0,"base",0.00834297233320486
2006,4,1,1,1,0,"base",0.00834297233320486
2006,5,1,1,1,0,"base",0.00834297233320486
2006,7,1,1,1,0,"base",0.00834297233320486
2006,8,1,1,1,0,"base",0.00834297233320486
2007,1,1,1,1,0,"base",0.00800358564389617
2007,2,1,1,1,0,"base",0.00800358564389617
2007,3,1,1,1,0,"base",0.00800358564389617
2007,4,1,1,1,0,"base",0.00800358564389617
2007,5,1,1,1,0,"base",0.00800358564389617
2007,7,1,1,1,0,"base",0.00800358564389617
2007,8,1,1,1,0,"base",0.00800358564389617
2008,1,1,1,1,0,"base",0.00777042428525287
2008,2,1,1,1,0,"base",0.00777042428525287
2008,3,1,1,1,0,"base",0.00777042428525287
2008,4,1,1,1,0,"base",0.00777042428525287
2008,5,1,1,1,0,"base",0.00777042428525287
2008,7,1,1,1,0,"base",0.00777042428525287
2008,8,1,1,1,0,"base",0.00777042428525287
2009,1,1,1,1,0,"base",0.00746143005421211
2009,2,1,1,1,0,"base",0.00746143005421211
2009,3,1,1,1,0,"base",0.00746143005421211
2009,4,1,1,1,0,"base",0.00746143005421211
2009,5,1,1,1,0,"base",0.00746143005421211
2009,7,1,1,1,0,"base",0.00746143005421211
2009,8,1,1,1,0,"base",0.00746143005421211
2010,1,1,1,1,0,"base",0.00704055428970849
2010,2,1,1,1,0,"base",0.00704055428970849
2010,3,1,1,1,0,"base",0.00704055428970849
2010,4,1,1,1,0,"base",0.00704055428970849
2010,5,1,1,1,0,"base",0.00704055428970849
2010,7,1,1,1,0,"base",0.00704055428970849
2010,8,1,1,1,0,"base",0.00704055428970849
2011,1,1,1,1,0,"base",0.0064864438932534
2011,2,1,1,1,0,"base",0.0064864438932534
2011,3,1,1,1,0,"base",0.0064864438932534
2011,4,1,1,1,0,"base",0.0064864438932534
2011,5,1,1,1,0,"base",0.0064864438932534
2011,7,1,1,1,0,"base",0.0064864438932534
2011,8,1,1,1,0,"base",0.0064864438932534
2012,1,1,1,1,0,"base",0.00627657791962041
2012,2,1,1,1,0,"base",0.00627657791962041
2012,3,1,1,1,0,"base",0.00627657791962041
2012,4,1,1,1,0,"base",0.00627657791962041
2012,5,1,1,1,0,"base",0.00627657791962041
2012,7,1,1,1,0,"base",0.00627657791962041
2012,8,1,1,1,0,"base",0.00627657791962041
2013,1,1,1,1,0,"base",0.00615042525000677
2013,2,1,1,1,0,"base",0.00615042525000677
2013,3,1,1,1,0,"base",0.00615042525000677
2013,4,1,1,1,0,"base",0.00615042525000677
2013,5,1,1,1,0,"base",0.00615042525000677
2013,7,1,1,1,0,"base",0.00615042525000677
2013,8,1,1,1,0,"base",0.00615042525000677
2014,1,1,1,1,0,"base",0.00613888289338426
2014,2,1,1,1,0,"base",0.00613888289338426
2014,3,1,1,1,0,"base",0.00613888289338426
2014,4,1,1,1,0,"base",0.00613888289338426
2014,5,1,1,1,0,"base",0.00613888289338426
2014,7,1,1,1,0,"base",0.00613888289338426
2014,8,1,1,1,0,"base",0.00613888289338426
2015,1,1,1,1,0,"base",0.00605792378175959
2015,2,1,1,1,0,"base",0.00605792378175959
2015,3,1,1,1,0,"base",0.00605792378175959
2015,4,1,1,1,0,"base",0.00605792378175959
2015,5,1,1,1,0,"base",0.00605792378175959
2015,7,1,1,1,0,"base",0.00605792378175959
2015,8,1,1,1,0,"base",0.00605792378175959
2016,1,1,1,1,0,"base",0.00577175965752567
2016,2,1,1,1,0,"base",0.00577175965752567
2016,3,1,1,1,0,"base",0.00577175965752567
2016,4,1,1,1,0,"base",0.00577175965752567
2016,5,1,1,1,0,"base",0.00577175965752567
2016,7,1,1,1,0,"base",0.00577175965752567
2016,8,1,1,1,0,"base",0.00577175965752567
2017,1,1,1,1,0,"base",0.00576700697609108
2017,2,1,1,1,0,"base",0.00576700697609108
2017,3,1,1,1,0,"base",0.00576700697609108
2017,4,1,1,1,0,"base",0.00576700697609108
2017,5,1,1,1,0,"base",0.00576700697609108
2017,7,1,1,1,0,"base",0.00576700697609108
2017,8,1,1,1,0,"base",0.00576700697609108
2018,1,1,1,1,0,"base",0.00586379752564883
2018,2,1,1,1,0,"base",0.00586379752564883
2018,3,1,1,1,0,"base",0.00586379752564883
2018,4,1,1,1,0,"base",0.00586379752564883
2018,5,1,1,1,0,"base",0.00586379752564883
2018,7,1,1,1,0,"base",0.00586379752564883
2018,8,1,1,1,0,"base",0.00586379752564883
2019,1,1,1,1,0,"base",0.00593494481385352
2019,2,1,1,1,0,"base",0.00593494481385352
2019,3,1,1,1,0,"base",0.00593494481385352
2019,4,1,1,1,0,"base",0.00593494481385352
2019,5,1,1,1,0,"base",0.00593494481385352
2019,7,1,1,1,0,"base",0.00593494481385352
2019,8,1,1,1,0,"base",0.00593494481385352
1990,1,1,2,1,0,"base",0.00385925684980931
1990,2,1,2,1,0,"base",0.00385925684980931
1990,3,1,2,1,0,"base",0.00385925684980931
1990,4,1,2,1,0,"base",0.00385925684980931
1990,5,1,2,1,0,"base",0.00385925684980931
1990,7,1,2,1,0,"base",0.00385925684980931
1990,8,1,2,1,0,"base",0.00385925684980931
1991,1,1,2,1,0,"base",0.00370396441596777
1991,2,1,2,1,0,"base",0.00370396441596777
1991,3,1,2,1,0,"base",0.00370396441596777
1991,4,1,2,1,0,"base",0.00370396441596777
1991,5,1,2,1,0,"base",0.00370396441596777
1991,7,1,2,1,0,"base",0.00370396441596777
1991,8,1,2,1,0,"base",0.00370396441596777
1992,1,1,2,1,0,"base",0.00407177485159761
1992,2,1,2,1,0,"base",0.00407177485159761
1992,3,1,2,1,0,"base",0.00407177485159761
1992,4,1,2,1,0,"base",0.00407177485159761
1992,5,1,2,1,0,"base",0.00407177485159761
1992,7,1,2,1,0,"base",0.00407177485159761
1992,8,1,2,1,0,"base",0.00407177485159761
1993,1,1,2,1,0,"base",0.00347819404808921
1993,2,1,2,1,0,"base",0.00347819404808921
1993,3,1,2,1,0,"base",0.00347819404808921
1993,4,1,2,1,0,"base",0.00347819404808921
1993,5,1,2,1,0,"base",0.00347819404808921
1993,7,1,2,1,0,"base",0.00347819404808921
1993,8,1,2,1,0,"base",0.00347819404808921
1994,1,1,2,1,0,"base",0.00361868033116745
1994,2,1,2,1,0,"base",0.00361868033116745
1994,3,1,2,1,0,"base",0.00361868033116745
1994,4,1,2,1,0,"base",0.00361868033116745
1994,5,1,2,1,0,"base",0.00361868033116745
1994,7,1,2,1,0,"base",0.00361868033116745
1994,8,1,2,1,0,"base",0.00361868033116745
1995,1,1,2,1,0,"base",0.00316205577681669
1995,2,1,2,1,0,"base",0.00316205577681669
1995,3,1,2,1,0,"base",0.00316205577681669
1995,4,1,2,1,0,"base",0.00316205577681669
1995,5,1,2,1,0,"base",0.00316205577681669
1995,7,1,2,1,0,"base",0.00316205577681669
1995,8,1,2,1,0,"base",0.00316205577681669
1996,1,1,2,1,0,"base",0.00295298008137317
1996,2,1,2,1,0,"base",0.00295298008137317
1996,3,1,2,1,0,"base",0.00295298008137317
1996,4,1,2,1,0,"base",0.00295298008137317
1996,5,1,2,1,0,"base",0.00295298008137317
1996,7,1,2,1,0,"base",0.00295298008137317
1996,8,1,2,1,0,"base",0.00295298008137317
1997,1,1,2,1,0,"base",0.00353684068880769
1997,2,1,2,1,0,"base",0.00353684068880769
1997,3,1,2,1,0,"base",0.00353684068880769
1997,4,1,2,1,0,"base",0.00353684068880769
1997,5,1,2,1,0,"base",0.00353684068880769
1997,7,1,2,1,0,"base",0.00353684068880769
1997,8,1,2,1,0,"base",0.00353684068880769
1998,1,1,2,1,0,"base",0.00366593194024464
1998,2,1,2,1,0,"base",0.00366593194024464
1998,3,1,2,1,0,"base",0.00366593194024464
1998,4,1,2,1,0,"base",0.00366593194024464
1998,5,1,2,1,0,"base",0.00366593194024464
1998,7,1,2,1,0,"base",0.00366593194024464
1998,8,1,2,1,0,"base",0.00366593194024464
1999,1,1,2,1,0,"base",0.00380369138125443
1999,2,1,2,1,0,"base",0.00380369138125443
1999,3,1,2,1,0,"base",0.00380369138125443
1999,4,1,2,1,0,"base",0.00380369138125443
1999,5,1,2,1,0,"base",0.00380369138125443
1999,7,1,2,1,0,"base",0.00380369138125443
1999,8,1,2,1,0,"base",0.00380369138125443
2000,1,1,2,1,0,"base",0.00427163802201743
2000,2,1,2,1,0,"base",0.00427163802201743
2000,3,1,2,1,0,"base",0.00427163802201743
2000,4,1,2,1,0,"base",0.00427163802201743
2000,5,1,2,1,0,"base",0.00427163802201743
2000,7,1,2,1,0,"base",0.00427163802201743
2000,8,1,2,1,0,"base",0.00427163802201743
2001,1,1,2,1,0,"base",0.00422268913011659
2001,2,1,2,1,0,"base",0.00422268913011659
2001,3,1,2,1,0,"base",0.00422268913011659
2001,4,1,2,1,0,"base",0.00422268913011659
2001,5,1,2,1,0,"base",0.00422268913011659
2001,7,1,2,1,0,"base",0.00422268913011659
2001,8,1,2,1,0,"base",0.00422268913011659
2002,1,1,2,1,0,"base",0.00448645371680449
2002,2,1,2,1,0,"base",0.00448645371680449
2002,3,1,2,1,0,"base",0.00448645371680449
2002,4,1,2,1,0,"base",0.00448645371680449
2002,5,1,2,1,0,"base",0.00448645371680449
2002,7,1,2,1,0,"base",0.00448645371680449
2002,8,1,2,1,0,"base",0.00448645371680449
2003,1,1,2,1,0,"base",0.00477108397094733
2003,2,1,2,1,0,"base",0.00477108397094733
2003,3,1,2,1,0,"base",0.00477108397094733
2003,4,1,2,1,0,"base",0.00477108397094733
2003,5,1,2,1,0,"base",0.00477108397094733
2003,7,1,2,1,0,"base",0.00477108397094733
2003,8,1,2,1,0,"base",0.00477108397094733
2004,1,1,2,1,0,"base",0.0048532954118272
2004,2,1,2,1,0,"base",0.0048532954118272
2004,3,1,2,1,0,"base",0.0048532954118272
2004,4,1,2,1,0,"base",0.0048532954118272
2004,5,1,2,1,0,"base",0.0048532954118272
2004,7,1,2,1,0,"base",0.0048532954118272
2004,8,1,2,1,0,"base",0.0048532954118272
2005,1,1,2,1,0,"base",0.00474770114342595
2005,2,1,2,1,0,"base",0.00474770114342595
2005,3,1,2,1,0,"base",0.00474770114342595
2005,4,1,2,1,0,"base",0.00474770114342595
2005,5,1,2,1,0,"base",0.00474770114342595
2005,7,1,2,1,0,"base",0.00474770114342595
2005,8,1,2,1,0,"base",0.00474770114342595
2006,1,1,2,1,0,"base",0.00473378585501047
2006,2,1,2,1,0,"base",0.00473378585501047
2006,3,1,2,1,0,"base",0.00473378585501047
2006,4,1,2,1,0,"base",0.00473378585501047
2006,5,1,2,1,0,"base",0.00473378585501047
2006,7,1,2,1,0,"base",0.00473378585501047
2006,8,1,2,1,0,"base",0.00473378585501047
2007,1,1,2,1,0,"base",0.00436395156467602
2007,2,1,2,1,0,"base",0.00436395156467602
2007,3,1,2,1,0,"base",0.00436395156467602
2007,4,1,2,1,0,"base",0.00436395156467602
2007,5,1,2,1,0,"base",0.00436395156467602
2007,7,1,2,1,0,"base",0.00436395156467602
2007,8,1,2,1,0,"base",0.00436395156467602
2008,1,1,2,1,0,"base",0.00419992212527495
2008,2,1,2,1,0,"base",0.00419992212527495
2008,3,1,2,1,0,"base",0.00419992212527495
2008,4,1,2,1,0,"base",0.00419992212527495
2008,5,1,2,1,0,"base",0.00419992212527495
2008,7,1,2,1,0,"base",0.00419992212527495
2008,8,1,2,1,0,"base",0.00419992212527495
2009,1,1,2,1,0,"base",0.00403304592264566
2009,2,1,2,1,0,"base",0.00403304592264566
2009,3,1,2,1,0,"base",0.00403304592264566
2009,4,1,2,1,0,"base",0.00403304592264566
2009,5,1,2,1,0,"base",0.00403304592264566
2009,7,1,2,1,0,"base",0.00403304592264566
2009,8,1,2,1,0,"base",0.00403304592264566
2010,1,1,2,1,0,"base",0.00384255818506672
2010,2,1,2,1,0,"base",0.00384255818506672
2010,3,1,2,1,0,"base",0.00384255818506672
2010,4,1,2,1,0,"base",0.00384255818506672
2010,5,1,2,1,0,"base",0.00384255818506672
2010,7,1,2,1,0,"base",0.00384255818506672
2010,8,1,2,1,0,"base",0.00384255818506672
2011,1,1,2,1,0,"base",0.00349467125680407
2011,2,1,2,1,0,"base",0.00349467125680407
2011,3,1,2,1,0,"base",0.00349467125680407
2011,4,1,2,1,0,"base",0.00349467125680407
2011,5,1,2,1,0,"base",0.00349467125680407
2011,7,1,2,1,0,"base",0.00349467125680407
2011,8,1,2,1,0,"base",0.00349467125680407
2012,1,1,2,1,0,"base",0.0033751467971321
2012,2,1,2,1,0,"base",0.0033751467971321
2012,3,1,2,1,0,"base",0.0033751467971321
2012,4,1,2,1,0,"base",0.0033751467971321
2012,5,1,2,1,0,"base",0.0033751467971321
2012,7,1,2,1,0,"base",0.0033751467971321
2012,8,1,2,1,0,"base",0.0033751467971321
2013,1,1,2,1,0,"base",0.00332770398395325
2013,2,1,2,1,0,"base",0.00332770398395325
2013,3,1,2,1,0,"base",0.00332770398395325
2013,4,1,2,1,0,"base",0.00332770398395325
2013,5,1,2,1,0,"base",0.00332770398395325
2013,7,1,2,1,0,"base",0.00332770398395325
2013,8,1,2,1,0,"base",0.00332770398395325
2014,1,1,2,1,0,"base",0.00335823946233321
2014,2,1,2,1,0,"base",0.00335823946233321
2014,3,1,2,1,0,"base",0.00335823946233321
2014,4,1,2,1,0,"base",0.00335823946233321
2014,5,1,2,1,0,"base",0.00335823946233321
2014,7,1,2,1,0,"base",0.00335823946233321
2014,8,1,2,1,0,"base",0.00335823946233321
2015,1,1,2,1,0,"base",0.00325996925327156
2015,2,1,2,1,0,"base",0.00325996925327156
2015,3,1,2,1,0,"base",0.00325996925327156
2015,4,1,2,1,0,"base",0.00325996925327156
2015,5,1,2,1,0,"base",0.00325996925327156
2015,7,1,2,1,0,"base",0.00325996925327156
2015,8,1,2,1,0,"base",0.00325996925327156
2016,1,1,2,1,0,"base",0.00310455557708556
2016,2,1,2,1,0,"base",0.00310455557708556
2016,3,1,2,1,0,"base",0.00310455557708556
2016,4,1,2,1,0,"base",0.00310455557708556
2016,5,1,2,1,0,"base",0.00310455557708556
2016,7,1,2,1,0,"base",0.00310455557708556
2016,8,1,2,1,0,"base",0.00310455557708556
2017,1,1,2,1,0,"base",0.00303151618158376
2017,2,1,2,1,0,"base",0.00303151618158376
2017,3,1,2,1,0,"base",0.00303151618158376
2017,4,1,2,1,0,"base",0.00303151618158376
2017,5,1,2,1,0,"base",0.00303151618158376
2017,7,1,2,1,0,"base",0.00303151618158376
2017,8,1,2,1,0,"base",0.00303151618158376
2018,1,1,2,1,0,"base",0.00303258936415776
2018,2,1,2,1,0,"base",0.00303258936415776
2018,3,1,2,1,0,"base",0.00303258936415776
2018,4,1,2,1,0,"base",0.00303258936415776
2018,5,1,2,1,0,"base",0.00303258936415776
2018,7,1,2,1,0,"base",0.00303258936415776
2018,8,1,2,1,0,"base",0.00303258936415776
2019,1,1,2,1,0,"base",0.00308259093033416
2019,2,1,2,1,0,"base",0.00308259093033416
2019,3,1,2,1,0,"base",0.00308259093033416
2019,4,1,2,1,0,"base",0.00308259093033416
2019,5,1,2,1,0,"base",0.00308259093033416
2019,7,1,2,1,0,"base",0.00308259093033416
2019,8,1,2,1,0,"base",0.00308259093033416
