"","year","sex_id","min_total","max_total","mean_total","expected_total_pop","min_rate","max_rate","expected_rate"
"1",1990,1,4394.57021367578,14073.1878826115,8286.08931513522,20.0255834251921,0.00219447799365857,0.00702760443169284,0.00413775176443117
"2",1990,2,8620.75289288834,23832.5028036691,15010.7612762296,23.1626229917295,0.00372183793517965,0.0102892072336448,0.00648059646853872
"3",1991,1,7496.75403089393,23219.7961560629,13821.8245208087,20.5492849295109,0.00364818243389473,0.0112995640654711,0.00672618272033354
"4",1991,2,14821.9438813067,39240.0665609592,24920.8485579803,23.754072088954,0.00623974863164582,0.0165193009493334,0.0104911900850755
"5",1992,1,11906.0989770484,36475.9581086941,21589.9676949718,21.0734972551646,0.00564979738905487,0.017308924886568,0.010245080554762
"6",1992,2,23518.8113289059,60263.5284069875,38705.1135291455,24.3527417164779,0.00965756201199813,0.0247460959872995,0.0158935342803542
"7",1993,1,17618.3254790015,52024.7242079313,31230.1515245222,21.6031460458838,0.00815544432351713,0.0240820129148939,0.0144562979198452
"8",1993,2,34665.2619814467,84523.445724502,55603.0513931997,24.9552246109348,0.013890983760674,0.033870040058652,0.0222811264014173
"9",1994,1,24012.9775300488,67814.9170239048,41596.9633893237,22.1391483054017,0.0108463872226692,0.0306312221628502,0.0187888724604525
"10",1994,2,47133.9774506909,109228.406962797,73468.6558291463,25.5706719798119,0.0184328270637171,0.0427162833456365,0.0287316093558863
"11",1995,1,30283.4294249151,81071.9041831117,51135.5066753126,22.6862082455198,0.0133488281061228,0.0357362073492921,0.0225403496793745
"12",1995,2,59017.4403841045,128110.825771895,89383.1038873823,26.1961716503775,0.0225290325516912,0.0489044076675414,0.0341206742268747
"13",1996,1,35222.1487224764,90675.4017728247,58391.6071025526,23.2652689877001,0.0151393687909208,0.0389745770060785,0.0250981869727889
"14",1996,2,67800.3544839772,139930.896654906,100733.513219349,26.8537229068941,0.0252480278876233,0.0521085650358675,0.0375119358938077
"15",1997,1,37809.6217767344,96386.7570803444,62554.0308662824,23.855110964875,0.015849694362104,0.0404050759697858,0.0262224858054062
"16",1997,2,71964.077886922,146525.388409526,106451.891955011,27.5433935626788,0.0261275277220862,0.0531980157332784,0.0386487931172189
"17",1998,1,38256.1864328132,99221.3034396755,63808.3467006027,24.4274929683661,0.0156611185938546,0.0406187010546552,0.026121529042393
"18",1998,2,70951.3443497432,149179.397290796,107239.291949964,28.2290993371921,0.0251341155104669,0.0528459641977493,0.0379889172761085
"19",1999,1,36932.8899414809,99080.810483995,62917.8166673687,24.995283462401,0.0147759436283397,0.0396398026983917,0.0251718756308615
"20",1999,2,67598.5766806127,147773.192652136,104616.832394529,28.9041651627475,0.0233871403308114,0.0511252242782609,0.0361943795316263
"21",2000,1,35118.5192875848,96457.58645753,60895.6703200043,25.5619786840764,0.0137385762352824,0.0377347887069545,0.0238227529537604
"22",2000,2,63693.3954366011,143195.474228718,100171.188384609,29.5504384566065,0.0215541287247335,0.0484579863134667,0.0338983763410842
"23",2001,1,33591.1456590881,92681.5834354163,58381.1469422987,26.1077844405983,0.0128663333097131,0.0354995973121694,0.0223615860913553
"24",2001,2,60241.1504644148,136196.878711002,94891.6724413523,30.1381721652636,0.019988322494835,0.0451908224440959,0.0314855432907513
"25",2002,1,32227.5112837098,88105.4485224456,55726.9360817355,26.6116208235734,0.0121103150752703,0.033107885125283,0.0209408274870544
"26",2002,2,57462.0417315189,128260.423537038,89587.0193016956,30.6563528282594,0.018743926276367,0.0418381221848431,0.0292229867667471
"27",2003,1,31179.1854096313,84499.9399562794,53482.3754858123,27.0654694557644,0.01151991302445,0.0312205705851086,0.0197603723716019
"28",2003,2,54986.4259462531,121722.387230306,85230.9547574148,31.0917254138735,0.017685228212429,0.0391494475169884,0.0274127452313675
"29",2004,1,30500.6142532568,81391.6337571304,51927.3567210859,27.4709246042431,0.011102871378616,0.029628283332174,0.0189026607109778
"30",2004,2,53401.302491211,116960.592085692,82169.7572903444,31.4511368862534,0.0169791326413232,0.0371880331412799,0.0261261644014716
"31",2005,1,30042.9373741624,79817.1260307531,51036.9345971673,27.8354201091017,0.0107930605165678,0.0286746618940571,0.0183352485420111
"32",2005,2,51892.9179644402,113653.668768948,80157.8661558146,31.7525685423232,0.0163429040064182,0.0357935354481508,0.0252445297611032
"33",2006,1,29951.0982331639,79057.6091402795,50598.5566479644,28.1427312168087,0.010642569835324,0.028091661939713,0.0179792630140118
"34",2006,2,51313.9867498668,111806.053166826,78881.1518905619,31.959378089866,0.0160560029064327,0.0349838012656069,0.0246816917615723
"35",2007,1,29843.1460942167,78645.2395176823,50414.5779460588,28.4206080481679,0.0105005304755049,0.0276719060283272,0.0177387400933207
"36",2007,2,50942.4473427912,110419.970036958,78100.9341180661,32.1392248304609,0.0158505525915824,0.034356762062383,0.024300814512503
"37",2008,1,30109.8972438065,78459.3746995656,50562.0705144225,28.6674541924643,0.0105031639857722,0.0273687974428472,0.0176374470418491
"38",2008,2,50833.305537394,109729.661700022,77828.5466779653,32.2975941406099,0.0157390378107073,0.0339745620749042,0.0240973201716304
"39",2009,1,30683.350636135,78501.8160722784,50892.4168756365,28.8889903833888,0.0106211225207019,0.0271736100952206,0.0176165439498709
"40",2009,2,51307.4164586658,109118.759982553,77727.667685641,32.4482040471053,0.0158120974535855,0.0336285976950047,0.0239543820584964
"41",2010,1,30957.3459133641,78165.9474231803,50932.7286850543,29.0979968631573,0.0106389955497456,0.0268629994672076,0.017503860806839
"42",2010,2,50923.6846545114,108037.099191719,77088.6666059655,32.5991576372722,0.0156211658046918,0.033141070819632,0.0236474412816809
"43",2011,1,30673.1560404213,77435.5475692726,50412.5966459013,29.3148891619202,0.0104633368630523,0.0264150913692898,0.0171969255511929
"44",2011,2,49769.1715079896,105785.530915977,75617.3013069004,32.7278515250588,0.0152069779068396,0.0323227850245471,0.0231048778894032
"45",2012,1,29954.7102885972,76965.2881631792,49584.813827996,29.5468464946866,0.0101380397038256,0.0260485626366319,0.0167817617480474
"46",2012,2,47826.1410113713,103764.151768914,73719.9273468785,32.8605744234571,0.0145542620147356,0.0315770961370789,0.0224341566269927
"47",2013,1,28930.0397851193,75735.9168717795,48545.6298765172,29.794012958681,0.00971001785668825,0.0254198442407916,0.0162937533603954
"48",2013,2,45881.6302367641,101706.709316367,71388.967817819,32.9995517003045,0.0139037131938797,0.0308206336377075,0.0216333144359535
"49",2014,1,27970.3215396603,74086.4427813272,47433.3996075941,30.0564610201661,0.00930592644320098,0.0246490905005814,0.0157814320108309
"50",2014,2,43571.5729727748,98972.6408387269,68897.8541507792,33.1427664008267,0.0131466312877515,0.0298625164965886,0.0207882025650884
"51",2015,1,27029.0459536806,73616.4832621978,46613.5520336926,30.3267812519054,0.00891259963567099,0.0242744136447294,0.0153704251191392
"52",2015,2,41884.5128568018,97275.8588021373,67020.6982076279,33.2854724108065,0.0125834214818605,0.0292247193014318,0.0201351200248757
"53",2016,1,25682.6961761793,73539.4718598728,45679.8737680875,30.596091700901,0.00839411008021753,0.024035577020351,0.0149299702114379
"54",2016,2,39140.4423565613,97470.0250393806,65214.4501913328,33.4277872076498,0.0117089540248133,0.0291583838421333,0.0195090538856873
"55",2017,1,23348.768854737,72365.7506291281,43235.3842913325,30.8644347441491,0.0075649429669737,0.0234463230021882,0.0140081568477545
"56",2017,2,35341.3151835479,95366.8951348343,61362.5381916697,33.5818277398291,0.0105239403457579,0.0283983635059047,0.0182725427177663
"57",2018,1,19591.7673008452,66714.5395454346,38197.0170418194,31.1410348959381,0.00629130257434078,0.0214233533883412,0.0122658149189517
"58",2018,2,29367.8682795911,87259.1974215103,53891.4025437932,33.7557100808686,0.00870011864932907,0.0258502034803781,0.0159651218755836
"59",2019,1,17453.8347319375,62327.9176470324,34975.0925750748,NA,NA,NA,NA
"60",2019,2,25694.4895247577,81415.1102157328,49164.2456885671,NA,NA,NA,NA
