"sex_id","year","expected_total_pop","expected_non_disease_mort_total","mort_rate","mort_rate_per_100K"
1,1990,2002558.34251921,15219.3289133014,0.0075999428282102,759.99428282102
1,1991,2054928.49295109,15660.2851298112,0.00762084188502413,762.084188502413
1,1992,2107349.72551646,15775.9785479836,0.00748617012020501,748.617012020501
1,1993,2160314.60458838,16701.0748206803,0.0077308530827909,773.08530827909
1,1994,2213914.83054017,17661.5920124008,0.00797753904927387,797.753904927387
1,1995,2268620.82455198,18286.8721624906,0.00806078828360485,806.078828360485
1,1996,2326526.89877001,17074.5044081446,0.00733905308258912,733.905308258912
1,1997,2385511.0964875,19574.5194980456,0.00820558727514107,820.558727514107
1,1998,2442749.29683661,22205.9572658496,0.00909055927049352,909.055927049352
1,1999,2499528.3462401,20566.1083521697,0.0082279956469012,822.79956469012
1,2000,2556197.86840764,20912.3395663411,0.00818103317618687,818.103317618687
1,2001,2610778.44405983,21297.0351052956,0.00815735059930175,815.735059930175
1,2002,2661162.08235734,22133.1442445413,0.0083170974031522,831.70974031522
1,2003,2706546.94557644,22888.2755101272,0.00845663347814292,845.663347814292
1,2004,2747092.46042431,23052.9444444346,0.00839176139010403,839.176139010403
1,2005,2783542.01091017,22944.6393295202,0.00824296498475254,824.296498475254
1,2006,2814273.12168087,23176.2161324778,0.00823524055072362,823.524055072362
1,2007,2842060.80481679,21955.3476288417,0.00772515056385538,772.515056385538
1,2008,2866745.41924643,21450.7602341019,0.00748261777627277,748.261777627277
1,2009,2888899.03833888,20557.5918690501,0.00711606449246865,711.606449246865
1,2010,2909799.68631573,19038.7773027887,0.00654298555062904,654.298555062904
1,2011,2931488.91619202,17805.4471191941,0.00607385790232604,607.385790232604
1,2012,2954684.64946866,17185.5837824046,0.00581638510407365,581.638510407365
1,2013,2979401.2958681,16581.1073818733,0.00556524809359128,556.524809359128
1,2014,3005646.10201661,15975.569958945,0.00531518662434222,531.518662434222
1,2015,3032678.12519054,15342.5683358388,0.00505908233663104,505.908233663104
1,2016,3059609.1700901,14561.8395788556,0.0047593789825211,475.93789825211
1,2017,3086443.47441491,14700.4174486513,0.00476289864710322,476.289864710322
1,2018,3114103.48959381,15455.2877177204,0.00496299746279028,496.299746279028
2,1990,2316262.29917296,8892.03349482129,0.00383895791853811,383.895791853811
2,1991,2375407.2088954,8263.50616652255,0.00347877455940078,347.877455940078
2,1992,2435274.17164779,8862.90001665215,0.00363938488726926,363.938488726926
2,1993,2495522.46109348,7451.49114758301,0.00298594433180054,298.594433180054
2,1994,2557067.19798119,7214.36748465239,0.00282134450371432,282.134450371432
2,1995,2619617.16503775,6641.38041348536,0.00253524847146497,253.524847146497
2,1996,2685372.29068941,5719.06969084326,0.00212971203682712,212.971203682712
2,1997,2754339.35626788,7214.56830162337,0.00261934619102241,261.934619102241
2,1998,2822909.93371921,7678.55272210476,0.00272008420473698,272.008420473698
2,1999,2890416.51627475,7930.09589875707,0.00274358240554811,274.358240554811
2,2000,2955043.84566065,9056.77158183614,0.00306485184479939,306.485184479939
2,2001,3013817.21652636,9933.14078690635,0.00329586702618781,329.586702618781
2,2002,3065635.28282594,11419.5110174004,0.00372500638982525,372.500638982525
2,2003,3109172.54138735,12647.8290720772,0.00406790839161135,406.790839161135
2,2004,3145113.68862534,13074.8103508199,0.0041571821069955,415.71821069955
2,2005,3175256.85423231,12738.5037272806,0.00401180260749659,401.180260749659
2,2006,3195937.8089866,12308.2304579839,0.00385121087881455,385.121087881455
2,2007,3213922.48304609,10988.5639343359,0.00341905070589043,341.905070589043
2,2008,3229759.41406099,10307.8678569839,0.00319152807856456,319.152807856456
2,2009,3244820.40471053,9545.54461268443,0.00294177902691535,294.177902691535
2,2010,3259915.76372723,8730.43764836864,0.00267811755920549,267.811755920549
2,2011,3272785.15250588,8129.10863507613,0.00248385037705634,248.385037705634
2,2012,3286057.44234571,7872.68888932937,0.00239578553554121,239.578553554121
2,2013,3299955.17003045,7501.4557531108,0.00227319929108055,227.319929108055
2,2014,3314276.64008267,7101.00909682064,0.00214255171428403,214.255171428403
2,2015,3328547.24108065,6808.5739730959,0.0020455091906358,204.55091906358
2,2016,3342778.72076498,6479.35875314615,0.00193831518457895,193.831518457895
2,2017,3358182.77398291,6179.69514857335,0.00184019023516222,184.019023516222
2,2018,3375571.00808686,6249.07072040191,0.00185126329898882,185.126329898882
