"variable","mean","min","max"
"hiv_prev_per_100k_female",33743,29715,39664
"hiv_prev_per_100k_male",18900,17515,21943
"Tb_inc__female_Y_per_100k_female",1406,1141,1577
"Tb_inc__male_Y_per_100k_male",1165,989,1362
"Tb_mort__female_Y_per_100k_female",135,103,188
"Tb_mort__male_Y_per_100k_male",240,174,309
