"sim_id","2","3","total_diff"
108,10302.3328984798,10143.7901256003,-158.542772879506
147,9813.55325617668,9557.96784211362,-255.585414063065
197,11033.0901041414,10485.4197408346,-547.67036330681
267,10284.371639189,9802.22930679979,-482.142332389174
397,10538.9492632809,9848.43702255219,-690.512240728745
408,10061.1915991376,9772.67659438033,-288.515004757273
442,8922.65592479267,8769.87276374668,-152.783161045982
601,9303.63944456175,9034.51221990887,-269.127224652877
974,10996.9384868014,10680.2170344348,-316.721452366552
1089,9514.11483489628,9197.93134713314,-316.183487763146
1116,11211.3131012138,10809.323928676,-401.98917253776
1134,10348.8814863246,10139.9100668091,-208.971419515416
1308,10908.4260181201,10561.5971630918,-346.828855028298
1375,9236.32557891845,9094.05412443912,-142.271454479336
1702,9201.32735582545,8996.62478850337,-204.702567322072
1765,9597.93866609455,9343.55540028722,-254.383265807333
1872,9344.4879418118,9212.83543513431,-131.652506677492
1911,10116.1537649978,9534.76636453314,-581.387400464631
2168,10055.283842808,9877.2181002211,-178.065742586909
2475,11324.1245833804,11096.8070232834,-227.317560097048
2526,9717.90966907542,9605.47456373053,-112.435105344892
2611,10196.5805742506,10074.6005927135,-121.979981537135
3014,9584.55589898456,9323.84924939281,-260.706649591748
3021,10311.4899507275,9704.70358937814,-606.786361349332
3024,9380.1791972896,9177.96093127331,-202.218266016291
3453,9529.23097935327,9431.64777501702,-97.5832043362479
3533,9839.02101577063,9434.29726456206,-404.723751208576
3658,8870.5241533419,8659.0085223002,-211.515631041693
3791,9571.5049874992,9350.69734884249,-220.807638656705
3941,11089.2187561121,10643.1984688721,-446.02028724006
3992,10319.1809981529,10243.1224959038,-76.0585022491559
4050,10638.426824092,10273.6449814667,-364.781842625298
4198,9982.99438992088,9887.44900645302,-95.5453834678556
4700,10764.5974829708,10302.7931794282,-461.804303542633
4855,10150.7483336273,9883.73592606364,-267.01240756361
5036,10597.779441666,10122.6649135692,-475.114528096756
5569,9750.83547405463,9294.33740285579,-456.498071198843
5985,10189.3304469775,9681.90062189895,-507.429825078529
5998,9150.6693234726,8982.09367991693,-168.575643555672
6448,10139.202210125,9794.46855051583,-344.733659609219
6533,9252.34622300237,8787.84605863088,-464.500164371484
6731,9732.21069880756,9648.52456380617,-83.6861350013878
6832,10652.9336483745,10144.5536679134,-508.379980461003
6929,9492.91612824196,9205.87332993037,-287.04279831159
6982,9675.36151390716,9507.88173910766,-167.479774799504
7007,9652.6735581261,9210.31224256809,-442.361315558017
7058,9976.9994538165,9594.63029758983,-382.369156226667
7086,10336.235657356,10084.2724235814,-251.963233774617
7122,10036.647164685,9513.39266656499,-523.254498119979
7164,9240.8969626248,8824.2318677545,-416.665094870294
7236,9975.25184065594,9795.30448107187,-179.947359584063
7401,11125.9094336922,10891.3131616173,-234.596272074868
7566,10050.6078156267,9858.79762199636,-191.810193630354
7625,10127.3957919087,9999.49031355041,-127.905478358341
7704,9534.55077000693,9052.28793624774,-482.262833759183
7705,10443.5588369276,10229.4807178635,-214.078119064106
8071,10438.1012219304,10169.7835583006,-268.31766362983
8113,10543.1838600735,10140.0773393902,-403.106520683285
8134,10280.9060361355,9947.07891498841,-333.827121147095
8254,9607.04389245117,9333.19868927548,-273.845203175682
8537,10053.3694244266,9827.84099297552,-225.528431451083
8572,10646.6512125726,10169.0438004085,-477.607412164134
8680,10383.9244944888,10042.9127450083,-341.011749480496
8881,10642.5874116354,10125.6148567253,-516.972554910091
8927,10749.6905670532,10324.7041623539,-424.986404699233
8938,10046.2131140495,9846.37660190304,-199.836512146449
8974,11195.25024838,10801.730929374,-393.519319005949
9174,10180.9957083128,9698.45564780834,-482.54006050444
9209,9736.98590807652,9592.95541887054,-144.030489205976
9293,10219.8801182467,9965.29907185074,-254.581046395924
9306,10591.1641872932,10368.3608337447,-222.803353548525
9413,9343.6916579984,9078.22320364736,-265.468454351034
9505,10470.8804855775,10067.4135668726,-403.466918704915
9799,10264.1528001224,9919.40408807881,-344.74871204354
9880,9195.0939936735,8933.79629626019,-261.297697413311
10051,10461.1760256491,10150.8870667053,-310.28895894386
10160,9562.33447719535,9205.16416474595,-357.170312449403
10289,9974.00509159762,9810.08052255571,-163.924569041907
10342,9502.61256111897,9412.06325261215,-90.5493085068138
10463,10149.0761313192,9808.70700431088,-340.369127008287
10508,9380.35008089365,9353.30585599728,-27.0442248963682
10537,9673.58642596776,9474.45712533649,-199.129300631264
10610,9956.75342238337,9633.16813886498,-323.585283518383
10791,10640.1570593724,10438.7981945047,-201.35886486769
11012,10242.4421160103,9976.58609711289,-265.856018897366
11093,9963.36824614412,9787.06855634469,-176.299689799427
11099,9434.21095117913,9205.38277085955,-228.828180319579
11232,10363.2551473219,10023.084602853,-340.170544468861
11370,9722.27111157813,9688.50614539118,-33.7649661869509
