"","calibration_group","max_incidence","min_incidence","mean_incidence"
"1","HIV_neg_female",310.83389161228,247.671767373629,289.302367612206
"2","HIV_neg_male",376.899484048269,300.87961103846,350.892839002779
"3","HIV_pos_female",1148.4867109662,934.738463746198,1071.52108124013
"4","HIV_pos_male",556.094388965101,449.5096901377,516.97781182451
