"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
"1",1,17164.4031702888,76922.5403934405,591168.767360761,228034.967317074,40961386.9411782,377845495.212814,418806882.153992,0.019677190925738,0.0691843135229152,6,6,8,35,1.2,14,22,40,17,0.000842315727802048,1,4,6272
"2",2,17166.6742035946,76941.0154691202,585959.77515594,225901.917207465,40937550.4230898,377098605.527419,418036155.950509,0.0196782411044962,0.0690756974281953,6,6,8,35,1.2,14,22,40,20,0.000759672519113482,0.99765819787501,3,6270
"3",3,17313.7894201148,77840.9677671911,516264.96437935,189050.743975438,43042498.9537586,366945969.159786,409988468.113545,0.0202109648148317,0.0684848475639786,6,6,8,35,1.2,14,22,60,17,0.00805770573243237,0.965825564642928,95,6239
"4",4,17315.9601237441,77858.68772688,511572.992268761,187261.419445781,43023939.8088864,366244303.969671,409268243.778558,0.0202119059183978,0.0683806121626353,6,6,8,35,1.2,14,22,60,20,0.00799335961958701,0.963625559655076,90,6235
"5",5,17305.5572241556,77768.8752101093,545443.676224321,201986.873146949,42409208.8234109,369098090.431346,411507299.254756,0.0201158660427417,0.0685482773156972,6,6,8,35,1.2,14,30,40,17,0.00586203570173751,0.972573337795419,44,6252
"6",6,17307.8116856465,77787.2147343511,540574.730095722,200048.062895359,42391443.5592853,368379227.807589,410770671.366874,0.0201168971566172,0.0684425327904697,6,6,8,35,1.2,14,30,40,20,0.00580044204006702,0.970319411877294,43,6245
"7",7,17450.0008248625,78646.1451425616,475492.378347368,166885.137931337,44033323.6772966,359205516.069262,403238839.746559,0.0206148498886302,0.0678962174261235,6,6,8,35,1.2,14,30,60,17,0.0114929782037553,0.941556104439833,236,6168
"8",8,17452.1534346008,78663.7181612819,471107.002510789,165262.634580505,44020027.6528878,358529520.09847,402549547.751358,0.0206157658072968,0.0677946969857838,6,6,8,35,1.2,14,30,60,20,0.0114468797712631,0.939436582866777,234,6156
"9",9,14665.3163525064,64519.9732363493,598061.597007884,232264.93093725,41652831.3126727,377107802.236858,418760633.549531,0.0196811704123772,0.0691774535276619,6,6,8,35,1.2,17,22,40,17,0.00323961139313896,0.997687033289566,12,6271
"10",10,14667.687281032,64539.0406656797,592896.487618524,230140.756464657,41628860.9551721,376371773.777741,418000634.732913,0.0196822049426719,0.0690702257702215,6,6,8,35,1.2,17,22,40,20,0.00315650415197565,0.9953792855146,11,6269
"11",11,14824.5451658946,65462.6196646805,523250.689938349,193172.492047768,42996865.5339916,367199019.366207,410195884.900199,0.0201773890230694,0.0685133300448143,6,6,8,35,1.2,17,22,60,17,0.00789949083632236,0.966618979684955,87,6240
"12",12,14826.8181184615,65480.9758783882,518592.874898885,191386.388385933,42978003.2681536,366506807.174746,409484810.442899,0.0201783117991185,0.0684103958303761,6,6,8,35,1.2,17,22,60,20,0.00783409377764924,0.964448613682305,83,6236
"13",13,14818.6508077913,65420.7489645886,552761.82721898,206348.034710368,43076858.3906835,368536275.040704,411613133.431388,0.0201121943971323,0.0685514638989932,6,6,8,35,1.2,17,30,40,17,0.00817683278386154,0.970811818656267,101,6249
"14",14,14821.0126270534,65439.750409638,547929.823239024,204414.249953303,43058813.7266576,367827745.201794,410886558.928451,0.0201132102208931,0.0684470715034029,6,6,8,35,1.2,17,30,40,20,0.00811427041928813,0.96859029020993,97,6243
"15",15,14976.0194126406,66357.1266008675,483432.991650695,171313.884699695,44673691.3158584,358842258.976661,403515950.292519,0.0206028404583953,0.067910082498623,6,6,8,35,1.2,17,30,60,17,0.0137131865494073,0.94041714610635,330,6163
"16",16,14978.2813203219,66375.399917,479075.161679386,169690.869871919,44660026.8315487,358175767.070323,402835793.901871,0.0206037429347928,0.0678098494351292,6,6,8,35,1.2,17,30,60,20,0.0136658106355155,0.938327423630496,329,6152
"17",17,17162.2946338117,76914.3971992731,591331.185329415,228207.744197081,40738473.5354309,372511043.181641,413249516.717071,0.0196817267266223,0.0683621221188866,6,6,8,35,1.5,14,22,40,17,6.94562421019272e-05,0.983274329065521,2,6264
"18",18,17164.5656769134,76932.8696223293,586121.831061348,226073.135162524,40718440.4922143,371771349.415979,412489789.908193,0.0196827767705426,0.0682536647506061,6,6,8,35,1.5,14,22,40,20,0,0.980955089067777,1,6262
"19",19,17311.6530848345,77832.5747880068,516465.635768541,189244.817463395,42860709.6702432,361687041.945467,404547751.61571,0.0202155167731044,0.0676644926360074,6,6,8,35,1.5,14,22,60,17,0.00742742702984628,0.949336694644458,72,6193
"20",20,17313.8237171426,77850.2915051844,511772.598867675,187453.377874604,42845704.9797196,360992214.451956,403837919.431676,0.0202164577534966,0.0675604077317881,6,6,8,35,1.5,14,22,60,20,0.0073754045085346,0.947158128609038,71,6189
"21",21,17303.44112722,77760.6564748241,545600.234740191,202150.684773052,42230028.6320824,363823372.215189,406053400.847272,0.0201204347455989,0.0677268673155567,6,6,8,35,1.5,14,30,40,17,0.00524080294073104,0.956034956600877,27,6220
"22",22,17305.6955881032,77778.9931640832,540730.844858957,200210.30703279,42215924.4832544,363111507.511558,405327431.994812,0.0201214657262267,0.0676212787954095,6,6,8,35,1.5,14,30,40,20,0.00519190267305563,0.953802972000916,25,6211
"23",23,17447.859173617,78637.6864449573,475684.111379396,167066.710929661,43892506.9643675,354004461.110963,397896968.07533,0.0206193882647868,0.0670768653374744,6,6,8,35,1.5,14,30,60,17,0.0110047548420087,0.925248687438741,224,6077
"24",24,17450.0116958139,78655.2560318091,471297.625456511,165442.114027404,43882632.5423823,353335113.300082,397217745.842464,0.0206203040636098,0.0669754925443386,6,6,8,35,1.5,14,30,60,20,0.0109705193922764,0.923150010543704,221,6061
"25",25,14663.0843911638,64511.3774702333,598222.582461828,232437.078060193,41427117.4158514,371774210.852836,413201328.268687,0.019685717448268,0.0683551666932228,6,6,8,35,1.5,17,22,40,17,0.00245704236985435,0.980964060833009,8,6263
