"year","sex","val","max","min"
1990,"Female",0.00383895791885183,0.00479869739856478,0.00287921843913887
1990,"Male",0.00759994282748791,0.00949992853435989,0.00569995712061593
1991,"Female",0.00347877455951859,0.00434846819939824,0.00260908091963894
1991,"Male",0.00762084188489202,0.00952605235611503,0.00571563141366902
1992,"Female",0.00363938488733573,0.00454923110916966,0.00272953866550179
1992,"Male",0.00748617012029141,0.00935771265036426,0.00561462759021856
1993,"Female",0.00298594433173328,0.0037324304146666,0.00223945824879996
1993,"Male",0.00773085308276732,0.00966356635345915,0.00579813981207549
1994,"Female",0.00282134450378249,0.00352668062972811,0.00211600837783687
1994,"Male",0.00797753904946385,0.00997192381182982,0.00598315428709789
1995,"Female",0.00253524847161077,0.00316906058951346,0.00190143635370808
1995,"Male",0.00806078828292742,0.0100759853536593,0.00604559121219557
1996,"Female",0.00212971203696524,0.00266214004620655,0.00159728402772393
1996,"Male",0.00733905308249251,0.00917381635311563,0.00550428981186938
1997,"Female",0.00261934619110716,0.00327418273888396,0.00196450964333037
1997,"Male",0.00820558727473287,0.0102569840934161,0.00615419045604965
1998,"Female",0.00272008420498863,0.00340010525623579,0.00204006315374147
1998,"Male",0.00909055927085455,0.0113631990885682,0.00681791945314091
1999,"Female",0.00274358240537396,0.00342947800671745,0.00205768680403047
1999,"Male",0.00822799564657409,0.0102849945582176,0.00617099673493057
2000,"Female",0.0030648518448277,0.00383106480603462,0.00229863888362077
2000,"Male",0.00818103317569717,0.0102262914696215,0.00613577488177288
2001,"Female",0.00329586702638433,0.00411983378298041,0.00247190026978825
2001,"Male",0.00815735059931801,0.0101966882491475,0.00611801294948851
2002,"Female",0.00372500638979691,0.00465625798724613,0.00279375479234768
2002,"Male",0.0083170974034962,0.0103963717543703,0.00623782305262215
2003,"Female",0.00406790839177467,0.00508488548971834,0.003050931293831
2003,"Male",0.00845663347803655,0.0105707918475457,0.00634247510852741
2004,"Female",0.00415718210674598,0.00519647763343248,0.00311788658005949
2004,"Male",0.00839176139014451,0.0104897017376806,0.00629382104260838
2005,"Female",0.00401180260716789,0.00501475325895987,0.00300885195537592
2005,"Male",0.00824296498473125,0.0103037062309141,0.00618222373854844
2006,"Female",0.00385121087889813,0.00481401359862267,0.0028884081591736
2006,"Male",0.00823524055068017,0.0102940506883502,0.00617643041301013
2007,"Female",0.00341905070593678,0.00427381338242098,0.00256428802945259
2007,"Male",0.0077251505643745,0.00965643820546812,0.00579386292328087
2008,"Female",0.00319152807851614,0.00398941009814518,0.00239364605888711
2008,"Male",0.00748261777653967,0.00935327222067458,0.00561196333240475
2009,"Female",0.00294177902689269,0.00367722378361586,0.00220633427016951
2009,"Male",0.00711606449206863,0.00889508061508579,0.00533704836905147
2010,"Female",0.00267811755914254,0.00334764694892818,0.00200858816935691
2010,"Male",0.00654298555121384,0.0081787319390173,0.00490723916341038
2011,"Female",0.00248385037707406,0.00310481297134258,0.00186288778280554
2011,"Male",0.00607385790239892,0.00759232237799865,0.00455539342679919
2012,"Female",0.00239578553568689,0.00299473191960861,0.00179683915176517
2012,"Male",0.00581638510424347,0.00727048138030434,0.0043622888281826
2013,"Female",0.00227319929124515,0.00284149911405643,0.00170489946843386
2013,"Male",0.00556524809381912,0.0069565601172739,0.00417393607036434
2014,"Female",0.00214255171444109,0.00267818964305136,0.00160691378583082
2014,"Male",0.00531518662444632,0.0066439832805579,0.00398638996833474
2015,"Female",0.00204550919050217,0.00255688648812771,0.00153413189287663
2015,"Male",0.00505908233618439,0.00632385292023049,0.00379431175213829
2016,"Female",0.00193831518471054,0.00242289398088817,0.0014537363885329
2016,"Male",0.00475937898255859,0.00594922372819823,0.00356953423691894
2017,"Female",0.00184019023520831,0.00230023779401038,0.00138014267640623
2017,"Male",0.00476289864719018,0.00595362330898772,0.00357217398539263
2018,"Female",0.00184019023520831,0.00230023779401038,0.00138014267640623
2019,"Female",0.00184019023520831,0.00230023779401038,0.00138014267640623
2020,"Female",0.00184019023520831,0.00230023779401038,0.00138014267640623
2021,"Female",0.00184019023520831,0.00230023779401038,0.00138014267640623
2022,"Female",0.00184019023520831,0.00230023779401038,0.00138014267640623
2023,"Female",0.00184019023520831,0.00230023779401038,0.00138014267640623
2024,"Female",0.00184019023520831,0.00230023779401038,0.00138014267640623
2025,"Female",0.00184019023520831,0.00230023779401038,0.00138014267640623
2026,"Female",0.00184019023520831,0.00230023779401038,0.00138014267640623
2027,"Female",0.00184019023520831,0.00230023779401038,0.00138014267640623
2028,"Female",0.00184019023520831,0.00230023779401038,0.00138014267640623
2029,"Female",0.00184019023520831,0.00230023779401038,0.00138014267640623
2018,"Male",0.00476289864719018,0.00595362330898772,0.00357217398539263
2019,"Male",0.00476289864719018,0.00595362330898772,0.00357217398539263
2020,"Male",0.00476289864719018,0.00595362330898772,0.00357217398539263
2021,"Male",0.00476289864719018,0.00595362330898772,0.00357217398539263
2022,"Male",0.00476289864719018,0.00595362330898772,0.00357217398539263
2023,"Male",0.00476289864719018,0.00595362330898772,0.00357217398539263
2024,"Male",0.00476289864719018,0.00595362330898772,0.00357217398539263
2025,"Male",0.00476289864719018,0.00595362330898772,0.00357217398539263
2026,"Male",0.00476289864719018,0.00595362330898772,0.00357217398539263
2027,"Male",0.00476289864719018,0.00595362330898772,0.00357217398539263
2028,"Male",0.00476289864719018,0.00595362330898772,0.00357217398539263
2029,"Male",0.00476289864719018,0.00595362330898772,0.00357217398539263
