"sim_id","total_in_confidence","beta_1","beta_2","phi_1.","phi_2.","phi_3.","phi_4.","varepsilon_1","varepsilon_2","iota_1.","iota_2.","xi_","zeta_","omega_","pi_34.","pi_36.","pi_46.","theta_1.","theta_2.","theta_3.","theta_4.","pi_56.","pi_67.","pi_86.","upsilon_1.","upsilon_2.","upsilon_3.","upsilon_4.","pi_76.","eta.baselinefactor_1","eta.baselinefactor_2","eta_23.1","eta_23.2","mu.baselinefactor_1","mu.baselinefactor_2","risk.other_1.","risk.other_2.","risk.other_3.","risk.other_4.","gamma_1.","gamma_2.","alpha.out_","risk.TB_1.","risk.TB_2.","risk.TB_3.","risk.TB_4."
53,20,8.40851332534275,9.62639113788611,1,0.995662291642752,0.461851848739822,0.857418027292127,0.0387977053696844,0.0371711716204576,0.783745345658459,1,4.54495855313325,0.447082165387914,2,0.5,0.025873712363804,0.000890502809072539,1,11.6992923398864,20.5783823767105,2.64541038696049,0.00319286583656917,2,0.00370541988900873,0.260879760835949,0.335191769397824,0.280908063485395,0.351879339427906,0.011469458531415,1.08172071684334,0.895700169434757,0.127861079812553,0.0834816476986211,1.02309980688767,1.13439257467315,1,8.26479012380548,30.7946032269874,1.08230802253278,1,0,0.0222222222222222,17.5683679831048,22.7627664009458,40.5021816000536,15.4907217454804
112,20,13.4881295088069,12.5124996168701,1,1.00292653829788,0.504314795934474,0.879025093344479,0.033317862753188,0.0460264999872404,0.517062762045591,1,4.31190502769812,0.473081555763053,2,0.5,0.0192144421511484,0.000829223857234101,1,12.313205387254,18.2627874923903,3.20088690947472,0.00309197070377696,2,0.00281799931316124,0.235122022877709,0.26324840253278,0.385477786561156,0.400208703042112,0.00753065695656682,1.08815538677906,0.980651315315725,0.0972527438627512,0.076973224505919,1.10239582561378,1.04317228858849,1,6.27772147848248,30.7768288189784,1.3562060404877,1,0,0.0222222222222222,18.6303575323101,23.548795019832,58.086016799132,21.2210299861922
300,20,10.190451091949,12.4845421371958,1,0.740208624692236,0.703137622318918,0.720550091229492,0.0322742442472634,0.0409049763624234,0.616299075421524,1,3.25140443356575,0.499755376694406,2,0.5,0.0248389762584357,0.00098309816416257,1,7.81785116822042,18.7577147014358,2.46563965641781,0.00306046871593528,2,0.00322096699811482,0.195503724792608,0.345545481512851,0.252458008449355,0.268356675454987,0.0124190470441667,1.23869014904232,1.06122397657172,0.144936961372562,0.119685367558265,1.06563739391723,1.1593938683373,1,9.02251584140058,35.411180961303,1.37941377948614,1,0,0.0222222222222222,14.0808175917261,28.9867647991936,37.9788308727534,15.2177845052657
333,20,12.6314408841226,11.1769072051926,1,1.01234008891331,0.668095520886426,1.05971314494796,0.035588279081433,0.0410516487349909,0.571150319074236,1,4.12939187382109,0.43841369032718,2,0.5,0.0210984437976717,0.00099718106526548,1,9.58937017943503,16.1829559595653,3.15703407408773,0.00348889179118915,2,0.0033488738272103,0.195262313339876,0.304815098415101,0.340515747381552,0.268474273876554,0.00856545795668438,1.14701459353366,0.993172616213087,0.161361410923427,0.10430970386633,1.17380082871156,1.20256391311591,1,6.10361910834486,25.9201139392379,1.5414338967495,1,0,0.0222222222222222,16.9391155094553,29.9856027494455,58.7596255957121,22.779746224884
370,20,13.2086547192182,8.86965048558528,1,1.07751311025049,0.610174548120388,0.861113572587434,0.0411273117058539,0.0404445219042006,0.627412123236136,1,4.29256187660779,0.413035775548464,2,0.5,0.0224424788625912,0.00101760795840616,1,11.4541865948087,17.2622468762837,2.98432627542509,0.0034105671931058,2,0.00337939544430489,0.191238569674969,0.292191262582935,0.345607309075616,0.383714238701382,0.00849908160050433,1.16938678663925,0.888667531118045,0.149103737664257,0.100145285340669,1.05436592389245,0.81727735729403,1,6.91672392489458,32.5911657561975,1.40642144343895,1,0,0.0222222222222222,13.4109949303376,22.8302566539401,61.054683330315,21.4041764008338
453,20,8.42580889381999,12.1986199100618,1,0.748503596699176,0.499556823037127,0.773886640675659,0.029409634244905,0.0448480644561658,0.594219694794101,1,4.53931330061699,0.392630380601564,2,0.5,0.0312000483944145,0.00116948840545575,1,8.45707054668714,16.7798052183536,2.25960646898469,0.00393228196602685,2,0.00299831330231786,0.235992142149456,0.36525835364658,0.385881051573983,0.413760520069653,0.00824416824950816,1.06626649108624,1.23889769613718,0.121207920922618,0.079982300836962,1.01152011369502,1.10192631368321,1,9.2477373817537,29.3342646207985,1.59002994032302,1,0,0.0222222222222222,14.3051109656825,27.9539957965734,52.5679654163543,16.7025135063566
467,20,9.30746894489608,11.0439942421794,1,1.00542420061843,0.539166380196182,1.09040683228412,0.031484871174216,0.0317551917762526,0.566846267760582,1,3.65194431080905,0.480080042449622,2,0.5,0.0283312790005853,0.00122691563871937,1,8.2074006229337,20.7024754395272,2.86369556752267,0.0036720265673104,2,0.00314969226340864,0.299543915553734,0.33150597849469,0.39401322788638,0.29390305468499,0.00864604520404026,1.04062188839589,0.77762952514131,0.16111778901049,0.112804029544413,1.0511527151122,1.0988175642593,1,6.29227753668437,22.8216789200771,1.67278717016492,1,0,0.0222222222222222,17.9720312042131,31.0337042826993,46.6074812600642,22.5413072299653
475,20,13.7293649559009,11.5307366007715,1,0.685243737054,0.708624836103302,0.862340841091959,0.0383344002319663,0.0432210679049761,0.746721631218818,1,4.38002027418562,0.308430720141092,2,0.5,0.029266403735088,0.000931353616162052,1,12.0425370072489,15.5843746020253,2.93694071737843,0.00349705098551991,2,0.00302864243559786,0.240286566472305,0.274819879172721,0.277263101348415,0.327969359599457,0.00911422558649573,1.20744601372909,0.915558820711954,0.0973524546779426,0.101274110611468,1.16992743876347,1.04867334166112,1,9.24858933676064,28.7060293455356,1.52486627091689,1,0,0.0222222222222222,13.7236444701654,28.6100916261153,55.2440458012707,19.0340525456471
609,20,8.86996200848303,11.7082247618734,1,1.11145099569295,0.617266829136371,0.981976590344741,0.0323076151601877,0.0335227313121331,0.577831879933667,1,3.09438699049378,0.312835355365503,2,0.5,0.0254195294589891,0.00106473569214707,1,12.1739641841559,16.0907072509104,3.52137208842336,0.00297648528232021,2,0.00264753613743012,0.232743683871956,0.286646246274267,0.391390105791159,0.352571655574432,0.00924811283301475,1.1209508160554,1.01353222120907,0.160060418683833,0.103220882249542,0.978409871465182,0.902843912302107,1,8.65479433414968,31.3833454767282,1.03700764373209,1,0,0.0222222222222222,17.9951730316574,20.0986702063845,61.5733232278093,20.8895332526428
638,20,9.15615273163349,9.98339079194996,1,0.772709929267367,0.524712466364461,0.853688738143247,0.0356885815076559,0.0410773098779666,0.519505878028585,1,4.73551868274476,0.40883640790977,2,0.5,0.0273400751559682,0.00106569964498517,1,11.1011714881771,16.2426953361795,3.47829362510071,0.00287601792008737,2,0.00325924728529574,0.244265014365922,0.26271320489884,0.258676679700512,0.337436432095823,0.00965056563919997,1.07820676954525,1.05874908516227,0.144819718645551,0.0753210755307184,0.993168654536064,1.10169685131996,1,8.69054808583747,25.811621338025,1.6539575160312,1,0,0.0222222222222222,15.8877825730689,30.396659946117,57.7418967258331,19.0298883059815
680,20,11.0431230476313,13.130646700234,1,0.930787399278411,0.676487686418655,0.874975216518999,0.0421537117777138,0.0454653022907403,0.670118459164318,1,4.68085671499841,0.456978073919001,2,0.5,0.0207106342271175,0.00110400831104791,1,11.0206515142407,13.6013108152548,2.97530628424223,0.00411717708652578,2,0.00295337411215352,0.225380125542973,0.2905071342156,0.284799670099469,0.394493013925408,0.00755523628963906,1.12446073041406,0.999392094533711,0.135463188630219,0.10801036758217,1.19750465315721,1.24743173250235,1,7.73116127013694,28.7421797759849,1.15615867362577,1,0,0.0222222222222222,17.2211056078617,25.6265746221229,56.8339301489078,14.3641118683623
736,20,8.32658630097812,10.7810858728908,1,0.815486745848794,0.646371447202783,0.742752542018252,0.0445355997291655,0.0447220205919823,0.615901191621448,1,4.4129545161137,0.433746871027588,2,0.5,0.028362344698964,0.00116617615830631,1,10.4858337131962,13.3050097113553,3.66466263093551,0.00279161715211773,2,0.00331586047834018,0.310667915339528,0.254298905565073,0.323464713731832,0.270753353566097,0.0120152654828593,1.00996635465291,1.0505352667652,0.102071916189915,0.0859567448908368,1.11652964750887,1.1519412207219,1,6.96414852061906,33.5286280134068,1.6604206379093,1,0,0.0222222222222222,17.5519612910272,20.6285289510756,46.6805019569045,17.0485627167712
896,20,12.3864162961243,13.5951620621261,1,0.732744986120682,0.704323953979044,0.812649675969837,0.0446026173837219,0.0390843141532528,0.569163826423699,1,3.31431117134796,0.423728093254829,2,0.5,0.027719106280697,0.000910038701355865,1,7.63615232009824,19.6983526001659,3.66333622878576,0.00385373365298334,2,0.00253949422296571,0.247147267163923,0.400740676311156,0.309060556968716,0.302998040383511,0.0103379059535836,1.17862279009692,1.06244112164833,0.0980376249898507,0.0898492234119488,0.923972730439759,1.09745846875456,1,9.78668518675989,26.8133259071437,1.4642610427705,1,0,0.0222222222222222,16.3568628050914,27.8513697955826,52.4268037030085,15.6515468808415
917,20,12.8776057317734,8.53166228601616,1,0.777367213020864,0.453649340370049,0.707914874858436,0.0455265643261181,0.0380405167345755,0.759892111638225,1,4.51248736061092,0.392563218071749,2,0.5,0.0307141328533855,0.000803758702427965,1,9.44551610959912,20.8346094714367,2.58420904973501,0.00326962551578528,2,0.00251455630115442,0.210741595723827,0.384415248484436,0.253243283106488,0.350520190446507,0.00848161768798305,1.13153341651921,1.09680588381563,0.123170022795431,0.1055783513674,1.20404253090562,0.797664634269704,1,7.40368413254714,23.2144152353574,1.66223185540177,1,0,0.0222222222222222,18.5518505180777,30.7870552920243,53.2788225883649,21.566993090161
929,20,10.8844955680739,10.8347312975435,1,0.860033775742826,0.702767481341466,0.812563062934145,0.0319733331240902,0.0301216757186502,0.761336559062957,1,3.32075782314927,0.334759452987932,2,0.5,0.0272808530733529,0.00123884293779138,1,11.3694455263495,20.2660406111781,2.29082955650733,0.00257619189782231,2,0.00388624390845466,0.238236973468175,0.273700604404283,0.377213700433501,0.393427844647029,0.00794996989984482,1.21348177382892,0.976984997121112,0.141320020948423,0.103853081859092,0.91290010621165,0.805268072721492,1,9.91599049468181,32.2062783750231,1.65253187197613,1,0,0.0222222222222222,16.2529740494885,31.7225044994714,47.6558121894418,16.620052955648
