"F15Regions","year","total_count","total_pop","rate","rate_per_100k"
"ACHOLI",2000,4157.26161517483,432102.1375639,0.00962101608340239,962.101608340239
"ACHOLI",2001,4185.4145119326,447170.919087925,0.00935976454030019,935.976454030019
"ACHOLI",2002,4204.1460765093,462928.107084419,0.00908163927005332,908.163927005332
"ACHOLI",2003,4229.44498620391,478944.435943327,0.00883076338046107,883.076338046107
"ACHOLI",2004,4231.68625783939,495155.433355633,0.00854617756925648,854.617756925648
"ACHOLI",2005,4227.2306050947,511609.628888616,0.00826260954915494,826.260954915494
"ACHOLI",2006,4340.81780725481,528277.85992544,0.00821692169319279,821.692169319279
"ACHOLI",2007,4521.99979620902,544978.682570076,0.00829757188828676,829.757188828676
"ACHOLI",2008,4565.58906652058,561711.784564713,0.00812799231203346,812.799231203346
"ACHOLI",2009,4549.57571277482,578679.669694571,0.00786199334629485,786.199334629485
"ACHOLI",2010,4543.31835789122,596046.164515756,0.007622426966848,762.2426966848
"ACHOLI",2011,4399.39815784724,613923.004714059,0.00716604219758194,716.604219758194
"ACHOLI",2012,4217.64756388613,632489.573878021,0.0066683274129346,666.83274129346
"ACHOLI",2013,3796.30459194712,651920.640349497,0.0058232618465829,582.32618465829
"ACHOLI",2014,3491.24150711024,672355.15561734,0.00519255556820215,519.255556820215
"ACHOLI",2015,3316.3980075026,693882.129168191,0.00477948324087582,477.948324087582
"ACHOLI",2016,3177.52752264364,716416.501249632,0.00443530755796542,443.530755796542
"ACHOLI",2017,3111.73591463485,739965.740910793,0.00420524321951006,420.524321951006
"ACHOLI",2018,3102.56588520231,764555.076658742,0.00405800181036158,405.800181036158
"ANKOLE",2000,8010.78171019238,911968.902517653,0.0087840513948197,878.40513948197
"ANKOLE",2001,8120.68054767635,943541.928362237,0.00860659214346935,860.659214346935
"ANKOLE",2002,8216.57170139521,976672.284634099,0.00841282365709135,841.282365709135
"ANKOLE",2003,8303.81895325034,1010449.05018617,0.00821794918973933,821.794918973933
"ANKOLE",2004,8368.9680276896,1044700.1792872,0.00801088024451166,801.088024451166
"ANKOLE",2005,8433.1066005715,1079481.74855879,0.00781218080975475,781.218080975475
"ANKOLE",2006,8619.85859378132,1114739.09006883,0.00773262431592766,773.262431592766
"ANKOLE",2007,8955.42193330062,1150094.93669188,0.00778668060139442,778.668060139442
"ANKOLE",2008,9295.41861072584,1185516.79333468,0.00784081563668045,784.081563668045
"ANKOLE",2009,9558.65463089275,1221426.06253046,0.00782581518777311,782.581518777311
"ANKOLE",2010,9799.33977917049,1258167.79871991,0.00778857938435603,778.857938435603
"ANKOLE",2011,10070.1417072923,1295952.34566807,0.00777045679260768,777.045679260768
"ANKOLE",2012,10340.4194676029,1335118.40785603,0.00774494562187019,774.494562187019
"ANKOLE",2013,10373.4965301627,1376062.83204704,0.00753853406150864,753.853406150864
"ANKOLE",2014,9965.37461717013,1419106.77386874,0.00702228669517427,702.228669517427
"ANKOLE",2015,9447.10194873935,1464456.72903822,0.0064509259723527,645.09259723527
"ANKOLE",2016,9035.8816888214,1511991.70264173,0.00597614502317308,597.614502317308
"ANKOLE",2017,8374.66717204096,1561715.19095823,0.0053624804449155,536.24804449155
"ANKOLE",2018,7801.62726163,1613658.99973742,0.00483474343891707,483.474343891707
"BUKEDI",2000,2467.16066678454,440062.522277815,0.00560638668799658,560.638668799658
"BUKEDI",2001,2403.85237510757,455090.331274959,0.00528214336782998,528.214336782998
"BUKEDI",2002,2345.50419561113,470950.626883838,0.00498036112857677,498.036112857677
"BUKEDI",2003,2296.99490729672,487183.541539914,0.0047148450459477,471.48450459477
"BUKEDI",2004,2247.471598983,503688.631301408,0.00446202566291021,446.202566291021
"BUKEDI",2005,2197.64092655926,520472.099195554,0.00422239910641886,422.239910641886
"BUKEDI",2006,2192.45620204128,537491.410743935,0.00407905346618791,407.905346618791
"BUKEDI",2007,2221.36992520298,554556.18372585,0.00400567154490723,400.567154490723
"BUKEDI",2008,2250.22128714376,571640.996566568,0.00393642391056485,393.642391056485
"BUKEDI",2009,2289.94645993063,588948.322073213,0.00388819591482929,388.819591482929
"BUKEDI",2010,2333.00750590521,606646.689686785,0.00384574340479754,384.574340479754
