"sim_id","total_in_confidence","beta_1","beta_2","phi_1.","phi_2.","phi_3.","phi_4.","varepsilon_","iota_1.","iota_2.","xi_","zeta_","omega_","pi_34.","pi_36.","pi_46.","theta_1.","theta_2.","theta_3.","theta_4.","pi_56.","pi_67.","pi_86.","upsilon_1.","upsilon_2.","upsilon_3.","upsilon_4.","pi_76.","eta.baselinefactor_1","eta.baselinefactor_2","eta_23.1","eta_23.2","mu.baselinefactor_1","mu.baselinefactor_2","risk.other_1.","risk.other_2.","risk.other_3.","risk.other_4.","gamma_1.","gamma_2.","alpha.out_","risk.TB_1.","risk.TB_2.","risk.TB_3.","risk.TB_4."
56834,20,11.9795919265499,15.3941984663915,1,1.03332627008673,0.467950701794528,0.711496519599787,0.0415916200334055,0.34520280882788,1,4.39005751943478,0.309274029065576,2,0.5,0.0238181829616297,0.0011444781354442,1,10.1136406797673,14.1832557193597,2.61007717746212,0.0131858603671838,2,0.00865932597147516,0.191471082415124,0.298578815135614,0.371283247306999,0.412927924342375,0.0118148567402694,1.01063378663156,1.1427610276999,0.126409665405325,0.120597124409213,0.792659847630759,1.16528432878724,1,8.67027513460283,24.2444153001782,1.57613206550891,1,0,0.0222222222222222,17.5516826592165,24.4317530479862,54.2542234467868,15.1856578432762
57044,20,11.4289611554862,13.7221439985794,1,0.771287668201255,0.673131650596112,0.868468401119666,0.0448488898697817,0.372357198585373,1,4.98876275940271,0.493668903133897,2,0.5,0.0195886104761953,0.00116380569533487,1,10.8304196171189,17.9729041424355,2.52260408831138,0.0106290800136661,2,0.0097727457709349,0.201667682628409,0.315526207160381,0.347560703782675,0.312464307976759,0.011820050372715,1.05903862495993,0.962252875349255,0.127130136813213,0.0849581232561541,0.986971783621531,1.17473586503479,1,6.63432551894096,28.5144741884305,1.23058349343498,1,0,0.0222222222222222,18.4570871913613,26.0360271736987,49.4338658017869,19.2102885443064
57434,20,16.0188383989627,11.7172922942938,1,0.989685621092569,0.714364900699428,0.984580856461832,0.0387288301999713,0.504188263762431,1,3.45899978240081,0.479224708782217,2,0.5,0.0193640445908628,0.00118263029726938,1,10.4908085903322,18.3857177747825,3.03746351457241,0.0123438682463215,2,0.011301610517879,0.208591435739041,0.287242927596153,0.379474215577,0.322975022294,0.00809773387950364,1.0438584556278,0.864391165897825,0.146505845238455,0.0994760184592792,0.938187338194881,0.958759239890592,1,6.42177776319963,32.2770546372397,1.18645015980047,1,0,0.0222222222222222,15.5611448062032,27.133507990853,45.6433765652225,19.6772021361225
57505,20,10.8441859513142,13.0719180002074,1,0.808810737651404,0.56480395233281,0.822031166002736,0.0306282996189211,0.470794268846919,1,4.13321709993787,0.403846872830604,2,0.5,0.0312355065949336,0.000820903140594171,1,9.25216244895974,17.329754008452,2.57305584848562,0.00998760054228037,2,0.0135776710232309,0.263684701078015,0.279841439437238,0.407113520404925,0.372036408461454,0.0109277173541264,1.1190982974339,0.922677185930157,0.154390279217163,0.074541034387641,1.03049802115456,1.18056310680799,1,9.90649021527457,23.0389794877201,1.07900852970758,1,0,0.0222222222222222,17.4817530152824,21.7652285937164,51.6178418139633,20.099426582917
57664,20,14.2304570084007,12.7677934292174,1,0.783233038473594,0.574380100518091,0.690498209127662,0.0281316853208884,0.357208749078441,1,4.09520049205113,0.370500721166563,2,0.5,0.0272911160924867,0.000923724946341823,1,11.3926642055439,18.6205838625637,3.58514750250348,0.00973511415858726,2,0.0125213084590175,0.272263933049357,0.266978241778961,0.383062272416039,0.406905883357436,0.00967869577421893,1.19159631125941,0.928450575828353,0.119111752752106,0.0749186956625436,1.15759044794036,1.18457622228707,1,9.86894072811356,30.6039018466576,1.65674207405303,1,0,0.0222222222222222,15.8796528877636,21.3358118037195,41.801163996622,14.1964569470445
57665,20,15.9505112052175,16.2943551030016,1,0.849541300790959,0.530017061659378,0.888874620360904,0.0412056243648974,0.360019563721532,1,4.41335554224511,0.383489069932271,2,0.5,0.01908549073126,0.00110291872763278,1,11.907608159665,16.6052878660481,3.49977206430915,0.0122360227662483,2,0.00937976846077655,0.197586723449395,0.394580197839892,0.270434838927303,0.268037313914231,0.00773897976144182,1.11722717689934,0.884588914653526,0.137518428727106,0.119049799141662,1.09440386256143,1.08391875243148,1,7.16468523528395,20.2314231115136,1.29442463838262,1,0,0.0222222222222222,18.017150252138,24.8383306091227,50.4473339393561,18.8947273300923
57712,20,17.2435710800164,13.2710341668713,1,0.968697821215163,0.595902072811858,0.792290588960368,0.0372159925587747,0.351229839793305,1,3.03145105747743,0.470321558636716,2,0.5,0.0191766593783194,0.0010025375365284,1,9.48199021700381,13.4995857124526,2.9009073350574,0.0138773834238476,2,0.013609159460197,0.205858858144348,0.280474468950123,0.387237837708616,0.332238931547584,0.0113561431945699,1.09687892820467,1.06116456652513,0.138111384522613,0.113937304680496,1.20174683070258,0.850034724282111,1,6.08574260511168,25.7053289109278,1.4141433651739,1,0,0.0222222222222222,15.537069451753,25.3039160214055,62.4778234371997,19.4714314345281
57799,20,15.8998141910123,14.4948684268961,1,0.993490995342408,0.635127884843801,0.927143166196441,0.0400302345685218,0.526177550778312,1,4.69184324633168,0.381160754477682,2,0.5,0.0206729184398055,0.00102502053451724,1,10.9016216631897,14.4215287282794,2.41167607312434,0.0140135018890012,2,0.0111802736148717,0.246859094240306,0.269895071099315,0.269737084180288,0.391057471928,0.00783251968276601,1.16566036059507,0.958565133507201,0.150470555461374,0.0967774983056441,0.936862461084072,1.24000629187516,1,8.52320998531255,27.0807540329814,1.63411872914326,1,0,0.0222222222222222,18.025905942395,31.5613170680558,61.8373576004904,20.8740995101067
57974,20,10.8814184505165,12.216999069455,1,1.0388032146014,0.512851121366997,0.683275613624309,0.0372202795457715,0.34891237416798,1,4.95636202758275,0.377748161878936,2,0.5,0.0271402772687918,0.00108447499750046,1,8.8072995071709,15.4333770905618,3.70737727565756,0.0109706765223125,2,0.0110654722334281,0.232763731338245,0.318119155848184,0.303118861363792,0.258882225711186,0.0107783273403217,1.06400466728475,1.01565504199367,0.0985348241938103,0.0772832033112167,1.10178617673364,1.20791243766339,1,6.19750984072795,29.9628787595738,1.07536041278214,1,0,0.0222222222222222,18.8078739400511,30.4498585255428,50.8182437379368,14.9821575476596
58619,20,13.5996549659345,10.7024535374152,1,0.952441306325975,0.699126928090988,1.05129699052743,0.0316490288021914,0.513347467173771,1,4.0527725104949,0.314397774570447,2,0.5,0.0284718895007298,0.0011911233927146,1,11.0547206750707,18.0679205483763,3.234191940151,0.012330267031645,2,0.0103021023583732,0.204460808818811,0.336798244887756,0.378764674414031,0.378061617381763,0.0102697247301718,1.1736937500714,0.882311015151934,0.118633058981096,0.11821365285117,1.14987693194886,1.15140505884579,1,7.51731960722944,31.3530970739522,1.53532279641057,1,0,0.0222222222222222,15.8861777329473,23.1745723688896,56.3597190737918,23.1027887588575
