"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",296,9413.44565650968,41753.2859161097,255111.724735154,73837.3291820381,223276857.787802,74939674.8328126,298216532.620614,0.0439921248468453,0.0349334784805023,6,8,8,45,1.2,14,30,60,20,0.213014861700769,0.296271346645068,0.200335746298064,0.21572565635351,0.0502333058297018,0.268213484592554,0.178746317656992,956,953,977,685,1070
"2",309,9155.45958337089,40266.010484363,329992.14786684,100229.288400054,217174241.650165,75173171.6663206,292347413.316486,0.043321263244176,0.0349851733679059,6,8,8,45,1.5,14,30,40,17,0.200374639853975,0.298796046622241,0.191394179701394,0.207588309725692,0.0749810165183781,0.354272470457669,0.208572543978231,999,936,965,771,1126
"3",310,9158.40360048317,40296.0712271824,321556.108665422,97870.5170290512,217526700.607608,74494587.0398165,292021287.647425,0.0433230582350017,0.0347623634204853,6,8,8,45,1.5,14,30,40,20,0.201104680759956,0.291458805404426,0.191574906235382,0.207681169341831,0.0727691992376636,0.34457705277666,0.20505509071974,996,939,966,767,1123
"4",311,9408.73360913462,41718.1753442349,262750.216103032,75775.2335560962,224797301.287988,72293782.6823397,297091083.970327,0.0439946207977398,0.033987414726036,6,8,8,45,1.5,14,30,60,17,0.216164124691331,0.267662462526435,0.200124659965321,0.215577029870107,0.0520504765973336,0.276992292098797,0.181853168575925,962,951,974,690,1079
"5",312,9411.70491936284,41748.0959776097,255514.346727703,74043.2833423923,225131341.720483,71676811.6639493,296808153.384432,0.043995914020333,0.0337740448969531,6,8,8,45,1.5,14,30,60,20,0.216856015689767,0.260991422527116,0.200304544155044,0.215670750360409,0.0504264288158913,0.268676212217701,0.178925851213169,957,952,976,687,1071
"6",318,6044.46918480434,26009.4563787267,336171.381483543,104692.230796661,219689681.901328,74656262.212781,294345944.114109,0.0434410014761568,0.034485791127323,6,8,8,45,1.5,17,30,40,20,0.205584818914881,0.293206928920108,0.105683137043442,0.109462054610631,0.0791659126202199,0.361374174163882,0.175191064366045,953,781,797,789,1131
"7",320,6297.81167604947,27346.3575315364,272110.882897563,80380.7934391702,223692779.954163,75031968.053228,298724748.007391,0.043802614531226,0.0342267901420102,6,8,8,45,1.5,17,30,60,20,0.213876352631089,0.297269273203537,0.113720646731189,0.117452934279967,0.056369104956985,0.287750370881844,0.14947055895388,916,801,817,710,1087
"8",421,6558.10258647454,27054.8411800691,217179.205910414,53258.4877536123,223186751.700055,74975390.4050247,298162142.10508,0.0437836079840118,0.034825571523887,6,9,8,45,1.2,14,30,40,17,0.21282822683579,0.296657523635111,0.111968037352305,0.125662979637956,0.0309365492012219,0.224618190057083,0.124192625175544,857,793,830,562,1030
"9",422,6557.9356202699,27066.8122963011,209529.428001906,51624.4809225708,223607746.890006,74199336.6608589,297807083.550865,0.0437854017612022,0.0345661057577987,6,9,8,45,1.2,14,30,40,20,0.213700225414333,0.288266391127044,0.112040008239969,0.125657713222348,0.0294043428203355,0.215826411093151,0.121108770466509,846,794,829,544,1015
"10",423,6823.36978155236,28412.4038192512,159003.691866545,38504.2045388524,228948176.183542,74408503.2731059,303356679.456648,0.0443466428242234,0.0344721880532419,6,9,8,45,1.2,14,30,60,17,0.22476174550751,0.290528018975403,0.120129764822744,0.134029986000257,0.0171014743058191,0.15775791428123,0.103289766740715,817,816,856,401,909
"11",424,6823.59547870007,28426.4820206726,152744.236836013,37602.501963234,229343661.667998,73685970.6536234,303029632.321621,0.0443482664046418,0.0342241954356376,6,9,8,45,1.2,14,30,60,20,0.225580906363765,0.282715587172763,0.120214403601066,0.134037104895868,0.01625594880753,0.150564013265893,0.100896290321414,800,818,857,390,889
