"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",561,4792.66970791226,15756.9105047805,60696.4266976686,15679.7694906468,96925.7764010082,157834495.730385,14390919.817432,172225415.547817,0.033523911663334,0.0176662148515328,6,10,6,40,1.5,14,22,40,17,1108,2364,2106,10,1819
"2",577,4786.40534692446,15735.4295555892,57776.5714324779,15296.8770116747,93595.2833466663,274005694.818008,13224286.1665942,287229980.984603,0.0432425820923866,0.0199804155329333,6,10,10,30,1.2,14,22,40,17,1022,2353,2094,2,1723
"3",593,4789.021947278,15737.0727012048,57742.5806676413,15236.2899705009,93504.965286625,275214305.101771,13163038.3235767,288377343.425348,0.0432702006453373,0.0199804155329333,6,10,10,30,1.5,14,22,40,17,1017,2355,2099,1,1721
"4",737,4110.46808388287,10803.7015181453,42391.0897853501,15466.931607323,72772.1909947013,440981070.545513,68966749.6950585,509947820.240571,0.0535584957295639,0.0241819378716198,6,11,10,40,1.2,14,22,40,17,276,978,1065,5,1137
"5",753,4114.00117471816,10806.2120646085,42349.8098228059,15410.0222889487,72680.0453510813,442406887.483905,69754849.1029993,512161736.586904,0.0535957187255753,0.0242686999712587,6,11,10,40,1.5,14,22,40,17,273,982,1075,3,1133
"6",761,5253.75363329733,12723.7556008719,47779.5485092894,15651.6946635137,81408.7524069723,441232171.618051,69303253.4736723,510535425.091724,0.0535278560905735,0.0242358477288353,6,11,10,40,1.5,17,22,40,17,586,1657,2554,9,1374
"7",2241,4358.73609917315,13363.5526509147,46062.4155815692,15629.4749534651,79414.1792851221,275573399.068301,13419156.1115302,288992555.179831,0.043340996902384,0.020052077986011,8,9,10,30,1.2,14,22,40,17,502,1841,1520,8,1298
"8",2249,4176.4815999486,10345.772727514,52402.3115301083,15508.7199402795,82433.2857978504,274572356.717401,13211815.1007841,287784171.818185,0.0432585046996419,0.019862845325136,8,9,10,30,1.2,17,22,40,17,614,746,1182,6,1543
"9",2257,4361.74794335398,13365.748896626,46014.1024240212,15551.4265356364,79293.0257996376,276786276.867773,13369597.5189548,290155874.386727,0.043368773523445,0.020052077986011,8,9,10,30,1.5,14,22,40,17,499,1844,1530,7,1297
"10",2265,4181.87365120195,10350.8258364958,52361.6539055118,15439.6310967205,82333.9844899301,275784004.042202,13159644.2125789,288943648.254781,0.0432862444346441,0.019862845325136,8,9,10,30,1.5,17,22,40,17,611,749,1191,4,1540
"11",763,4769.44550282099,11066.637589127,23191.8185495533,25598.4681609651,64626.3698024663,461566780.369997,82843661.7308967,544410442.100894,0.0547291280091174,0.0265202054427758,6,11,10,40,1.5,17,22,60,17,58,1078,2076,1083,7
"12",1507,4075.91651731427,12084.5552476008,22530.0564383001,21815.0003497825,60505.5285529977,459621818.390897,81518098.0425702,541139916.433467,0.0545922480304626,0.0262206069061332,7,10,10,40,1.2,14,22,60,17,12,1476,984,724,2
"13",1523,4078.72131774452,12086.4339485401,22451.8767211342,21717.6760998704,60334.7080872892,461071980.426673,82406432.5363781,543478412.963051,0.0546288182384084,0.0263064146291721,7,10,10,40,1.5,14,22,60,17,10,1477,989,713,1
"14",2295,4409.51800534626,15045.1479866852,23252.7790545638,26291.1187350977,68998.5637816929,476314222.347023,89636814.1941346,565951036.541157,0.0555103332076756,0.0274390136673364,8,9,10,40,1.5,14,30,60,17,154,2184,1605,1139,10
"15",3171,3786.14017809932,10213.094307206,23238.5722838588,28612.8759519064,65850.6827210705,461241803.841105,82240968.3296076,543482772.170712,0.054727300535932,0.0264191851348159,9,9,10,40,1.2,14,22,60,17,81,683,372,1268,8
"16",3179,4339.47911344421,9702.49364899217,22764.1549339047,24824.931011334,61631.0587076751,459589868.165844,81444368.5181118,541034236.683955,0.0546079187850586,0.026293474716124,9,9,10,40,1.2,17,22,60,17,20,449,1474,1011,4
"17",3187,3789.35070977935,10215.5254972846,23142.0564376013,28495.109716617,65642.0423612823,462690727.735822,83137994.7242226,545828722.460044,0.0547636574885049,0.0265045990293582,9,9,10,40,1.5,14,22,60,17,76,685,379,1262,5
"18",3195,4344.92558336487,9707.36945140842,22675.9299016953,24716.9123158825,61445.1372523511,461039427.891737,82335057.6959015,543374485.587639,0.0546443289873406,0.0263786995399924,9,9,10,40,1.5,17,22,60,17,17,452,1484,999,3
"19",5603,3601.09792405891,9755.73580521855,23249.1091525649,28606.8917248647,65212.834606707,460482227.701431,81285557.9775772,541767785.679008,0.054624942161124,0.0262099740534902,12,7,10,40,1.2,14,22,60,17,73,481,114,1267,9
"20",5619,3604.20914543533,9758.25411945345,23161.3489048221,28498.9408672982,65022.7530370091,461931350.755687,82173112.4466356,544104463.202322,0.0546615215278232,0.0262955204230313,12,7,10,40,1.5,14,22,60,17,70,482,116,1263,6
"21",3952,3555.2328464328,8004.87210870816,26881.4122779389,30934.6194667829,69376.1366998627,476071223.232557,89696507.913437,565767731.145994,0.0555529224789742,0.0275678912006287,10,8,10,40,1.2,17,30,60,20,170,9,67,1422,133
