"sim_calib_id","b1_calib_id","b2_calib_id","m1_calib_id","m2_calib_id","m3_calib_id","m4_calib_id"
1,8,6,"1-L","2-L","3-L","4-L"
2,8,6,"1-L","2-L","3-L","4-M"
3,8,6,"1-L","2-L","3-L","4-H"
4,8,6,"1-L","2-L","3-M","4-L"
5,8,6,"1-L","2-L","3-M","4-M"
6,8,6,"1-L","2-L","3-M","4-H"
7,8,6,"1-L","2-L","3-H","4-L"
8,8,6,"1-L","2-L","3-H","4-M"
9,8,6,"1-L","2-L","3-H","4-H"
10,8,6,"1-L","2-M","3-L","4-L"
11,8,6,"1-L","2-M","3-L","4-M"
12,8,6,"1-L","2-M","3-L","4-H"
13,8,6,"1-L","2-M","3-M","4-L"
14,8,6,"1-L","2-M","3-M","4-M"
15,8,6,"1-L","2-M","3-M","4-H"
16,8,6,"1-L","2-M","3-H","4-L"
17,8,6,"1-L","2-M","3-H","4-M"
18,8,6,"1-L","2-M","3-H","4-H"
19,8,6,"1-L","2-H","3-L","4-L"
20,8,6,"1-L","2-H","3-L","4-M"
21,8,6,"1-L","2-H","3-L","4-H"
22,8,6,"1-L","2-H","3-M","4-L"
23,8,6,"1-L","2-H","3-M","4-M"
24,8,6,"1-L","2-H","3-M","4-H"
25,8,6,"1-L","2-H","3-H","4-L"
26,8,6,"1-L","2-H","3-H","4-M"
27,8,6,"1-L","2-H","3-H","4-H"
28,8,6,"1-M","2-L","3-L","4-L"
29,8,6,"1-M","2-L","3-L","4-M"
30,8,6,"1-M","2-L","3-L","4-H"
31,8,6,"1-M","2-L","3-M","4-L"
32,8,6,"1-M","2-L","3-M","4-M"
33,8,6,"1-M","2-L","3-M","4-H"
34,8,6,"1-M","2-L","3-H","4-L"
35,8,6,"1-M","2-L","3-H","4-M"
36,8,6,"1-M","2-L","3-H","4-H"
37,8,6,"1-M","2-M","3-L","4-L"
38,8,6,"1-M","2-M","3-L","4-M"
39,8,6,"1-M","2-M","3-L","4-H"
40,8,6,"1-M","2-M","3-M","4-L"
41,8,6,"1-M","2-M","3-M","4-M"
42,8,6,"1-M","2-M","3-M","4-H"
43,8,6,"1-M","2-M","3-H","4-L"
44,8,6,"1-M","2-M","3-H","4-M"
45,8,6,"1-M","2-M","3-H","4-H"
46,8,6,"1-M","2-H","3-L","4-L"
47,8,6,"1-M","2-H","3-L","4-M"
48,8,6,"1-M","2-H","3-L","4-H"
49,8,6,"1-M","2-H","3-M","4-L"
50,8,6,"1-M","2-H","3-M","4-M"
51,8,6,"1-M","2-H","3-M","4-H"
52,8,6,"1-M","2-H","3-H","4-L"
53,8,6,"1-M","2-H","3-H","4-M"
54,8,6,"1-M","2-H","3-H","4-H"
55,8,6,"1-H","2-L","3-L","4-L"
56,8,6,"1-H","2-L","3-L","4-M"
57,8,6,"1-H","2-L","3-L","4-H"
58,8,6,"1-H","2-L","3-M","4-L"
59,8,6,"1-H","2-L","3-M","4-M"
60,8,6,"1-H","2-L","3-M","4-H"
61,8,6,"1-H","2-L","3-H","4-L"
62,8,6,"1-H","2-L","3-H","4-M"
63,8,6,"1-H","2-L","3-H","4-H"
64,8,6,"1-H","2-M","3-L","4-L"
65,8,6,"1-H","2-M","3-L","4-M"
66,8,6,"1-H","2-M","3-L","4-H"
67,8,6,"1-H","2-M","3-M","4-L"
68,8,6,"1-H","2-M","3-M","4-M"
69,8,6,"1-H","2-M","3-M","4-H"
70,8,6,"1-H","2-M","3-H","4-L"
71,8,6,"1-H","2-M","3-H","4-M"
72,8,6,"1-H","2-M","3-H","4-H"
73,8,6,"1-H","2-H","3-L","4-L"
74,8,6,"1-H","2-H","3-L","4-M"
75,8,6,"1-H","2-H","3-L","4-H"
76,8,6,"1-H","2-H","3-M","4-L"
77,8,6,"1-H","2-H","3-M","4-M"
78,8,6,"1-H","2-H","3-M","4-H"
79,8,6,"1-H","2-H","3-H","4-L"
80,8,6,"1-H","2-H","3-H","4-M"
81,8,6,"1-H","2-H","3-H","4-H"
82,8,6.4,"1-L","2-L","3-L","4-L"
83,8,6.4,"1-L","2-L","3-L","4-M"
84,8,6.4,"1-L","2-L","3-L","4-H"
85,8,6.4,"1-L","2-L","3-M","4-L"
86,8,6.4,"1-L","2-L","3-M","4-M"
87,8,6.4,"1-L","2-L","3-M","4-H"
88,8,6.4,"1-L","2-L","3-H","4-L"
89,8,6.4,"1-L","2-L","3-H","4-M"
90,8,6.4,"1-L","2-L","3-H","4-H"
91,8,6.4,"1-L","2-M","3-L","4-L"
92,8,6.4,"1-L","2-M","3-L","4-M"
93,8,6.4,"1-L","2-M","3-L","4-H"
94,8,6.4,"1-L","2-M","3-M","4-L"
95,8,6.4,"1-L","2-M","3-M","4-M"
96,8,6.4,"1-L","2-M","3-M","4-H"
97,8,6.4,"1-L","2-M","3-H","4-L"
98,8,6.4,"1-L","2-M","3-H","4-M"
99,8,6.4,"1-L","2-M","3-H","4-H"
100,8,6.4,"1-L","2-H","3-L","4-L"
101,8,6.4,"1-L","2-H","3-L","4-M"
102,8,6.4,"1-L","2-H","3-L","4-H"
103,8,6.4,"1-L","2-H","3-M","4-L"
104,8,6.4,"1-L","2-H","3-M","4-M"
105,8,6.4,"1-L","2-H","3-M","4-H"
106,8,6.4,"1-L","2-H","3-H","4-L"
107,8,6.4,"1-L","2-H","3-H","4-M"
108,8,6.4,"1-L","2-H","3-H","4-H"
109,8,6.4,"1-M","2-L","3-L","4-L"
110,8,6.4,"1-M","2-L","3-L","4-M"
111,8,6.4,"1-M","2-L","3-L","4-H"
112,8,6.4,"1-M","2-L","3-M","4-L"
113,8,6.4,"1-M","2-L","3-M","4-M"
114,8,6.4,"1-M","2-L","3-M","4-H"
115,8,6.4,"1-M","2-L","3-H","4-L"
116,8,6.4,"1-M","2-L","3-H","4-M"
117,8,6.4,"1-M","2-L","3-H","4-H"
118,8,6.4,"1-M","2-M","3-L","4-L"
119,8,6.4,"1-M","2-M","3-L","4-M"
120,8,6.4,"1-M","2-M","3-L","4-H"
121,8,6.4,"1-M","2-M","3-M","4-L"
122,8,6.4,"1-M","2-M","3-M","4-M"
123,8,6.4,"1-M","2-M","3-M","4-H"
124,8,6.4,"1-M","2-M","3-H","4-L"
125,8,6.4,"1-M","2-M","3-H","4-M"
126,8,6.4,"1-M","2-M","3-H","4-H"
127,8,6.4,"1-M","2-H","3-L","4-L"
128,8,6.4,"1-M","2-H","3-L","4-M"
129,8,6.4,"1-M","2-H","3-L","4-H"
130,8,6.4,"1-M","2-H","3-M","4-L"
131,8,6.4,"1-M","2-H","3-M","4-M"
