"year","mean_incremental_undisc_cost"
2018,34711.6269813364
2019,32767.6583001237
2020,2753.967982858
2021,-17761.6466926389
2022,-27970.26751857
2023,-32197.9621499065
2024,-33686.3573705138
2025,-34166.9019942878
2026,-34403.7896587917
2027,-34664.8326597116
