"sim_id","program_id","undisc_mort","disc_mort"
10051,1,1952.9417200283,1713.57818175602
10051,2,1533.08863425144,1354.10848436968
10051,3,1506.46242030111,1331.35471288572
10160,1,1538.2761993709,1350.18803161619
10160,2,1057.7860840669,938.210957111178
10160,3,1041.82807499335,924.570203098697
10289,1,1754.59640971197,1541.25733648269
10289,2,1356.48787331829,1201.25031697617
10289,3,1343.22238430171,1189.90070384369
10342,1,1787.2256671654,1568.06423472188
10342,2,1318.05600709023,1166.8079985233
10342,3,1311.74168010525,1161.26798741246
10463,1,1708.74082942247,1499.35732551624
10463,2,1297.96852214526,1149.24573822531
10463,3,1272.80464458172,1127.61572533123
10508,1,1805.20511484124,1585.94884748119
10508,2,1399.16662806749,1238.34507484724
10508,3,1397.77532966951,1237.02256840328
10537,1,1638.25389123922,1438.80345885011
10537,2,1229.13149553701,1088.8462142264
10537,3,1215.51136410779,1077.22015763437
10610,1,1857.29223834701,1630.56225041238
10610,2,1301.70429035725,1155.1140135241
10610,3,1278.44506407714,1135.07458695052
10791,1,1902.09066072766,1668.77431764204
10791,2,1392.90160231015,1232.39915758616
10791,3,1380.30229800909,1221.62254698505
108,1,1970.45485709678,1730.08407785615
108,2,1454.1305355453,1289.57712708966
108,3,1440.16663537663,1277.44116375238
1089,1,2032.23434778012,1783.95989211702
1089,2,1516.28248977573,1342.93247136921
1089,3,1489.46007795314,1319.92909465271
11012,1,1693.21129004573,1487.0505282055
11012,2,1240.16516895331,1099.9597307966
11012,3,1222.19323583146,1084.43674784254
11093,1,1795.50858574736,1577.90243687825
11093,2,1271.81497950909,1128.70916530484
11093,3,1262.20986538945,1120.44792363564
11099,1,1704.56526557711,1495.75270286482
11099,2,1204.62271198349,1066.34916889681
11099,3,1192.081049564,1055.65036110304
1116,1,1800.82271346258,1580.60045835625
1116,2,1329.34759606932,1175.51773736367
1116,3,1306.66773009693,1156.16359973304
11232,1,2117.21114067432,1857.43418111008
11232,2,1421.82010750503,1261.68747031623
11232,3,1401.65555202626,1244.42108742334
1134,1,1860.29600766845,1633.64673476341
1134,2,1425.92861059998,1262.24604680037
1134,3,1409.81590492838,1248.45242646248
11370,1,1606.32454600962,1410.00417881655
11370,2,1217.58425795956,1076.98841666491
11370,3,1216.17435061532,1075.61413763326
11449,1,1849.470028615,1622.10576389703
11449,2,1334.72732369455,1181.67642566897
11449,3,1319.44658280751,1168.47770925687
11480,1,1695.37475293123,1488.18435668466
11480,2,1216.0626941558,1078.0836589223
11480,3,1191.31361232487,1056.95382873946
11560,1,1901.03237658615,1669.68566885452
11560,2,1378.68206675176,1220.99264203721
11560,3,1362.50857259798,1207.16432078069
11599,1,1798.40357909755,1579.92924649425
11599,2,1325.27401585275,1175.43982902932
11599,3,1309.11358833167,1161.53757870576
11615,1,1665.72519081418,1461.63848741047
11615,2,1221.79133301211,1082.01047736984
11615,3,1209.59916415627,1071.38920846327
11670,1,1880.28385023812,1650.78611752188
11670,2,1393.49187915156,1232.6702261426
11670,3,1376.96550251525,1218.54569257457
11672,1,1705.25121723932,1498.65240798579
11672,2,1338.92482212052,1186.86089804213
11672,3,1318.23367739913,1169.00823602744
11691,1,1976.15379835538,1735.01720884365
11691,2,1351.97798296628,1200.28800527655
11691,3,1315.27717887886,1168.97517038434
11716,1,1899.16131643672,1667.14192264065
11716,2,1372.46545164969,1215.57204038695
11716,3,1360.90733809349,1205.66462938706
11810,1,1878.75741055469,1649.11312674806
11810,2,1446.25936068658,1279.5058176663
11810,3,1407.78487615356,1246.72095484511
11956,1,1745.66529990867,1534.45042047244
11956,2,1333.0012007327,1181.01731073719
11956,3,1324.84628041781,1173.91266763475
11964,1,1742.09821118294,1529.55572442651
11964,2,1287.71885943877,1140.80833495303
11964,3,1268.16961817152,1123.92646277927
11986,1,1861.90294032885,1635.9277305382
11986,2,1339.43839293321,1187.7074284636
11986,3,1314.45866114548,1166.4898109275
12139,1,1898.64366388597,1667.83254165377
12139,2,1464.10434116105,1295.04764320147
12139,3,1437.26525796949,1272.11667044575
12569,1,1837.60049502075,1616.16591137706
12569,2,1326.49048096519,1179.22194310679
12569,3,1294.23407121849,1151.62497319235
12803,1,1803.5937501468,1583.34753705795
12803,2,1317.62886194813,1167.78637853526
12803,3,1306.48505611393,1158.22025678136
12825,1,2006.31752581216,1761.20263490481
12825,2,1442.83544758466,1277.90081159518
12825,3,1434.25728899397,1270.44426173762
12849,1,1706.86919480536,1498.300125975
12849,2,1250.82037917801,1107.38746174924
12849,3,1235.02093322873,1093.82133070012
12981,1,1802.1976022226,1583.05378910228
12981,2,1267.1013298119,1124.35445043373
12981,3,1242.96604014732,1103.60800956401
13073,1,1721.47910161522,1510.85891657609
13073,2,1246.26563079748,1103.15066800061
13073,3,1240.873226896,1098.48895792889
1308,1,1941.53581008453,1704.17895222891
1308,2,1478.00567151687,1307.64189943428
1308,3,1452.61486609706,1285.97214680067
13295,1,1477.95811461545,1299.73466548438
13295,2,1041.53289712184,925.075979058967
13295,3,1024.893014289,910.897136200124
13492,1,2087.21442588889,1831.11639919879
13492,2,1558.01709760832,1378.68579911909
13492,3,1528.1567429493,1353.30127487692
13500,1,1932.67389744701,1696.77124030572
13500,2,1432.71942444773,1268.75877043445
13500,3,1396.69274550618,1238.14311176448
13611,1,2040.38787814013,1789.91399609835
13611,2,1527.14251275831,1351.02850007805
13611,3,1479.64739329587,1310.65422646626
13645,1,1599.45847507277,1404.70643224502
13645,2,1155.13001865379,1024.40885722322
13645,3,1143.73860841352,1014.58443022678
13702,1,1700.23297477179,1493.21315455331
13702,2,1260.75084361732,1117.40499442093
13702,3,1224.64270824779,1086.72061386037
13732,1,1948.48807769203,1711.43742272672
13732,2,1303.53253851435,1158.25077099504
13732,3,1300.20290964366,1155.25629600792
1375,1,1619.36024380739,1422.17187107923
1375,2,1118.20393892203,992.001822513481
1375,3,1110.95044038961,985.714415082593
13868,1,1778.00154498479,1560.84719844059
13868,2,1382.01090211306,1221.94648956784
13868,3,1365.69895983032,1207.96841503869
13953,1,1731.39257059045,1520.75650826723
13953,2,1294.85183073098,1146.08101710352
13953,3,1252.01352640147,1109.88415424851
13989,1,1888.37530661636,1657.80716631147
13989,2,1408.00232424073,1247.10764587875
13989,3,1366.98178966684,1212.31078738746
14017,1,1691.59351790236,1485.69676226341
14017,2,1303.05147573697,1153.23110468275
14017,3,1294.23933138001,1145.56960033498
14037,1,1997.78870047551,1753.94303331072
14037,2,1429.22024086012,1266.37802354387
14037,3,1415.27481359987,1254.34161912068
14082,1,1891.85034245042,1661.62452064337
14082,2,1425.75548059665,1262.77485530005
14082,3,1390.77922143981,1232.95213008169
14268,1,2224.20257846424,1952.41919904403
14268,2,1673.40029777751,1480.73402571057
14268,3,1649.58902503469,1460.39041209833
14300,1,1762.784746788,1547.28036458453
14300,2,1278.5516632985,1133.05160270738
14300,3,1244.0575560048,1103.66447651217
14471,1,1788.76687588828,1571.10202586738
14471,2,1327.39136923768,1175.09572769857
14471,3,1311.45952343744,1161.60254293653
14530,1,1959.48113148121,1721.56164011269
14530,2,1414.25785676478,1253.17095869154
14530,3,1376.94230204502,1221.43338942558
14566,1,1786.22703337445,1568.81114756994
14566,2,1361.45692326002,1205.43576148985
14566,3,1360.65591772373,1204.53522378122
14634,1,1923.9520613847,1690.17928815543
14634,2,1375.62459085836,1219.89032815169
14634,3,1362.17709266341,1208.2759927001
14671,1,1815.11593418681,1594.04329733154
14671,2,1371.1001290137,1213.10009640998
14671,3,1327.38095763172,1176.03544317626
14677,1,1765.01180287718,1550.3248739031
14677,2,1365.88044477912,1209.23586612586
14677,3,1352.72348243156,1197.86034579382
147,1,1884.34595526393,1656.50904196889
147,2,1328.05476805791,1180.3415188259
147,3,1311.56995124036,1166.25241611047
14701,1,1701.41817059684,1494.28683044032
14701,2,1230.062293855,1089.54542150721
14701,3,1205.34744446733,1068.58742127412
14831,1,2123.68293711382,1865.64112840581
14831,2,1546.49901954341,1371.92895307188
14831,3,1537.06257420095,1363.7968034196
14918,1,1798.05517137247,1578.75484118093
14918,2,1307.61683181182,1158.80490981569
14918,3,1292.5260372368,1145.80522388645
15269,1,1870.07181604385,1639.91309132361
15269,2,1332.85169988398,1179.14868564879
15269,3,1317.38333138963,1165.95148788601
15433,1,1683.47941894083,1479.46110556162
15433,2,1294.55136583886,1148.22128521754
15433,3,1266.90781612178,1124.6219475535
15463,1,2067.5724712702,1813.28854348889
15463,2,1419.56526484487,1256.99746996971
15463,3,1405.27936731923,1244.86110165464
15579,1,1520.81587566569,1335.9142852542
15579,2,1072.73207200023,951.586555274796
15579,3,1067.46995117532,947.006112629787
15684,1,1735.5945071047,1525.41426533073
15684,2,1282.02487320465,1137.1070175954
15684,3,1276.56122119421,1132.27305573089
15798,1,1789.56498588612,1570.85213570385
15798,2,1278.29480522601,1132.35404730791
15798,3,1275.16820768976,1129.49120377995
15828,1,1802.17893985096,1581.82278873915
15828,2,1309.67930902276,1160.21051369863
15828,3,1294.32265495302,1147.14527432379
16005,1,1744.23339646898,1532.32381127113
16005,2,1280.73988187658,1135.20874827856
16005,3,1256.22427428598,1114.24806527525
16034,1,2018.98408619168,1774.58934144273
16034,2,1462.98184776891,1298.52427393259
16034,3,1429.40067023058,1269.89149622685
16141,1,1703.61834228657,1497.07796850331
16141,2,1229.09615320372,1090.36526818051
16141,3,1197.59159340061,1063.50983382653
16204,1,1473.23582620726,1294.20940680588
16204,2,1084.18993914911,959.994850571989
16204,3,1073.50164886585,950.850512514889
16214,1,1675.26748394451,1469.50387848526
16214,2,1187.47853910407,1051.15835363471
16214,3,1160.58210258775,1028.34259998232
16304,1,1794.42665732797,1575.22032805109
16304,2,1295.06393987052,1147.1455804644
16304,3,1265.8454115149,1122.37104703751
16451,1,1872.62191715246,1645.39560262267
16451,2,1275.7054848367,1132.78405850477
16451,3,1273.69921093485,1130.95080708313
16482,1,1696.7536388778,1489.53129023194
16482,2,1188.88450407587,1053.6059374922
16482,3,1187.08053978722,1051.94801778332
16528,1,1758.40676406451,1542.59299313261
