"G_compartment","sex_name","year","expected_total_pop","expected_disease_pop","expected_non_disease_pop","expected_non_disease_mort_total","expected_non_disease_mort_rate","TB_compartment","HIV_compartment","hiv_adj","tb_adj","mort_rate","level"
1,"male",2004,13578680.9523738,1703186.87635862,11875494.0760152,101184.85281333,0.00852047520428575,7,1,1,1,0.00852047520428575,"H"
1,"male",2004,13578680.9523738,1703186.87635862,11875494.0760152,101184.85281333,0.00852047520428575,7,2,5,1,0.0426023760214288,"H"
1,"male",2004,13578680.9523738,1703186.87635862,11875494.0760152,101184.85281333,0.00852047520428575,7,3,10,1,0.0852047520428575,"H"
1,"male",2004,13578680.9523738,1703186.87635862,11875494.0760152,101184.85281333,0.00852047520428575,7,4,1.2,1,0.0102245702451429,"H"
1,"male",2004,13578680.9523738,1703186.87635862,11875494.0760152,101184.85281333,0.00852047520428575,8,1,1,1,0.00852047520428575,"H"
1,"male",2004,13578680.9523738,1703186.87635862,11875494.0760152,101184.85281333,0.00852047520428575,8,2,5,1,0.0426023760214288,"H"
1,"male",2004,13578680.9523738,1703186.87635862,11875494.0760152,101184.85281333,0.00852047520428575,8,3,10,1,0.0852047520428575,"H"
1,"male",2004,13578680.9523738,1703186.87635862,11875494.0760152,101184.85281333,0.00852047520428575,8,4,1.2,1,0.0102245702451429,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,1,1,1,1,0.00839470012922541,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,1,2,5,1,0.041973500646127,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,1,3,10,1,0.0839470012922541,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,1,4,1.2,1,0.0100736401550705,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,2,1,1,1,0.00839470012922541,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,2,2,5,1,0.041973500646127,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,2,3,10,1,0.0839470012922541,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,2,4,1.2,1,0.0100736401550705,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,3,1,1,1,0.00839470012922541,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,3,2,5,1,0.041973500646127,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,3,3,10,1,0.0839470012922541,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,3,4,1.2,1,0.0100736401550705,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,4,1,1,1,0.00839470012922541,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,4,2,5,1,0.041973500646127,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,4,3,10,1,0.0839470012922541,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,4,4,1.2,1,0.0100736401550705,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,5,1,1,1,0.00839470012922541,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,5,2,5,1,0.041973500646127,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,5,3,10,1,0.0839470012922541,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,5,4,1.2,1,0.0100736401550705,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,6,1,1,20,0.167894002584508,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,6,2,5,6,0.251841003876762,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,6,3,10,5,0.41973500646127,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,6,4,1.2,20,0.20147280310141,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,7,1,1,1,0.00839470012922541,"H"
