"sim_id","variable","value","TB_compartment","DR_compartment","HIV_compartment","G_compartment"
1,"N_1_1_1_1",11665.5086209762,"1","1","1","1"
1,"N_1_1_1_2",11773.8511337755,"1","1","1","2"
1,"N_1_1_2_1",499.360176271998,"1","1","2","1"
1,"N_1_1_2_2",945.74025894474,"1","1","2","2"
1,"N_1_1_3_1",205.458730670482,"1","1","3","1"
1,"N_1_1_3_2",292.01132153436,"1","1","3","2"
1,"N_1_1_4_1",0,"1","1","4","1"
1,"N_1_1_4_2",0,"1","1","4","2"
1,"N_1_2_1_1",0,"1","2","1","1"
1,"N_1_2_1_2",0,"1","2","1","2"
1,"N_1_2_2_1",0,"1","2","2","1"
1,"N_1_2_2_2",0,"1","2","2","2"
1,"N_1_2_3_1",0,"1","2","3","1"
1,"N_1_2_3_2",0,"1","2","3","2"
1,"N_1_2_4_1",0,"1","2","4","1"
1,"N_1_2_4_2",0,"1","2","4","2"
1,"N_2_1_1_1",0,"2","1","1","1"
1,"N_2_1_1_2",0,"2","1","1","2"
1,"N_2_1_2_1",0.765471905010991,"2","1","2","1"
1,"N_2_1_2_2",1.46954436435861,"2","1","2","2"
1,"N_2_1_3_1",0.365798128933108,"2","1","3","1"
1,"N_2_1_3_2",0.520713080830075,"2","1","3","2"
1,"N_2_1_4_1",0,"2","1","4","1"
1,"N_2_1_4_2",0,"2","1","4","2"
1,"N_2_2_1_1",0,"2","2","1","1"
1,"N_2_2_1_2",0,"2","2","1","2"
1,"N_2_2_2_1",0,"2","2","2","1"
1,"N_2_2_2_2",0,"2","2","2","2"
1,"N_2_2_3_1",0,"2","2","3","1"
1,"N_2_2_3_2",0,"2","2","3","2"
1,"N_2_2_4_1",0,"2","2","4","1"
1,"N_2_2_4_2",0,"2","2","4","2"
1,"N_3_1_1_1",1409.03450294122,"3","1","1","1"
1,"N_3_1_1_2",1428.42394042891,"3","1","1","2"
1,"N_3_1_2_1",41.7009889316085,"3","1","2","1"
1,"N_3_1_2_2",78.5226802835874,"3","1","2","2"
1,"N_3_1_3_1",12.819139769166,"3","1","3","1"
1,"N_3_1_3_2",18.2052101363742,"3","1","3","2"
1,"N_3_1_4_1",0,"3","1","4","1"
1,"N_3_1_4_2",0,"3","1","4","2"
1,"N_3_2_1_1",54.1373588876688,"3","2","1","1"
1,"N_3_2_1_2",54.8823320829386,"3","2","1","2"
1,"N_3_2_2_1",1.60667403976123,"3","2","2","1"
1,"N_3_2_2_2",3.02555960035339,"3","2","2","2"
1,"N_3_2_3_1",0.494020080422717,"3","2","3","1"
1,"N_3_2_3_2",0.701596985263311,"3","2","3","2"
1,"N_3_2_4_1",0,"3","2","4","1"
1,"N_3_2_4_2",0,"3","2","4","2"
1,"N_4_1_1_1",30827.2194934574,"4","1","1","1"
1,"N_4_1_1_2",31310.3015892415,"4","1","1","2"
1,"N_4_1_2_1",1104.99134477408,"4","1","2","1"
1,"N_4_1_2_2",2081.86004392835,"4","1","2","2"
1,"N_4_1_3_1",400.39422448702,"4","1","3","1"
1,"N_4_1_3_2",566.937230226612,"4","1","3","2"
1,"N_4_1_4_1",0,"4","1","4","1"
1,"N_4_1_4_2",0,"4","1","4","2"
1,"N_4_2_1_1",1184.30140433861,"4","2","1","1"
1,"N_4_2_1_2",1202.99387813442,"4","2","1","2"
1,"N_4_2_2_1",42.778771327464,"4","2","2","1"
1,"N_4_2_2_2",80.6437588390123,"4","2","2","2"
1,"N_4_2_3_1",15.6088411612736,"4","2","3","1"
1,"N_4_2_3_2",22.110176626332,"4","2","3","2"
1,"N_4_2_4_1",0,"4","2","4","1"
1,"N_4_2_4_2",0,"4","2","4","2"
1,"N_5_1_1_1",0,"5","1","1","1"
1,"N_5_1_1_2",0,"5","1","1","2"
1,"N_5_1_2_1",1.68373831851833,"5","1","2","1"
1,"N_5_1_2_2",3.21295658465103,"5","1","2","2"
1,"N_5_1_3_1",0.693902026399079,"5","1","3","1"
1,"N_5_1_3_2",0.984197772516978,"5","1","3","2"
1,"N_5_1_4_1",0,"5","1","4","1"
1,"N_5_1_4_2",0,"5","1","4","2"
1,"N_5_2_1_1",0,"5","2","1","1"
1,"N_5_2_1_2",0,"5","2","1","2"
1,"N_5_2_2_1",0,"5","2","2","1"
1,"N_5_2_2_2",0,"5","2","2","2"
1,"N_5_2_3_1",0,"5","2","3","1"
1,"N_5_2_3_2",0,"5","2","3","2"
1,"N_5_2_4_1",0,"5","2","4","1"
1,"N_5_2_4_2",0,"5","2","4","2"
1,"N_6_1_1_1",168.38178659845,"6","1","1","1"
1,"N_6_1_1_2",170.664695342865,"6","1","1","2"
1,"N_6_1_2_1",20.7554230131008,"6","1","2","1"
1,"N_6_1_2_2",39.7070833732095,"6","1","2","2"
1,"N_6_1_3_1",13.9000026133457,"6","1","3","1"
1,"N_6_1_3_2",19.7521300017234,"6","1","3","2"
1,"N_6_1_4_1",0,"6","1","4","1"
1,"N_6_1_4_2",0,"6","1","4","2"
1,"N_6_2_1_1",6.4692782540186,"6","2","1","1"
1,"N_6_2_1_2",6.55721512093935,"6","2","1","2"
1,"N_6_2_2_1",0.792459068210638,"6","2","2","1"
1,"N_6_2_2_2",1.51553647511958,"6","2","2","2"
1,"N_6_2_3_1",0.527307392242481,"6","2","3","1"
1,"N_6_2_3_2",0.749173685760135,"6","2","3","2"
1,"N_6_2_4_1",0,"6","2","4","1"
1,"N_6_2_4_2",0,"6","2","4","2"
1,"N_7_1_1_1",901.326876952675,"7","1","1","1"
1,"N_7_1_1_2",916.33117748636,"7","1","1","2"
1,"N_7_1_2_1",61.009150623987,"7","1","2","1"
1,"N_7_1_2_2",119.031415565884,"7","1","2","2"
1,"N_7_1_3_1",43.1532066213111,"7","1","3","1"
1,"N_7_1_3_2",61.8104796273483,"7","1","3","2"
1,"N_7_1_4_1",0,"7","1","4","1"
