"","year","sim_id","time","N_1_1_1_1","N_1_1_1_2","N_1_1_2_1","N_1_1_2_2","N_1_1_3_1","N_1_1_3_2","N_1_1_4_1","N_1_1_4_2","N_1_2_1_1","N_1_2_1_2","N_1_2_2_1","N_1_2_2_2","N_1_2_3_1","N_1_2_3_2","N_1_2_4_1","N_1_2_4_2","N_2_1_1_1","N_2_1_1_2","N_2_1_2_1","N_2_1_2_2","N_2_1_3_1","N_2_1_3_2","N_2_1_4_1","N_2_1_4_2","N_2_2_1_1","N_2_2_1_2","N_2_2_2_1","N_2_2_2_2","N_2_2_3_1","N_2_2_3_2","N_2_2_4_1","N_2_2_4_2","N_3_1_1_1","N_3_1_1_2","N_3_1_2_1","N_3_1_2_2","N_3_1_3_1","N_3_1_3_2","N_3_1_4_1","N_3_1_4_2","N_3_2_1_1","N_3_2_1_2","N_3_2_2_1","N_3_2_2_2","N_3_2_3_1","N_3_2_3_2","N_3_2_4_1","N_3_2_4_2","N_4_1_1_1","N_4_1_1_2","N_4_1_2_1","N_4_1_2_2","N_4_1_3_1","N_4_1_3_2","N_4_1_4_1","N_4_1_4_2","N_4_2_1_1","N_4_2_1_2","N_4_2_2_1","N_4_2_2_2","N_4_2_3_1","N_4_2_3_2","N_4_2_4_1","N_4_2_4_2","N_5_1_1_1","N_5_1_1_2","N_5_1_2_1","N_5_1_2_2","N_5_1_3_1","N_5_1_3_2","N_5_1_4_1","N_5_1_4_2","N_5_2_1_1","N_5_2_1_2","N_5_2_2_1","N_5_2_2_2","N_5_2_3_1","N_5_2_3_2","N_5_2_4_1","N_5_2_4_2","N_6_1_1_1","N_6_1_1_2","N_6_1_2_1","N_6_1_2_2","N_6_1_3_1","N_6_1_3_2","N_6_1_4_1","N_6_1_4_2","N_6_2_1_1","N_6_2_1_2","N_6_2_2_1","N_6_2_2_2","N_6_2_3_1","N_6_2_3_2","N_6_2_4_1","N_6_2_4_2","N_7_1_1_1","N_7_1_1_2","N_7_1_2_1","N_7_1_2_2","N_7_1_3_1","N_7_1_3_2","N_7_1_4_1","N_7_1_4_2","N_7_2_1_1","N_7_2_1_2","N_7_2_2_1","N_7_2_2_2","N_7_2_3_1","N_7_2_3_2","N_7_2_4_1","N_7_2_4_2","N_8_1_1_1","N_8_1_1_2","N_8_1_2_1","N_8_1_2_2","N_8_1_3_1","N_8_1_3_2","N_8_1_4_1","N_8_1_4_2","N_8_2_1_1","N_8_2_1_2","N_8_2_2_1","N_8_2_2_2","N_8_2_3_1","N_8_2_3_2","N_8_2_4_1","N_8_2_4_2","HIV_neg_male","HIV_neg_female","HIV_pos_male","HIV_pos_female"
"1",1990,1567,0,8124.13422556788,8170.80546084876,374.651003048168,710.202553688892,157.644760508302,224.212359908592,0,0,0,0,0,0,0,0,0,0,0,0,0.578967710095617,1.11308540730476,0.283812696952266,0.404288585123151,0,0,0,0,0,0,0,0,0,0,2349.39863931426,2381.19118834361,70.9453087090237,133.897785210688,22.9249035043095,32.5910843780059,0,0,90.2676528085437,91.4891733839185,2.73333322112457,5.15906867502899,0.883416955459715,1.2559235238595,0,0,33353.4572526993,33877.5289470287,1187.2556543401,2236.80209557665,429.187228918904,607.730203539266,0,0,1281.44088177183,1301.63059088281,45.9618230901877,86.6358881811517,16.726959231558,23.6932424532288,0,0,0,0,1.84259560424012,3.51734639803178,0.759547925945328,1.07743202871971,0,0,0,0,0,0,0,0,0,0,235.975354746364,239.210494390871,30.0135018659606,57.5336032218007,20.6170070829973,29.3237727403932,0,0,9.0664640163122,9.19085263427884,1.1484777840262,2.201031448117,0.78548194338853,1.1170545248601,0,0,766.554004667939,778.784730838316,64.6250781330335,126.692783797908,49.3696699140374,70.7371692654851,0,0,29.45184874249,29.9221677276567,2.47632788589619,4.85375808306835,1.88544839930761,2.70128106900075,0,0,0,0,7.1325241110165,14.3839760657857,4.99507496038992,7.23537427095874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1990,1567,0.0833333333333333,8114.27406964533,8152.48286085734,385.592729260519,730.533658814306,159.954690350295,228.044877004928,0,0,0,0,0,0,0,0,0,0,0,0,0.586898901351075,1.12939952176502,0.287987636445819,0.411232353232676,0,0,0,0,0,0,0,0,0,0,2351.24533995503,2380.5226140417,73.9979972956124,139.538370656153,23.4818229335278,33.4632568979372,0,0,90.3386060003491,91.4634856900756,2.85078542283409,5.37612040507688,0.904876289031323,1.28953103856174,0,0,33284.8632230831,33772.1075043393,1231.66225755777,2319.21826982754,438.393911512356,622.239283554217,0,0,1278.80572929326,1297.58011726743,47.6757738141223,89.8191800883158,17.086982804359,24.2607153937876,0,0,0,0,1.87922074455024,3.59082002589288,0.7759333545756,1.10331516182256,0,0,0,0,0,0,0,0,0,0,234.283633113396,238.002433121645,30.6433646516342,58.9033041239708,20.8918930682986,29.9200975676434,0,0,9.00146656234704,9.14443695440981,1.17259253810064,2.25344725100854,0.795931426711096,1.13973570025801,0,0,763.765060836312,775.137938053427,66.4559382204108,130.342710528992,50.6151128448233,72.7090037811747,0,0,29.3446961702802,29.7820519966457,2.54649302904174,4.99359141119176,1.93294425483988,2.77647808728742,0,0,0,0,7.29727908931825,14.7387497975859,5.1285070928163,7.44765993280833,0,0,0,0,0,0,0,0,0,0,1.97873889345393,1.15102751155412,0.627563273290638,0.588206817972168
"3",1990,1567,0.166666666666667,8104.60537356267,8134.44012749383,396.312096269005,750.50495548236,162.355234134299,232.006776258137,0,0,0,0,0,0,0,0,0,0,0,0,0.59647926429165,1.14858567319797,0.292231983789995,0.418288929188867,0,0,0,0,0,0,0,0,0,0,2352.72220396795,2379.48375660761,76.947256782397,145.005984996731,24.0565846700986,34.361563823657,0,0,90.395349477481,91.4235711261491,2.96428285821771,5.58656049004478,0.927022678617579,1.32414512165742,0,0,33216.9060363583,33667.5675178153,1275.25908911387,2400.34811671724,447.995194068543,637.321100962263,0,0,1276.19504307071,1293.56351070885,49.3589816777297,92.9537603707732,17.4622961668936,24.8504221342544,0,0,0,0,1.92245335863397,3.67592388544009,0.79270426009354,1.1298104911451,0,0,0,0,0,0,0,0,0,0,232.703391704055,236.858136976764,31.3327187295098,60.373578972962,21.1933659343272,30.5465471834565,0,0,8.94075230809454,9.10047123359848,1.19898922479841,2.30972079308877,0.807394321915149,1.16356468549937,0,0,760.949390310103,771.511091670312,68.2790276825401,133.998440866216,51.8748489020572,74.7192757658858,0,0,29.2365167134274,29.6427026391385,2.6163580198288,5.13364120335582,1.98098607751931,2.85314111500247,0,0,0,0,7.46536845358104,15.1009487680617,5.26457451308866,7.6646624205625,0,0,0,0,0,0,0,0,0,0,3.94371622726073,2.29638341672405,1.26593344261257,1.18965575983977
"4",1990,1567,0.25,8095.10895912704,8116.65699659833,406.813183916924,770.121786490437,164.84264075894,236.093489763353,0,0,0,0,0,0,0,0,0,0,0,0,0.60737359083094,1.17007641360849,0.296573697294775,0.425494805424759,0,0,0,0,0,0,0,0,0,0,2353.91387219671,2378.16195457234,79.8017509438161,150.315617284459,24.6489363125996,35.2860931410269,0,0,90.4411352765092,91.3727853781688,3.0741556947277,5.7909602400772,0.949846645335679,1.35976943980143,0,0,33149.5265837657,33563.8468250033,1318.05655710176,2480.20339550842,457.978273758929,652.960608955585,0,0,1273.6065521314,1289.57838282325,51.0118309859354,96.0400564339878,17.8524141326894,25.461794438174,0,0,0,0,1.97091788852826,3.77031277973136,0.809965425608901,1.15705635785737,0,0,0,0,0,0,0,0,0,0,231.22608545224,235.772358092754,32.0722495048579,61.9292253601301,21.5209571679111,31.2034096570074,0,0,8.88399294144994,9.05875384048281,1.22730970307502,2.3692673562493,0.819853008293578,1.18855272493437,0,0,758.106600933287,767.90018890776,70.0984476175257,137.666348881515,53.1502030796173,76.7690927912305,0,0,29.1272953055126,29.5039658618004,2.68608021505926,5.27415211073072,2.02962428623626,2.9313122484598,0,0,0,0,7.63769078024647,15.4721590886585,5.40334696468069,7.88649633993224,0,0,0,0,0,0,0,0,0,0,5.89583366982635,3.43636242169522,1.91604954884198,1.80511516271159
"5",1990,1567,0.333333333333333,8085.76766746146,8099.11531211321,417.099929082799,789.389305108131,167.413269655433,240.300565062209,0,0,0,0,0,0,0,0,0,0,0,0,0.619303958442664,1.19339900846953,0.30103215686729,0.43287551483466,0,0,0,0,0,0,0,0,0,0,2354.89364949361,2376.63265848672,82.5695790836677,155.481296492823,25.2586632414181,36.2369400392859,0,0,90.4787798870856,91.3140273769559,3.18071273310626,5.98985460938461,0.973340110217054,1.39640787446692,0,0,33082.6739042148,33460.8917814933,1360.06513560508,2558.79613649184,468.330609166951,669.143012662287,0,0,1271.03829854065,1285.62267250395,52.6347088863873,99.0785064229838,18.2568611928992,26.0942733193521,0,0,0,0,2.02348025573572,3.87204409522058,0.827787936782471,1.1851478886362,0,0,0,0,0,0,0,0,0,0,229.844042343205,234.740502963271,32.8538262636936,63.5569200566908,21.8741262014838,31.8908252470256,0,0,8.83089369414841,9.01910828515135,1.25724141037713,2.43157459196856,0.833287032222818,1.21470532724805,0,0,755.236628783258,764.301838582514,71.9174651937921,141.351469196631,54.4424820902655,78.859619406846,0,0,29.0170294910896,29.3657113698817,2.75578491796256,5.41531728057512,2.07890863355849,3.01103579156534,0,0,0,0,7.81491880608427,15.8535853518523,5.54491650063592,8.11330595971214,0,0,0,0,0,0,0,0,0,0,7.83592454305091,4.57123545090604,2.57876533652174,2.43528385480259
"6",1990,1567,0.416666666666667,8076.56612677684,8081.79878244865,427.17614025613,808.312498044828,170.063585291578,244.623658981517,0,0,0,0,0,0,0,0,0,0,0,0,0.632040157984808,1.2181599344302,0.305620094255011,0.44044805312324,0,0,0,0,0,0,0,0,0,0,2355.72489238547,2374.96090181678,85.2582834273012,160.516102550024,25.8855884629611,37.2142123198676,0,0,90.510717568289,91.2497958122751,3.28424165927819,6.18374256861648,0.997496397131918,1.43406474006357,0,0,33016.3041723801,33358.6561917383,1401.29535608985,2636.13862765693,479.039921387312,685.853771158297,0,0,1268.48859852389,1281.69460484174,54.2280050503782,102.069558734915,18.6751715625025,26.7473091196224,0,0,0,0,2.07920651008662,3.97951021609449,0.846217130141921,1.21414701984859,0,0,0,0,0,0,0,0,0,0,228.550366655973,233.758548201584,33.6703705407878,65.2450184164993,22.252281771798,32.608814643906,0,0,8.78118962419435,8.98137998260294,1.28851228450272,2.49619477926452,0.847673938562994,1.24202336179419,0,0,752.339687260559,760.713187610253,73.7386312991297,145.057679920216,55.7529587976288,80.9920511687958,0,0,28.9057274696774,29.2278295432659,2.82556990590551,5.55728539921327,2.12888760217332,3.09235725370718,0,0,0,0,7.99754042026294,16.2461178168608,5.68938992333475,8.34525554024531,0,0,0,0,0,0,0,0,0,0,9.7647604564707,5.70125250764447,3.25485767920699,3.08079850910753
"7",1990,1567,0.5,8067.49050382937,8064.69272028005,437.04551362981,826.896209529345,172.790148791484,249.058528247404,0,0,0,0,0,0,0,0,0,0,0,0,0.645390518210767,1.24402993359945,0.310345312457071,0.448223046825132,0,0,0,0,0,0,0,0,0,0,2356.46246328371,2373.20283643686,87.8748772408036,165.432212939739,26.5295710840156,38.2180343292698,0,0,90.5390562217,91.1822481289344,3.38501008862725,6.3730888368171,1.0223101828334,1.47274494515839,0,0,32950.3796422311,33257.1001962265,1441.75779956816,2712.2433966909,490.094184579358,703.07858813064,0,0,1265.95600187644,1277.79264836826,55.7921113693539,105.013671332554,19.1068888310231,27.4203611630858,0,0,0,0,2.13732345339364,4.09137380709497,0.865279582019842,1.24409135189792,0,0,0,0,0,0,0,0,0,0,227.338834819064,232.822953438311,34.5157133064104,66.98333395085,22.6548008975192,33.3573059656431,0,0,8.73464161448633,8.94543290613825,1.32088525834844,2.56273632447256,0.862990009980679,1.27050410599792,0,0,749.416216695179,757.131843956586,75.5638996750613,148.787889309243,57.0828604754322,83.1675921454685,0,0,28.7934061595988,29.0902284761217,2.89551001371834,5.70016787597022,2.17960794853619,3.17532248172207,0,0,0,0,8.185897197682,16.6503960115446,5.8368824302332,8.58252115207904,0,0,0,0,0,0,0,0,0,0,11.6830587685183,6.82664570685802,3.94503611175261,3.74224182115291
"8",1990,1567,0.583333333333333,8058.52835800461,8047.78388959986,446.711641600206,845.145154659396,175.589614417477,253.601025402811,0,0,0,0,0,0,0,0,0,0,0,0,0.659196638974644,1.27073541085846,0.31521163898364,0.456205961158018,0,0,0,0,0,0,0,0,0,0,2357.15359225747,2371.40664446686,90.425856660513,170.240921336428,27.1905045424154,39.2485481224441,0,0,90.5656105021041,91.1132355610321,3.48326599917737,6.55832456299343,1.04777743433466,1.51245404347396,0,0,32884.8680196751,33156.1896092467,1481.46308979476,2787.12319992629,501.481625953195,720.803412140413,0,0,1263.43926786004,1273.91548961181,57.3274217000174,107.911311333478,19.5515659640273,28.1128977657512,0,0,0,0,2.19719611715434,4.20653068427812,0.884986924979316,1.27499901023705,0,0,0,0,0,0,0,0,0,0,226.203835612848,231.930610098259,35.3845104075802,68.7630081296028,23.0810412966931,34.1361521127562,0,0,8.69103407530297,8.91114761928388,1.35415500134162,2.63085874207417,0.879210749641605,1.30014191773608,0,0,746.466852394822,753.555830232983,77.3946996596312,152.544149949291,58.4333605703992,85.387439921739,0,0,28.6800899703714,28.9528321939832,2.96565993207237,5.84404323731342,2.23111438354542,3.25997708173705,0,0,0,0,8.38020664311252,17.0668455125375,5.98751401846718,8.82528600323085,0,0,0,0,0,0,0,0,0,0,13.5914867372907,7.94763101595382,4.64994844069848,4.42014738389732
"9",1990,1567,0.666666666666667,8049.66846727751,8031.06032392478,456.178022556435,863.063933952661,178.458724213589,258.24709281087,0,0,0,0,0,0,0,0,0,0,0,0,0.6733274582725,1.2980487171568,0.320219958898772,0.464398410503339,0,0,0,0,0,0,0,0,0,0,2357.83889245866,2369.61360839397,92.91722735976,174.952681861741,27.8683144532849,40.3059147941782,0,0,90.591940831745,91.0443442477435,3.57923872982338,6.73984898364152,1.0738953320373,1.55319829198132,0,0,32819.7417254408,33055.8951438137,1520.42188286235,2860.79100192912,513.190720830943,739.014432117012,0,0,1260.93733688239,1270.06200331779,58.8343314649148,110.762954232831,20.0087651222357,28.8243960699512,0,0,0,0,2.25830246557189,4.32406801056146,0.905339971933854,1.30687390182883,0,0,0,0,0,0,0,0,0,0,225.140297852136,231.078781493413,36.2721404264879,70.5763516455848,23.5303538784992,34.9451493200623,0,0,8.65017216576294,8.87841897406916,1.38814398440921,2.70026653734721,0.896311367652516,1.33092895444101,0,0,743.492389084366,749.983529435647,79.2320192789987,156.327789899017,59.8055715702386,87.6527706295607,0,0,28.5658094364461,28.8155785689497,3.03605740348139,5.98896217310122,2.28344929528586,3.34636584196448,0,0,0,0,8.58058692303172,17.4957190114412,6.14140578397639,9.07373561154534,0,0,0,0,0,0,0,0,0,0,15.4906667002187,9.06441032028093,5.37018766898146,5.11500560930245
"10",1990,1567,0.75,8040.90067893676,8014.51117046204,465.448068714892,880.657044931884,181.394303588892,262.992757749775,0,0,0,0,0,0,0,0,0,0,0,0,0.68767450664682,1.32578033990993,0.325368984870977,0.472799141099976,0,0,0,0,0,0,0,0,0,0,2358.55322790731,2367.85902492206,95.3545311433898,179.577153179966,28.5629559441634,41.3903144878409,0,0,90.6193867420252,90.9769303448767,3.67313997892693,6.9180310790729,1.1006621722102,1.59498465703246,0,0,32754.9772657816,32956.1917504977,1558.64485615158,2933.25995439029,525.210188856102,757.698074205512,0,0,1258.44930631919,1266.23122704537,60.3132372284746,113.569083099204,20.4780575238986,29.5543419298065,0,0,0,0,2.32021328036747,4.44323089273251,0.926331735542642,1.3397095873633,0,0,0,0,0,0,0,0,0,0,224.143628694314,230.265052288862,37.1746160548434,72.4167059314702,24.0020927291291,35.7840526362494,0,0,8.61187942353427,8.8471541694259,1.42269906713907,2.7707038719451,0.914267169877212,1.36285577272353,0,0,740.493750391288,746.413638021618,81.076475954595,160.13952498821,61.2005399765762,89.9647270866174,0,0,28.450600044814,28.6784175167928,3.10672594144771,6.13495185688393,2.33665255337599,3.43453227557249,0,0,0,0,8.78707648795371,17.9371290805187,6.29867727286532,9.32805430118993,0,0,0,0,0,0,0,0,0,0,17.3811805095338,10.1771731555351,6.10629809433301,5.82726892116299
