"year","sex","TB_HIV_coinfection","val_rate","upper_rate","lower_rate"
1990,"Female","no",54.3096995880492,85.3479198714108,33.6830911408801
1990,"Female","yes",8.67341495165273,17.6935654770385,3.59734863658619
1990,"Male","no",91.5368226933834,140.240990150579,46.5427123872743
1990,"Male","yes",6.23834352411885,13.4285144822453,2.32348826432524
1991,"Female","no",46.6131205840025,73.6853080116508,28.8948309706167
1991,"Female","yes",15.5048984862444,30.8348673396894,6.60351409783918
1991,"Male","no",90.4740675304968,139.302754696373,46.1142322152119
1991,"Male","yes",11.1315821782911,23.1667567146718,4.27399775845997
1992,"Female","no",47.520347813263,75.7635586339765,29.4071614435674
1992,"Female","yes",26.5827501911561,51.2613596859465,11.6370330713197
1992,"Male","no",83.3596677083893,128.262748281018,43.067669213211
1992,"Male","yes",19.1126951496816,37.9334191761184,7.57212844252829
1993,"Female","no",35.1245093439979,55.5924198735537,21.588869219032
1993,"Female","yes",43.0177311379539,77.3287065920881,19.6163651730473
1993,"Male","no",85.8312462810615,131.642549154636,44.9151156162842
1993,"Male","yes",30.9772047084503,57.732688359518,13.0203109488465
1994,"Female","no",31.4198148419124,50.2208243988375,18.7457347524126
1994,"Female","yes",65.3173262398316,111.985320188978,31.6778271988388
1994,"Male","no",88.4897063668382,133.751748271513,47.2654312394898
1994,"Male","yes",47.2340277564654,82.8489139659613,21.2800537350716
1995,"Female","no",26.7278712960101,44.3110798253662,14.7200520774855
1995,"Female","yes",92.3626940378018,149.875437710825,48.029030228528
1995,"Male","no",91.6121724272392,135.721371161732,50.2500063488086
1995,"Male","yes",67.3510640782495,112.343433252454,32.9281078395127
1996,"Female","no",19.8867019235638,35.175000530859,8.78663369036349
1996,"Female","yes",118.210444005547,189.662920017165,65.2712290182304
1996,"Male","no",82.012683031207,121.346345725397,44.8472509932194
1996,"Male","yes",87.6928934121956,142.515499858643,46.3882279867634
1997,"Female","no",26.8143295482227,45.2276745135133,12.0962867113008
1997,"Female","yes",162.147167955916,258.266089234359,89.5956914759128
1997,"Male","no",101.086568709842,145.015875777327,57.0638607759209
1997,"Male","yes",120.865631774862,196.464273612699,64.4301004092465
1998,"Female","no",31.2159542022478,53.9001994920155,12.4819468721897
1998,"Female","yes",215.440098499481,344.440916659073,119.862845234307
1998,"Male","no",127.905072560322,181.154358369383,72.9740757955629
1998,"Male","yes",160.770144381675,262.927786706887,85.6352874803621
1999,"Female","no",35.4705290405555,63.1849826932455,12.0217340728959
1999,"Female","yes",258.155608278138,419.098613485922,143.078484894599
1999,"Male","no",120.818646592813,175.708760729823,65.6237555337703
1999,"Male","yes",192.507505979296,319.883029721073,102.98535035031
2000,"Female","no",45.1075058881277,79.6684942219189,15.8710931735967
2000,"Female","yes",309.395652087657,508.960568757179,167.796609309263
2000,"Male","no",128.534294433872,191.45779585188,67.1471693780318
2000,"Male","yes",229.991428253614,386.866402248404,120.546629280269
2001,"Female","no",54.6497088070822,98.8703742491214,18.7266470979401
2001,"Female","yes",360.183013317857,598.30665403383,192.166035926687
2001,"Male","no",136.310532155813,208.866121316953,67.8885919540843
2001,"Male","yes",266.940439339227,454.747558165586,137.880238510258
2002,"Female","no",69.8908249775143,123.615167157553,26.9359612506306
2002,"Female","yes",418.022473347864,696.62255363448,222.449099386505
2002,"Male","no",149.097102434905,230.157508701325,73.2303828825505
2002,"Male","yes",307.382011389951,520.449543535102,159.016095843044
2003,"Female","no",83.698515781445,145.770498599557,32.8147267306264
2003,"Female","yes",472.772075948447,788.22315785436,253.326034257751
2003,"Male","no",161.672206639859,251.361289146618,79.0034701841312
2003,"Male","yes",344.272461282282,580.855519427242,179.984058048189
2004,"Female","no",91.3494990873269,160.104653066679,36.2019408427403
2004,"Female","yes",513.6101509578,852.469447226443,274.722799567628
2004,"Male","no",169.391294653176,264.037422337752,80.8988913534957
2004,"Male","yes",370.098254496349,621.022806177613,192.807174217749
2005,"Female","no",90.6803188403112,162.865672139004,32.9515787891563
2005,"Female","yes",536.985272542505,880.576400539288,287.094794287124
2005,"Male","no",175.172085466005,273.604134092118,84.0282430676217
2005,"Male","yes",385.465882710443,643.842066955022,199.793836263974
2006,"Female","no",87.104118712995,158.609469313892,28.9654677074161
2006,"Female","yes",544.293411578363,880.265708105162,293.787494229749
2006,"Male","no",182.388651764264,284.386243101735,88.8568040018857
2006,"Male","yes",392.168096185119,648.793073215586,207.40735808041
2007,"Female","no",73.7323473503361,140.278861176306,20.4303418520204
2007,"Female","yes",509.53728082892,818.619174168882,273.973517572175
2007,"Male","no",167.939825536545,261.630020087303,81.9086578201038
2007,"Male","yes",372.777128297086,611.017745781522,197.606517987504
2008,"Female","no",64.9045334253347,124.065568044776,16.2404658381966
2008,"Female","yes",461.354501007388,734.235045548924,248.62915257163
2008,"Male","no",158.066994803395,244.03492630854,78.9411100917415
2008,"Male","yes",345.231339395637,561.188554600728,183.327944180148
2009,"Female","no",55.0334126832647,106.054224528855,13.0372832985864
2009,"Female","yes",407.0078956423,651.710848484418,220.025985463513
2009,"Male","no",144.705004862433,222.208627639981,72.9487918105091
2009,"Male","yes",312.923711419106,507.084345264939,167.510684016644
2010,"Female","no",46.6273731488335,91.6975169394075,10.8665824067495
2010,"Female","yes",357.540425149657,571.198136797014,195.990528573037
2010,"Male","no",125.719774960147,190.86968515756,63.2654294877922
2010,"Male","yes",281.924180078078,456.273922130001,153.10329394399
2011,"Female","no",38.9606071560591,75.6588911777936,10.7362965527062
2011,"Female","yes",303.637969245709,482.479190125236,167.790834066167
