"","sim_id","HIV/TB_coinfection_Female","HIV/TB_coinfection_Male","TB_only_Female","TB_only_Male","total_mse","rank_total","rank_1","rank_2","rank_3","rank_4","b1_calib_id","b2_calib_id","m1_calib_id","m2_calib_id","m3_calib_id","m4_calib_id"
"1",582,9213.31271328076,259119.32742381,3662.1765001442,12830.4069309537,284825.223568189,534,624,3,280,838,8.4,6.4,"1-L","2-M","3-M","4-H"
"2",1056,9157.95836181054,264191.832922589,14077.026548291,52892.2025636973,340319.020396388,730,645,2,2412,2412,8.8,6.4,"1-L","2-L","3-L","4-H"
"3",1058,9017.07089121604,260646.975927931,14088.1136460176,52954.1625933518,336706.323058516,718,632,1,2414,2414,8.8,6.4,"1-L","2-L","3-M","4-M"
"4",1411,302158.418033789,1047121.33172928,2262.67514241518,13132.892354938,1364675.31726043,2413,2409,2445,386,3,8.8,8,"1-M","2-L","3-H","4-L"
"5",1682,100559.915330855,595332.089434651,3067.93676590579,10986.6423248865,709946.583856298,1694,1698,1810,2,582,9.2,6.8,"1-H","2-L","3-H","4-M"
"6",1770,173135.373247196,775938.644779237,2579.48428948086,10993.6417140456,962647.14402996,2077,2071,2151,3,236,9.2,7.2,"1-H","2-M","3-M","4-H"
"7",1771,170828.282389637,768453.875984694,2559.35452304648,10775.0600164989,952616.572913877,2066,2058,2148,1,219,9.2,7.2,"1-H","2-M","3-H","4-L"
"8",1950,384883.627389588,1207635.24516303,2247.5316817754,15317.7961663669,1610084.20040076,2525,2521,2544,803,2,9.6,6,"1-L","2-L","3-M","4-H"
"9",1951,380543.604924655,1194602.05876644,2218.76799153368,15000.4184734329,1592364.85015607,2517,2515,2540,759,1,9.6,6,"1-L","2-L","3-H","4-L"
"10",2418,149994.815396941,27282.3528609427,5113.75745986317,17758.8873193124,200149.813037059,189,3,2059,1064,1224,9.6,8,"1-H","2-M","3-M","4-H"
"11",2420,70195.9781597138,65462.1080928259,4682.1239255216,16138.5533392283,156478.76351729,5,44,1564,901,1130,9.6,8,"1-H","2-M","3-H","4-M"
"12",2421,70522.8086640482,63730.4754082154,4674.55793842879,16038.3053547597,154966.147365452,3,40,1567,885,1129,9.6,8,"1-H","2-M","3-H","4-H"
"13",2429,150643.773779811,26192.6498522734,5107.08101150244,17664.7608527369,199608.265496324,186,2,2063,1053,1223,9.6,8,"1-H","2-H","3-H","4-M"
"14",2440,151271.964265406,25176.3125675428,5101.02024911607,17577.7255896122,199127.022671677,183,1,2067,1043,1222,10,6,"1-L","2-M","3-L","4-L"
"15",2618,52428.7327512068,77421.8314774785,5659.70540806196,19549.5208392348,155059.790475982,4,64,1351,1218,1330,10,6.8,"1-L","2-H","3-H","4-M"
"16",2629,52690.0222506042,75709.9716338424,5660.06579274927,19495.6770076375,153555.736684833,2,59,1354,1215,1331,10,6.8,"1-M","2-M","3-L","4-L"
"17",2640,52783.9938522098,73473.6937637936,5653.01638507605,19427.5073552804,151338.21135636,1,55,1356,1203,1329,10,6.8,"1-M","2-H","3-L","4-H"
