"year","sex","val","max","min"
1990,"Female",0.00383895791865267,0.00479869739831583,0.0028792184389895
1990,"Male",0.00759994282833291,0.00949992853541614,0.00569995712124968
1991,"Female",0.00347877455943892,0.00434846819929865,0.00260908091957919
1991,"Male",0.00762084188514287,0.00952605235642858,0.00571563141385715
1992,"Female",0.00363938488729569,0.00454923110911961,0.00272953866547177
1992,"Male",0.00748617011988492,0.00935771264985615,0.00561462758991369
1993,"Female",0.00298594433194634,0.00373243041493292,0.00223945824895975
1993,"Male",0.00773085308256383,0.00966356635320479,0.00579813981192287
1994,"Female",0.00282134450388523,0.00352668062985654,0.00211600837791393
1994,"Male",0.00797753904955547,0.00997192381194434,0.0059831542871666
1995,"Female",0.00253524847160653,0.00316906058950816,0.00190143635370489
1995,"Male",0.00806078828364393,0.0100759853545549,0.00604559121273295
1996,"Female",0.00212971203731885,0.00266214004664856,0.00159728402798914
1996,"Male",0.00733905308259464,0.00917381635324329,0.00550428981194598
1997,"Female",0.0026193461909288,0.003274182738661,0.0019645096431966
1997,"Male",0.0082055872753454,0.0102569840941818,0.00615419045650905
1998,"Female",0.0027200842046602,0.00340010525582525,0.00204006315349515
1998,"Male",0.00909055927115123,0.011363199088939,0.00681791945336343
1999,"Female",0.00274358240537079,0.00342947800671349,0.0020576868040281
1999,"Male",0.00822799564630576,0.0102849945578822,0.00617099673472932
2000,"Female",0.00306485184552272,0.0038310648069034,0.00229863888414204
2000,"Male",0.00818103317584742,0.0102262914698093,0.00613577488188556
2001,"Female",0.00329586702646216,0.0041198337830777,0.00247190026984662
2001,"Male",0.00815735059945406,0.0101966882493176,0.00611801294959054
2002,"Female",0.00372500638963576,0.0046562579870447,0.00279375479222682
2002,"Male",0.00831709740277659,0.0103963717534707,0.00623782305208244
2003,"Female",0.00406790839244715,0.00508488549055894,0.00305093129433536
2003,"Male",0.00845663347906519,0.0105707918488315,0.00634247510929889
2004,"Female",0.00415718210945776,0.0051964776368222,0.00311788658209332
2004,"Male",0.00839176139036546,0.0104897017379568,0.0062938210427741
2005,"Female",0.00401180260744327,0.00501475325930408,0.00300885195558245
2005,"Male",0.00824296498456343,0.0103037062307043,0.00618222373842257
2006,"Female",0.00385121087882199,0.00481401359852749,0.0028884081591165
2006,"Male",0.00823524055103725,0.0102940506887966,0.00617643041327794
2007,"Female",0.00341905070620918,0.00427381338276147,0.00256428802965688
2007,"Male",0.00772515056384497,0.00965643820480621,0.00579386292288372
2008,"Female",0.00319152807846191,0.00398941009807739,0.00239364605884643
2008,"Male",0.00748261777670787,0.00935327222088483,0.0056119633325309
2009,"Female",0.00294177902745785,0.00367722378432232,0.00220633427059339
2009,"Male",0.00711606449254352,0.0088950806156794,0.00533704836940764
2010,"Female",0.00267811755899553,0.00334764694874441,0.00200858816924665
2010,"Male",0.00654298555041163,0.00817873193801454,0.00490723916280872
2011,"Female",0.00248385037691952,0.0031048129711494,0.00186288778268964
2011,"Male",0.006073857901945,0.00759232237743125,0.00455539342645875
2012,"Female",0.00239578553564482,0.00299473191955602,0.00179683915173361
2012,"Male",0.00581638510371752,0.0072704813796469,0.00436228882778814
2013,"Female",0.0022731992912281,0.00284149911403513,0.00170489946842108
2013,"Male",0.005565248093569,0.00695656011696125,0.00417393607017675
2014,"Female",0.0021425517138339,0.00267818964229238,0.00160691378537543
2014,"Male",0.0053151866238765,0.00664398327984562,0.00398638996790737
2015,"Female",0.00204550919059531,0.00255688648824414,0.00153413189294648
2015,"Male",0.005059082336895,0.00632385292111875,0.00379431175267125
2016,"Female",0.00193831518433092,0.00242289398041365,0.00145373638824819
2016,"Male",0.00475937898239547,0.00594922372799433,0.0035695342367966
2017,"Female",0.00184019023486891,0.00230023779358614,0.00138014267615168
2017,"Male",0.00476289864665201,0.00595362330831501,0.00357217398498901
2018,"Female",0.00184019023486891,0.00230023779358614,0.00138014267615168
2019,"Female",0.00184019023486891,0.00230023779358614,0.00138014267615168
2020,"Female",0.00184019023486891,0.00230023779358614,0.00138014267615168
2021,"Female",0.00184019023486891,0.00230023779358614,0.00138014267615168
2022,"Female",0.00184019023486891,0.00230023779358614,0.00138014267615168
2023,"Female",0.00184019023486891,0.00230023779358614,0.00138014267615168
2024,"Female",0.00184019023486891,0.00230023779358614,0.00138014267615168
2025,"Female",0.00184019023486891,0.00230023779358614,0.00138014267615168
2026,"Female",0.00184019023486891,0.00230023779358614,0.00138014267615168
2027,"Female",0.00184019023486891,0.00230023779358614,0.00138014267615168
2028,"Female",0.00184019023486891,0.00230023779358614,0.00138014267615168
2018,"Male",0.00476289864665201,0.00595362330831501,0.00357217398498901
2019,"Male",0.00476289864665201,0.00595362330831501,0.00357217398498901
2020,"Male",0.00476289864665201,0.00595362330831501,0.00357217398498901
2021,"Male",0.00476289864665201,0.00595362330831501,0.00357217398498901
2022,"Male",0.00476289864665201,0.00595362330831501,0.00357217398498901
2023,"Male",0.00476289864665201,0.00595362330831501,0.00357217398498901
2024,"Male",0.00476289864665201,0.00595362330831501,0.00357217398498901
2025,"Male",0.00476289864665201,0.00595362330831501,0.00357217398498901
2026,"Male",0.00476289864665201,0.00595362330831501,0.00357217398498901
2027,"Male",0.00476289864665201,0.00595362330831501,0.00357217398498901
2028,"Male",0.00476289864665201,0.00595362330831501,0.00357217398498901
