"","year","TB_compartment","DR_compartment","HIV_compartment","G_compartment","prop_of_pop"
"1",1990,1,1,1,1,0.249531747014677
"2",1990,1,1,1,2,0.261140170195698
"3",1990,1,1,2,1,0.000401273448332783
"4",1990,1,1,2,2,0.00322867407274995
"5",1990,1,1,3,1,0
"6",1990,1,1,3,2,0
"7",1990,1,1,4,1,0
"8",1990,1,1,4,2,0
"9",1990,1,2,1,1,0
"10",1990,1,2,1,2,0
"11",1990,1,2,2,1,0
"12",1990,1,2,2,2,0
"13",1990,1,2,3,1,0
"14",1990,1,2,3,2,0
"15",1990,1,2,4,1,0
"16",1990,1,2,4,2,0
"17",1990,2,1,1,1,0
"18",1990,2,1,1,2,0
"19",1990,2,1,2,1,0
"20",1990,2,1,2,2,0
"21",1990,2,1,3,1,0
"22",1990,2,1,3,2,0
"23",1990,2,1,4,1,0
"24",1990,2,1,4,2,0
"25",1990,2,2,1,1,0
"26",1990,2,2,1,2,0
"27",1990,2,2,2,1,0
"28",1990,2,2,2,2,0
"29",1990,2,2,3,1,0
"30",1990,2,2,3,2,0
"31",1990,2,2,4,1,0
"32",1990,2,2,4,2,0
"33",1990,3,1,1,1,0.0293758460835555
"34",1990,3,1,1,2,0.0312895113771916
"35",1990,3,1,2,1,4.72394683108122e-05
"36",1990,3,1,2,2,0.000386855971093402
"37",1990,3,1,3,1,0
"38",1990,3,1,3,2,0
"39",1990,3,1,4,1,0
"40",1990,3,1,4,2,0
"41",1990,3,2,1,1,0.00109702329772614
"42",1990,3,2,1,2,0.00116848797674159
"43",1990,3,2,2,1,1.76412952198054e-06
"44",1990,3,2,2,2,1.44469034848158e-05
"45",1990,3,2,3,1,0
"46",1990,3,2,3,2,0
"47",1990,3,2,4,1,0
"48",1990,3,2,4,2,0
"49",1990,4,1,1,1,0.190942999543111
"50",1990,4,1,1,2,0.203381823951745
"51",1990,4,1,2,1,0.000307056544020279
"52",1990,4,1,2,2,0.00251456381210711
"53",1990,4,1,3,1,0
"54",1990,4,1,3,2,0
"55",1990,4,1,4,1,0
"56",1990,4,1,4,2,0
"57",1990,4,2,1,1,0.00713065143521989
"58",1990,4,2,1,2,0.00759517184882036
"59",1990,4,2,2,1,1.14668418928735e-05
"60",1990,4,2,2,2,9.3904872651303e-05
"61",1990,4,2,3,1,0
"62",1990,4,2,3,2,0
"63",1990,4,2,4,1,0
"64",1990,4,2,4,2,0
"65",1990,5,1,1,1,0
"66",1990,5,1,1,2,0
"67",1990,5,1,2,1,0
"68",1990,5,1,2,2,0
"69",1990,5,1,3,1,0
"70",1990,5,1,3,2,0
"71",1990,5,1,4,1,0
"72",1990,5,1,4,2,0
"73",1990,5,2,1,1,0
"74",1990,5,2,1,2,0
"75",1990,5,2,2,1,0
"76",1990,5,2,2,2,0
"77",1990,5,2,3,1,0
"78",1990,5,2,3,2,0
"79",1990,5,2,4,1,0
"80",1990,5,2,4,2,0
"81",1990,6,1,1,1,0.000912085644536549
"82",1990,6,1,1,2,0.00234397324285614
"83",1990,6,1,2,1,0.000757799354602831
"84",1990,6,1,2,2,0.00630253655219063
"85",1990,6,1,3,1,0
"86",1990,6,1,3,2,0
"87",1990,6,1,4,1,0
"88",1990,6,1,4,2,0
"89",1990,6,2,1,1,3.63768116754715e-06
"90",1990,6,2,1,2,9.43435450660834e-06
"91",1990,6,2,2,1,1.05166279501719e-06
"92",1990,6,2,2,2,8.80271869335168e-06
"93",1990,6,2,3,1,0
"94",1990,6,2,3,2,0
"95",1990,6,2,4,1,0
"96",1990,6,2,4,2,0
"97",1990,7,1,1,1,0
"98",1990,7,1,1,2,0
"99",1990,7,1,2,1,0
"100",1990,7,1,2,2,0
"101",1990,7,1,3,1,0
"102",1990,7,1,3,2,0
"103",1990,7,1,4,1,0
"104",1990,7,1,4,2,0
"105",1990,7,2,1,1,0
"106",1990,7,2,1,2,0
"107",1990,7,2,2,1,0
"108",1990,7,2,2,2,0
"109",1990,7,2,3,1,0
"110",1990,7,2,3,2,0
"111",1990,7,2,4,1,0
"112",1990,7,2,4,2,0
"113",1990,8,1,1,1,0
"114",1990,8,1,1,2,0
"115",1990,8,1,2,1,0
"116",1990,8,1,2,2,0
"117",1990,8,1,3,1,0
"118",1990,8,1,3,2,0
"119",1990,8,1,4,1,0
"120",1990,8,1,4,2,0
"121",1990,8,2,1,1,0
"122",1990,8,2,1,2,0
"123",1990,8,2,2,1,0
"124",1990,8,2,2,2,0
"125",1990,8,2,3,1,0
"126",1990,8,2,3,2,0
"127",1990,8,2,4,1,0
"128",1990,8,2,4,2,0
"129",1991,1,1,1,1,0.248901019975664
"130",1991,1,1,1,2,0.254789720988164
"131",1991,1,1,2,1,0.000648107577519578
"132",1991,1,1,2,2,0.00514539204620629
"133",1991,1,1,3,1,0
"134",1991,1,1,3,2,0
"135",1991,1,1,4,1,0
"136",1991,1,1,4,2,0
"137",1991,1,2,1,1,0
"138",1991,1,2,1,2,0
"139",1991,1,2,2,1,0
"140",1991,1,2,2,2,0
"141",1991,1,2,3,1,0
"142",1991,1,2,3,2,0
"143",1991,1,2,4,1,0
"144",1991,1,2,4,2,0
"145",1991,2,1,1,1,0
"146",1991,2,1,1,2,0
"147",1991,2,1,2,1,0
"148",1991,2,1,2,2,0
"149",1991,2,1,3,1,0
"150",1991,2,1,3,2,0
"151",1991,2,1,4,1,0
"152",1991,2,1,4,2,0
"153",1991,2,2,1,1,0
"154",1991,2,2,1,2,0
"155",1991,2,2,2,1,0
"156",1991,2,2,2,2,0
"157",1991,2,2,3,1,0
"158",1991,2,2,3,2,0
"159",1991,2,2,4,1,0
"160",1991,2,2,4,2,0
"161",1991,3,1,1,1,0.0294889710225584
"162",1991,3,1,1,2,0.0310155677531497
"163",1991,3,1,2,1,7.67856458557046e-05
"164",1991,3,1,2,2,0.000626348877053176
"165",1991,3,1,3,1,0
"166",1991,3,1,3,2,0
"167",1991,3,1,4,1,0
"168",1991,3,1,4,2,0
"169",1991,3,2,1,1,0.00110124788051048
"170",1991,3,2,1,2,0.0011582577169226
"171",1991,3,2,2,1,2.86751374564872e-06
"172",1991,3,2,2,2,2.33906219646414e-05
"173",1991,3,2,3,1,0
"174",1991,3,2,3,2,0
"175",1991,3,2,4,1,0
"176",1991,3,2,4,2,0
"177",1991,4,1,1,1,0.19167831164663
"178",1991,4,1,1,2,0.201601190395473
"179",1991,4,1,2,1,0.00049910669806208
"180",1991,4,1,2,2,0.00407126770084564
"181",1991,4,1,3,1,0
"182",1991,4,1,3,2,0
"183",1991,4,1,4,1,0
"184",1991,4,1,4,2,0
"185",1991,4,2,1,1,0.00715811122331812
"186",1991,4,2,1,2,0.00752867515999692
"187",1991,4,2,2,1,1.86388393467167e-05
"188",1991,4,2,2,2,0.000152039042770169
"189",1991,4,2,3,1,0
"190",1991,4,2,3,2,0
"191",1991,4,2,4,1,0
"192",1991,4,2,4,2,0
"193",1991,5,1,1,1,0
"194",1991,5,1,1,2,0
"195",1991,5,1,2,1,0
"196",1991,5,1,2,2,0
"197",1991,5,1,3,1,0
"198",1991,5,1,3,2,0
"199",1991,5,1,4,1,0
"200",1991,5,1,4,2,0
"201",1991,5,2,1,1,0
"202",1991,5,2,1,2,0
"203",1991,5,2,2,1,0
"204",1991,5,2,2,2,0
"205",1991,5,2,3,1,0
"206",1991,5,2,3,2,0
"207",1991,5,2,4,1,0
"208",1991,5,2,4,2,0
"209",1991,6,1,1,1,0.00092104842130449
"210",1991,6,1,1,2,0.00194443466781577
"211",1991,6,1,2,1,0.00122852708581472
"212",1991,6,1,2,2,0.0101884100418533
"213",1991,6,1,3,1,0
"214",1991,6,1,3,2,0
"215",1991,6,1,4,1,0
"216",1991,6,1,4,2,0
"217",1991,6,2,1,1,4.67093703086979e-06
"218",1991,6,2,1,2,9.54777223548375e-06
"219",1991,6,2,2,1,1.92342661060473e-06
"220",1991,6,2,2,2,1.64193215774629e-05
"221",1991,6,2,3,1,0
"222",1991,6,2,3,2,0
"223",1991,6,2,4,1,0
"224",1991,6,2,4,2,0
"225",1991,7,1,1,1,0
"226",1991,7,1,1,2,0
"227",1991,7,1,2,1,0
"228",1991,7,1,2,2,0
"229",1991,7,1,3,1,0
"230",1991,7,1,3,2,0
"231",1991,7,1,4,1,0
"232",1991,7,1,4,2,0
"233",1991,7,2,1,1,0
"234",1991,7,2,1,2,0
"235",1991,7,2,2,1,0
"236",1991,7,2,2,2,0
"237",1991,7,2,3,1,0
"238",1991,7,2,3,2,0
"239",1991,7,2,4,1,0
"240",1991,7,2,4,2,0
"241",1991,8,1,1,1,0
"242",1991,8,1,1,2,0
"243",1991,8,1,2,1,0
"244",1991,8,1,2,2,0
"245",1991,8,1,3,1,0
"246",1991,8,1,3,2,0
"247",1991,8,1,4,1,0
"248",1991,8,1,4,2,0
"249",1991,8,2,1,1,0
"250",1991,8,2,1,2,0
"251",1991,8,2,2,1,0
"252",1991,8,2,2,2,0
"253",1991,8,2,3,1,0
"254",1991,8,2,3,2,0
"255",1991,8,2,4,1,0
"256",1991,8,2,4,2,0
"257",1992,1,1,1,1,0.247769953096652
"258",1992,1,1,1,2,0.245861084473725
"259",1992,1,1,2,1,0.00100627437187326
"260",1992,1,1,2,2,0.00779912428376111
"261",1992,1,1,3,1,0
"262",1992,1,1,3,2,0
"263",1992,1,1,4,1,0
"264",1992,1,1,4,2,0
"265",1992,1,2,1,1,0
"266",1992,1,2,1,2,0
"267",1992,1,2,2,1,0
"268",1992,1,2,2,2,0
"269",1992,1,2,3,1,0
