"year","sex","val","program_id","max","min"
1990,"Female",0.0064805964688587,"1",0.00810074558607338,0.00486044735164403
1990,"Male",0.0046756594940272,"1",0.005844574367534,0.0035067446205204
1991,"Female",0.0104911900847802,"1",0.0131139876059752,0.00786839256358514
1991,"Male",0.00760058647391582,"1",0.00950073309239478,0.00570043985543687
1992,"Female",0.0158935342811825,"1",0.0198669178514782,0.0119201507108869
1992,"Male",0.0115769410272651,"1",0.0144711762840814,0.00868270577044883
1993,"Female",0.0222811263992323,"1",0.0278514079990404,0.0167108447994242
1993,"Male",0.0163356166485719,"1",0.0204195208107149,0.0122517124864289
1994,"Female",0.0287316093533673,"1",0.0359145116917091,0.0215487070150255
1994,"Male",0.021231425878836,"1",0.026539282348545,0.015923569409127
1995,"Female",0.0341206742278405,"1",0.0426508427848007,0.0255905056708804
1995,"Male",0.025470595135343,"1",0.0318382439191788,0.0191029463515073
1996,"Female",0.0375119358915203,"1",0.0468899198644003,0.0281339519186402
1996,"Male",0.0283609512824007,"1",0.0354511891030009,0.0212707134618005
1997,"Female",0.038648793118507,"1",0.0483109913981337,0.0289865948388802
1997,"Male",0.0296314089624761,"1",0.0370392612030951,0.0222235567218571
1998,"Female",0.0379889172744144,"1",0.047486146593018,0.0284916879558108
1998,"Male",0.0295173278141326,"1",0.0368966597676657,0.0221379958605994
1999,"Female",0.0361943795333371,"1",0.0452429744166714,0.0271457846500028
1999,"Male",0.0284442194649081,"1",0.0355552743311351,0.0213331645986811
2000,"Female",0.0338983763404002,"1",0.0423729704255002,0.0254237822553001
2000,"Male",0.0269197108356687,"1",0.0336496385445859,0.0201897831267516
2001,"Female",0.031485543289067,"1",0.0393569291113338,0.0236141574668003
2001,"Male",0.0252685922831462,"1",0.0315857403539327,0.0189514442123596
2002,"Female",0.0292229867694238,"1",0.0365287334617797,0.0219172400770678
2002,"Male",0.0236631350609465,"1",0.0295789188261831,0.0177473512957099
2003,"Female",0.0274127452330569,"1",0.0342659315413211,0.0205595589247927
2003,"Male",0.0223292207789245,"1",0.0279115259736556,0.0167469155841934
2004,"Female",0.0261261644006524,"1",0.0326577055008155,0.0195946233004893
2004,"Male",0.0213600066043723,"1",0.0267000082554654,0.0160200049532792
2005,"Female",0.0252445297585336,"1",0.031555662198167,0.0189333973189002
2005,"Male",0.0207188308499952,"1",0.025898538562494,0.0155391231374964
2006,"Female",0.0246816917589089,"1",0.0308521146986361,0.0185112688191817
2006,"Male",0.020316567207547,"1",0.0253957090094338,0.0152374254056603
2007,"Female",0.0243008145081893,"1",0.0303760181352367,0.018225610881142
2007,"Male",0.0200447763077952,"1",0.025055970384744,0.0150335822308464
2008,"Female",0.0240973201705282,"1",0.0301216502131602,0.0180729901278961
2008,"Male",0.0199303151589075,"1",0.0249128939486344,0.0149477363691806
2009,"Female",0.0239543820608465,"1",0.0299429775760581,0.0179657865456349
2009,"Male",0.0199066946643399,"1",0.0248833683304249,0.0149300209982549
2010,"Female",0.023647441282441,"1",0.0295593016030512,0.0177355809618307
2010,"Male",0.019779362712142,"1",0.0247242033901776,0.0148345220341065
2011,"Female",0.0231048778884413,"1",0.0288810973605517,0.017328658416331
2011,"Male",0.0194325258714994,"1",0.0242906573393743,0.0145743944036246
2012,"Female",0.0224341566266217,"1",0.0280426957832771,0.0168256174699663
2012,"Male",0.01896339077553,"1",0.0237042384694125,0.0142225430816475
2013,"Female",0.0216333144354385,"1",0.0270416430442981,0.0162249858265789
2013,"Male",0.0184119412977333,"1",0.0230149266221666,0.0138089559732999
2014,"Female",0.0207882025655746,"1",0.0259852532069683,0.015591151924181
2014,"Male",0.0178330181700397,"1",0.0222912727125496,0.0133747636275297
2015,"Female",0.0201351200280067,"1",0.0251689000350083,0.015101340021005
2015,"Male",0.0173685803829604,"1",0.0217107254787005,0.0130264352872203
2016,"Female",0.0195090538838112,"1",0.024386317354764,0.0146317904128584
2016,"Male",0.0168708663415006,"1",0.0210885829268758,0.0126531497561255
2017,"Female",0.0182725427183388,"1",0.0228406783979235,0.0137044070387541
2017,"Male",0.0158292172351167,"1",0.0197865215438958,0.0118719129263375
1989,"Female",0.00540118036031579,"1",0.00675147545039474,0.00405088527023684
1988,"Female",0.00450155312475406,"1",0.00562694140594258,0.00337616484356555
1987,"Female",0.00375176890663919,"1",0.00468971113329899,0.0028138266799794
1986,"Female",0.0031268696689198,"1",0.00390858708614976,0.00234515225168985
1985,"Female",0.00260605441585396,"1",0.00325756801981745,0.00195454081189047
1984,"Female",0.0021719867911022,"1",0.00271498348887775,0.00162899009332665
1983,"Female",0.00181021800313274,"1",0.00226277250391593,0.00135766350234956
1982,"Female",0.00150870586888008,"1",0.0018858823361001,0.00113152940166006
1981,"Female",0.00125741396608256,"1",0.0015717674576032,0.000943060474561922
1980,"Female",0.00104797755129907,"1",0.00130997193912383,0.0007859831634743
1989,"Male",0.00374465231277687,"1",0.00468081539097109,0.00280848923458265
1988,"Male",0.00299902526295975,"1",0.00374878157869969,0.00224926894721981
1987,"Male",0.00240186585472367,"1",0.00300233231840459,0.00180139939104276
1986,"Male",0.00192361153316664,"1",0.0024045144164583,0.00144270864987498
1985,"Male",0.00154058617522476,"1",0.00192573271903095,0.00115543963141857
1984,"Male",0.00123382799612694,"1",0.00154228499515868,0.000925370997095206
1983,"Male",0.000988150840575032,"1",0.00123518855071879,0.000741113130431274
1982,"Male",0.000791392387589073,"1",0.000989240484486341,0.000593544290691805
1981,"Male",0.000633812051173758,"1",0.000792265063967197,0.000475359038380318
