time,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,total_pop
0,19069.412662090013,19069.412662090013,14797.864225781852,14797.864225781852,14797.864225781852,2669.717772692602,0,14797.864225781852,100000.00000000003
0.08333333333333333,20548.886429856684,17597.668551850304,13875.686670467818,15356.290949429309,13609.681345663848,2744.3957459938133,451.10218047298855,15816.28812626527,100000.00000000003
0.16666666666666666,21900.787357224828,16253.619289447717,13015.9293028915,15873.536920486578,12526.487544230517,2788.9149052394473,910.9501931353687,16729.774487344075,100000.00000000003
0.25,23136.118854475415,15026.189002159817,12214.314205866545,16352.363650808174,11538.954594183964,2809.287178507597,1375.018777143821,17547.75373685469,100000.00000000003
0.3333333333333333,24264.93850404543,13905.263027261617,11466.864606034767,16795.351981944837,10638.585518418675,2810.4737637212797,1839.705945151664,18278.81665342176,100000.00000000003
0.41666666666666663,25296.440640604145,12881.602431932266,10769.881992448094,17204.913664140124,9817.638574131119,2796.5652507151894,2302.1664021681017,18930.791043860987,100000.00000000003
0.5,26239.02775541883,11946.770388190776,10119.926271516979,17583.301722057437,9069.061981019286,2770.9219677146125,2760.182322772881,19510.80759130923,100000.00000000003
0.5833333333333333,27100.379182182398,11093.061524324417,9513.796591856437,17932.620673014128,8386.431430852552,2736.2996802601824,3212.048013701207,20025.36290380871,100000.00000000003
0.6666666666666666,27887.512737014575,10313.438730062247,8948.514052244182,18254.83599689651,7763.89436233864,2694.9508151319224,3656.4775638093997,20480.375742502558,100000.00000000003
0.75,28606.84149951306,9601.475074690272,8421.305664590114,18551.783085647137,7196.118875104668,2648.710392955916,4092.5268335645815,20881.238573934283,100000.00000000003
0.8333333333333333,29264.225277101083,8951.301304384377,7929.589698100371,18825.175607263558,6678.247695942122,2599.0658844617024,4519.530503910716,21232.864028836106,100000.00000000003
0.9166666666666666,29865.018505220236,8357.557040942746,7470.961933540204,19076.613443397953,6205.85547729726,2547.218438800124,4937.047159506911,21539.7280012946,100000.00000000003
1,30414.113478731102,7815.346848608778,7043.183126599617,19307.59008261527,5774.910485862075,2494.1316370669338,5344.816019221537,21805.908321294723,100000.00000000003
1.0833333333333333,30915.98007181192,7320.199929618629,6644.167370715496,19519.499571676337,5381.739544124008,2440.572722584782,5742.720642328671,22035.120147140187,100000.00000000003
1.1666666666666665,31374.702104261207,6868.033272633648,6271.971313110353,19713.643032321088,5022.996059937053,2387.147396988333,6130.7585765075655,22230.748244240775,100000.00000000003
1.25,31794.010571137216,6455.118033877078,5924.78418536869,19891.234767608665,4695.6309434460445,2334.328324178724,6509.016822563077,22395.876351820534,100000.00000000003
1.3333333333333333,32177.31404169661,6078.048817214942,5600.918558973967,20053.40797919566,4396.866102380952,2282.479097887209,6877.651453042892,22533.313949607804,100000.00000000003
1.4166666666666665,32527.726449574482,5733.715624218257,5298.801777592369,20201.220119273465,4124.170307360592,2231.874092862941,7236.8709948690675,22645.62063424887,100000.00000000004
1.5,32848.09250191584,5419.2782350116595,5016.96801033284,20335.657898744994,3875.237208229555,2182.7149268458834,7586.922892717738,22735.128326201535,100000.00000000004
1.5833333333333333,33141.01090764463,5132.142809836293,4754.0508756295,20457.641971537854,3647.9653100735995,2135.1441669924284,7928.0824582005425,22803.96150008519,100000.00000000004
1.6666666666666665,33408.85561114292,4869.940519218345,4508.776593334576,20568.031315402775,3440.4397345242264,2089.2566564275016,8260.643955771644,22854.055614178054,100000.00000000004
1.75,33653.79519633704,4630.5080311192805,4279.957624709655,20667.627326726775,3250.9156106634446,2045.1088935460368,8584.913420858666,22887.17389603914,100000.00000000004
1.8333333333333333,33877.81063054242,4411.869680750184,4066.486760006982,20757.177649220415,3077.802938427429,2002.726792968774,8901.202905478776,22904.922642605066,100000.00000000004
1.9166666666666665,34082.71145435259,4212.221213449049,3867.331629415578,20837.37974790071,2919.65282511621,1962.1120478380813,9209.82594700891,22908.76513491892,100000.00000000004
2,34270.15064136471,4029.9148717235926,3681.529581637011,20908.884258190228,2775.1448910485788,1923.2474413408504,9511.093941552192,22900.034373142895,100000.00000000006
2.083333333333333,34441.63810366728,3863.445850194194,3508.182939827243,20972.298103117217,2643.075863285087,1886.101125683017,9805.313401547715,22879.94461267829,100000.00000000004
2.1666666666666665,34598.55305586556,3711.4399016146335,3346.4545813947802,21028.18740841245,2522.349165136744,1850.6301500881912,10092.783842209092,22849.601895278593,100000.00000000004
2.25,34742.15532752072,3572.642002343097,3195.5638201778506,21077.080227248047,2411.9654197905575,1816.7833597312638,10373.796185712461,22810.013657476044,100000.00000000004
2.333333333333333,34873.59568943986,3445.906010871075,3054.782575914665,21119.469083263444,2311.013809006119,1784.5037338389086,10648.631621847897,22762.097475818067,100000.00000000004
2.4166666666666665,34993.92528902203,3330.185222534778,2923.431807586021,21155.813345021586,2218.664200972563,1753.7302809748228,10917.560818361184,22706.68903552706,100000.00000000004
2.5,35104.10427058539,3224.5237434854425,2800.8781919929543,21186.541442840713,2134.1599794542717,1724.3995641724075,11180.843416464315,22644.549391004548,100000.00000000004
2.583333333333333,35205.00965075189,3128.048612989299,2686.5310302191865,21212.052938302648,2056.8115117774355,1696.4469186710787,11438.727756151986,22576.371581136515,100000.00000000004
2.6666666666666665,35297.44251324943,3039.9626089480216,2579.8393658256346,21232.72045609222,1985.9901984688543,1669.8074178268976,11691.450782528389,22502.786657060595,100000.00000000004
2.75,35382.13458171173,2959.5376774844362,2480.2892999354717,21248.891487208628,1921.123052757338,1644.4166308895765,11939.238095398156,22424.369174614694,100000.00000000003
