"year","sex_name","calibration_group","min_rate","max_rate","expected_rate"
1990,"female","HIV/TB_coinfection_Female",186.004397921576,487.475117426709,325.289098035699
1990,"female","TB_only_Female",16.0771415844564,74.4771361501315,37.6544512997285
1990,"male","HIV/TB_coinfection_Male",140.651460899743,405.782679780278,260.031438659762
1990,"male","TB_only_Male",65.3725051597432,187.177904668159,122.727252829444
1991,"female","HIV/TB_coinfection_Female",202.716022634615,509.901851288309,345.76622297195
1991,"female","TB_only_Female",18.4926032559274,77.9355099101738,40.2932283191422
1991,"male","HIV/TB_coinfection_Male",149.503765151837,418.331387888635,270.292104365096
1991,"male","TB_only_Male",76.2173649917799,200.15869151645,133.707759694142
1992,"female","HIV/TB_coinfection_Female",214.362792881654,522.616413527487,359.520560984283
1992,"female","TB_only_Female",18.0543742650536,79.1722459841716,40.8155136397044
1992,"male","HIV/TB_coinfection_Male",155.086500023759,420.206012271794,274.581101529068
1992,"male","TB_only_Male",79.0668438748851,209.009896607562,138.410589256006
1993,"female","HIV/TB_coinfection_Female",222.897539030237,531.591186792119,367.18838784844
1993,"female","TB_only_Female",19.8491513679839,83.1226256366815,43.1409071917357
1993,"male","HIV/TB_coinfection_Male",156.662823463371,416.715854232019,273.952552118695
1993,"male","TB_only_Male",86.9507986499759,219.749913659449,146.270484343012
1994,"female","HIV/TB_coinfection_Female",226.303427246809,530.750087651444,368.866979165741
1994,"female","TB_only_Female",21.6558430661607,87.2224553748336,45.5283111972791
1994,"male","HIV/TB_coinfection_Male",157.238922619065,410.394876378506,269.351895646533
1994,"male","TB_only_Male",90.9258897944537,227.107635011925,152.663305035204
1995,"female","HIV/TB_coinfection_Female",226.748929550912,527.236402079956,365.495502143012
1995,"female","TB_only_Female",22.7080534256465,89.9709662123805,46.7898090754178
1995,"male","HIV/TB_coinfection_Male",154.788669421469,401.154780146386,261.89319338552
1995,"male","TB_only_Male",94.5819073377502,233.919136951786,156.128544816508
1996,"female","HIV/TB_coinfection_Female",222.409174500765,526.852106821405,358.518563803205
1996,"female","TB_only_Female",24.0127259811774,91.9747333399375,48.2585755756858
1996,"male","HIV/TB_coinfection_Male",149.510401110505,394.083788979997,252.438487864175
1996,"male","TB_only_Male",98.0409872599341,240.47823072529,159.634216150267
1997,"female","HIV/TB_coinfection_Female",215.673496385667,520.642153557852,349.827189035012
1997,"female","TB_only_Female",24.2467248411162,93.5790956802449,48.8354276769439
1997,"male","HIV/TB_coinfection_Male",142.8591801907,387.526801379612,243.150550068934
1997,"male","TB_only_Male",96.2101976566931,242.942366285161,158.866228146162
1998,"female","HIV/TB_coinfection_Female",207.71088610743,513.763304170697,340.038915653925
1998,"female","TB_only_Female",25.1417770680256,95.781370306097,50.5412111754954
1998,"male","HIV/TB_coinfection_Male",135.772955528219,378.212822503321,234.122106219598
1998,"male","TB_only_Male",96.5153454396057,245.184979612858,159.737985599624
1999,"female","HIV/TB_coinfection_Female",199.794734260662,500.755563829302,329.247507490252
1999,"female","TB_only_Female",25.6390237282871,96.4037060087053,50.8515713217794
1999,"male","HIV/TB_coinfection_Male",129.65598240138,364.913414339164,225.018780573949
1999,"male","TB_only_Male",93.3350552802813,242.347810757181,156.560763921252
2000,"female","HIV/TB_coinfection_Female",192.739908371674,481.918179549271,317.68308708436
2000,"female","TB_only_Female",25.9006665041415,96.156746525561,51.1077567175745
2000,"male","HIV/TB_coinfection_Male",124.888871861338,348.251145433434,215.952183433687
2000,"male","TB_only_Male",90.8739844512851,236.685982555839,152.885158294741
2001,"female","HIV/TB_coinfection_Female",184.63780820292,453.92509008851,302.348448439374
2001,"female","TB_only_Female",25.7105098274357,91.4910045502869,49.6684139930351
2001,"male","HIV/TB_coinfection_Male",118.674178631299,324.09246189278,203.964454631019
2001,"male","TB_only_Male",87.6313176905764,225.737110321721,146.799340976395
2002,"female","HIV/TB_coinfection_Female",174.691381087404,425.488643954522,285.209925018482
2002,"female","TB_only_Female",23.909674088452,85.0696798921556,46.1246176903587
2002,"male","HIV/TB_coinfection_Male",111.529044372422,299.560610170648,190.86784550159
2002,"male","TB_only_Male",80.0922176458357,211.284134803728,136.929940323832
2003,"female","HIV/TB_coinfection_Female",167.387808830647,400.507491908416,271.073164111447
2003,"female","TB_only_Female",21.8876868908861,78.2089286066446,42.6396883471172
2003,"male","HIV/TB_coinfection_Male",108.521653710646,282.636187181522,182.059016698441
2003,"male","TB_only_Male",74.7880439018696,197.668282978624,128.800812952514
2004,"female","HIV/TB_coinfection_Female",161.539755205803,374.319742460453,256.674624105773
2004,"female","TB_only_Female",20.7204717236898,73.2290507587859,40.172703525212
2004,"male","HIV/TB_coinfection_Male",108.067757524459,267.055089286643,175.99533991442
2004,"male","TB_only_Male",71.6883144232663,188.163975058341,122.778212922018
2005,"female","HIV/TB_coinfection_Female",144.666065411298,331.991126421007,228.252376136015
2005,"female","TB_only_Female",18.6607219337738,66.5112800795016,36.3883564292139
2005,"male","HIV/TB_coinfection_Male",96.8217317397738,233.172150481193,155.580953327029
2005,"male","TB_only_Male",66.8020125522914,174.166127792327,113.892488341742
2006,"female","HIV/TB_coinfection_Female",125.99156058385,295.587404092514,201.96396501026
2006,"female","TB_only_Female",16.7901877107377,59.4919226723591,32.8578612624727
2006,"male","HIV/TB_coinfection_Male",80.7271417286655,198.608358626121,131.183556331118
2006,"male","TB_only_Male",62.1476055723688,162.157130072822,106.354884844796
2007,"female","HIV/TB_coinfection_Female",116.459635000548,275.35355428549,188.616683464677
2007,"female","TB_only_Female",15.6404028685954,54.2445463738784,30.2188891728794
