"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",673,2927.70401459215,10288.6876682567,76526.3126111891,17246.9697790272,175763066.694726,102207617.824002,277970684.518728,0.0398721405757248,0.041893854283945,6,11,8,45,1.2,14,22,40,17,0.20005807295791,0.381501931762138,1926,4351,0.0152410063788146,0.0237578311305978,0.000280095781996805,0.0653095889234963,0.0274766729135304,292,286,362,4,650
"2",681,3202.48192623332,13602.1767609721,83766.7348501942,17048.3968990862,174357645.531071,102240297.264726,276597942.795797,0.039787346247827,0.041960879964991,6,11,8,45,1.2,17,22,40,17,0.196791536235736,0.381714336690561,1872,4352,0.0360614774913336,0.0335311788420151,0.000109429524373932,0.0732221030673892,0.0359179910441987,409,507,481,2,696
"3",689,2931.4339437754,10291.1425745405,76716.5292247673,17100.0024220713,177162976.773414,98344002.8076912,275506979.581105,0.0398760353599373,0.0408172716681186,6,11,8,45,1.5,14,22,40,17,0.203311800593463,0.356389786242035,1981,4172,0.0152564319027669,0.0238904978891054,0.000153782617722599,0.0655174623866256,0.0275307594596789,295,287,368,3,652
"4",697,3210.03053295458,13608.1811569111,83966.6750995657,16921.0739231906,175748174.424407,98368029.1491456,274116203.573553,0.0397912190617605,0.0408841081461216,6,11,8,45,1.5,17,22,40,17,0.200023459740797,0.356545949053385,1924,4173,0.0360992064074996,0.0337996689756763,0,0.0734406027624157,0.0360119559053599,410,508,483,1,700
"5",805,2768.34703120425,10871.6097963996,16829.9698215762,66329.8722699037,196663362.344938,87721702.655743,284385065.000681,0.0414135411529576,0.0387379370967911,6,12,8,45,1.2,14,30,40,17,0.248635385589347,0.287348552566364,2695,3658,0.0189038261407775,0.0180897947167892,0.0424650874277685,7.19355008965913e-05,0.0201598310501129,148,347,287,688,2
"6",813,4613.86417789424,22231.1892391682,16911.3238108011,58554.2614122217,195136181.489569,88044939.2364307,283181120.726,0.04130589572308,0.0388313952369713,6,12,8,45,1.2,17,30,40,17,0.245085850066138,0.289449477223034,2653,3672,0.0902823003172861,0.0837314639261327,0.0357822291935175,0.000160841170919013,0.0455856739580147,520,792,762,645,4
"7",821,2773.90588567143,10875.2593976909,16764.1445489771,65790.2370002629,198252560.216663,84265944.2591633,282518504.475826,0.0414175417952504,0.0376732391759651,6,12,8,45,1.5,14,30,40,17,0.252329063570751,0.264887332343626,2738,3513,0.0189267585893634,0.0182875130022964,0.0420012902970712,0,0.0200432414074533,144,349,290,686,1
"8",829,4624.10214932512,22238.5521722703,16863.2439205924,58044.6482742135,196713441.804298,84576710.8985284,281290152.702827,0.0413098843629204,0.0377663165165621,6,12,8,45,1.5,17,30,40,17,0.248751782294661,0.2669072067456,2699,3532,0.0903285656682998,0.0840956098433061,0.0353442350065714,0.00010829826682375,0.0455205950843397,518,793,763,637,3
"9",4655,2324.24930253542,7917.91564295668,56648.4396449711,29414.9879249537,192163161.628319,94632727.782517,286795889.410836,0.0413561069235006,0.0401558908337116,11,7,8,45,1.2,17,30,60,17,0.238175837036828,0.332267797352394,2562,3982,0.000344144163198828,0.00229405082235589,0.0107380703063624,0.0435865531938396,0.0168250260471716,69,3,14,322,528
"10",4656,2314.55216174707,7863.14656857222,53240.9873530383,30322.4800791637,192558560.58077,93621200.7302419,286179761.311012,0.0413581785273473,0.0398753619480885,11,7,8,45,1.2,17,30,60,20,0.239094839277218,0.325693225500121,2577,3937,0,0.0019491412618858,0.011518027216023,0.0398628042791266,0.015804077700922,43,1,10,342,499
"11",4671,2328.51616316771,7922.78954543092,56834.7771938261,29206.1866659017,193687240.88798,90999779.3468447,284687020.234824,0.0413602479932167,0.0390808421489868,11,7,8,45,1.5,17,30,60,17,0.241718163705822,0.308654903883843,2608,3805,0.000374769568272084,0.00244581525038613,0.0105586131242943,0.0437901875182179,0.0168687571564853,71,4,16,318,530
"12",4672,2318.78414492408,7867.97059992721,53398.4539320659,30091.6123312054,194091646.174488,90012665.0695305,284104311.244019,0.0413623192996915,0.0388008091030973,11,7,8,45,1.5,17,30,60,20,0.242658098832162,0.302239006525478,2620,3763,3.03120374511681e-05,0.00209966516262688,0.0113196046793624,0.0400348876870574,0.0158323431499416,45,2,11,336,502
"13",5671,2270.9785311966,8094.17941773315,44642.1736618186,123290.514460199,205643208.831472,83034278.1598127,288677486.991285,0.0423982161416502,0.0377168863918356,12,8,8,45,1.2,14,30,60,17,0.269506708055748,0.25688193372381,2882,3469,0.00145170623092535,0.000399306925220633,0.091420713378822,0.0304658060507711,0.0369361584601071,426,11,3,876,412
"14",5672,2259.75200715839,8022.42616965352,46738.4420256739,127760.125724462,206190389.594709,81861426.7745828,288051816.369291,0.0424009372206891,0.0373677435247719,12,8,8,45,1.2,14,30,60,20,0.270778487720806,0.24925881016336,2889,3422,0.0010008411798963,0,0.0952621837131776,0.0327566604416995,0.0386058214824424,454,9,1,890,441
