"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort"
"49",49,14126.7413158685,66596.3717895132,547185.896483707,238656.254260452,866565.26384954,285289906.166704,22800881.731503,308090787.898207,0.0439837302064868,0.0204708080385181,6,6,8,45,1.5,14,22,40,17
"50",50,14128.8863275192,66615.9675825213,542123.493391026,236409.65582963,859278.003130696,285584316.341478,22779975.864418,308364292.205896,0.0439882240410662,0.0204708080385181,6,6,8,45,1.5,14,22,40,20
"51",51,14369.8371913568,67959.3487525802,444629.463853271,196919.465069679,723878.114866887,292085116.661463,24462448.7848257,316547565.446288,0.0444899204763871,0.0204955251648739,6,6,8,45,1.5,14,22,60,17
"52",52,14371.9024068606,67978.1343246172,440356.595255943,195054.489116062,717761.121103483,292361334.739141,24453815.7183183,316815150.45746,0.0444938298678681,0.0204955251648739,6,6,8,45,1.5,14,22,60,20
"53",53,14430.3458069366,68262.1070341502,477238.652071117,203425.007002563,763356.111914767,293749902.055436,23965807.4613348,317715709.516771,0.0445464323105452,0.020404245022795,6,6,8,45,1.5,14,30,40,17
"54",54,14432.5584254916,68281.9403270344,472705.557594725,201441.422240698,756861.478587949,294038023.060024,23957537.9735891,317995561.033614,0.044550796202817,0.020404245022795,6,6,8,45,1.5,14,30,40,20
"55",55,14672.2674884587,69614.6872664671,385965.282475805,167644.846504567,637897.083735298,299565049.107014,25520225.4769983,325085274.584012,0.0449398247651735,0.020428839980947,6,6,8,45,1.5,14,30,60,17
"56",56,14674.4071534004,69633.7692776396,382138.363917275,165996.194010274,632442.734358589,299835935.474272,25521940.4955273,325357875.969799,0.044943684008427,0.020428839980947,6,6,8,45,1.5,14,30,60,20
"57",57,10656.3286459251,50453.6427763472,560417.666659761,245989.397679915,867517.035761948,284598376.26796,22638909.1005129,307237285.368473,0.0439459289736997,0.0203802101998653,6,6,8,45,1.5,17,22,40,17
"58",58,10657.7500802821,50470.4310800643,555379.533587715,243747.501685114,860255.216433175,284886399.990552,22617778.7203626,307504178.710915,0.0439503259611965,0.0203802101998653,6,6,8,45,1.5,17,22,40,20
"59",59,10892.3115878908,51794.8288746832,458556.719843172,204373.806282189,725617.666587935,291464495.546689,24226097.209431,315690592.75612,0.0444433313278656,0.0204043665616553,6,6,8,45,1.5,17,22,60,17
"60",60,10893.7289976483,51811.1892429489,454284.060605755,202502.463972173,719491.442818525,291735365.814801,24217400.0109946,315952765.825796,0.0444471569301506,0.0204043665616553,6,6,8,45,1.5,17,22,60,20
"61",61,10949.946455313,52087.7759902006,490966.184964196,210857.623064775,764861.530474485,292858791.309848,23761409.1470646,316620200.456913,0.0444960854680819,0.0203133664111075,6,6,8,45,1.5,17,30,40,17
"62",62,10951.5025980134,52105.1643607525,486442.714792687,208871.84672707,758371.228478523,293140596.854094,23752417.8265255,316893014.68062,0.0445003554701996,0.0203133664111075,6,6,8,45,1.5,17,30,40,20
"63",63,11186.4742195014,53427.4878227914,400018.219134877,174991.238594028,639623.419771197,298536950.977054,25264034.1890981,323800985.166153,0.044881093465596,0.0203374037702516,6,6,8,45,1.5,17,30,60,17
"64",64,11188.0258944536,53444.4598300534,396182.708733035,173332.512167322,634147.706624865,298801897.459663,25264656.1031062,324066553.56277,0.0448848704980722,0.0203374037702516,6,6,8,45,1.5,17,30,60,20
"65",65,14112.1426686516,66586.9065725432,549509.875915456,250757.692306363,880966.617463014,447017992.986922,52074949.3134432,499092942.300365,0.05405500220724,0.0217951200757383,6,6,12,35,1.2,14,22,40,17
"66",66,14114.4211019266,66607.411463212,544367.672226691,248502.648316782,873592.153108612,447395645.65377,52177578.1971325,499573223.850903,0.0540631939819659,0.0217951200757383,6,6,12,35,1.2,14,22,40,20
"67",67,14378.1959992236,68091.6821339902,441646.643308923,206884.67330921,731001.194751347,456973265.523571,56783486.0719622,513756751.595534,0.0546376469894306,0.0218213541640976,6,6,12,35,1.2,14,22,60,17
"68",68,14380.3997870755,68111.3893677533,437311.124112012,205002.487298805,724805.400565645,457326611.805049,56892030.3143688,514218642.119418,0.0546448816144171,0.0218213541640976,6,6,12,35,1.2,14,22,60,20
"69",69,14382.6088974894,68097.228917084,484176.289356642,218337.508441228,784993.635612443,456049276.888762,54910741.0850259,510960017.973788,0.0545869390429189,0.0215142534990547,6,6,12,35,1.2,14,30,40,17
"70",70,14384.9437126192,68117.9043210713,479534.488376161,216318.422229165,778355.758639017,456416701.128414,55020865.737912,511437566.866326,0.0545948436675095,0.0215142534990547,6,6,12,35,1.2,14,30,40,20
"71",71,14639.9062531761,69567.2412294237,387328.662442258,180048.744954938,651584.554879795,464975911.982216,59481135.6530211,524457047.635237,0.0550734954420324,0.0217279626536628,6,6,12,35,1.2,14,30,60,17
"72",72,14642.176522595,69587.1799756375,383422.804367357,178365.549101182,646017.709966771,465319396.541,59595644.6177487,524915041.158748,0.0550805644404589,0.0217401781179664,6,6,12,35,1.2,14,30,60,20
"73",73,10640.6950353217,50439.3536496172,563042.304357446,258172.473320012,882294.826362396,446113812.866422,51729816.1483456,497843629.014767,0.0540212475497144,0.0217060049225983,6,6,12,35,1.2,17,22,40,17
"74",74,10642.2612514097,50457.1792434331,557922.843877519,255923.798964024,874946.083336386,446483624.757038,51829399.7825627,498313024.539601,0.0540292615735556,0.0217060049225983,6,6,12,35,1.2,17,22,40,20
"75",75,10894.9135240096,51902.5349617669,455647.114122677,214329.721238029,732774.283846482,456001099.872371,56381031.412812,512382131.285183,0.0545928242652092,0.0217316462849972,6,6,12,35,1.2,17,22,60,17
"76",76,10896.486560862,51919.9530679166,451317.894910454,212446.792682759,726581.127221992,456346888.558832,56486593.0538479,512833481.61268,0.0545999031911638,0.0217316462849972,6,6,12,35,1.2,17,22,60,20
"77",77,10919.8507605549,51962.0249960293,498827.159427047,226057.879782441,787766.914966073,454257978.39938,53780702.7537023,508038681.153082,0.0544989650608924,0.0214249362223852,6,6,12,35,1.2,17,30,40,17
"78",78,10921.547100334,51980.4363206062,494169.988481842,224028.867459746,781100.839362528,454619221.470623,53886350.6325641,508505572.103187,0.05450675810469,0.0214249362223852,6,6,12,35,1.2,17,30,40,20
"79",79,11150.2968232509,53363.8904584845,401545.613657956,187510.2093079,653570.010247591,464080387.653998,59026923.6575654,523107311.311564,0.0550176404363599,0.0216606349485171,6,6,12,35,1.2,17,30,60,17
"80",80,11151.9881073135,53381.8267736611,397630.993706431,185819.537431185,647984.34601859,464417185.557457,59138786.0490908,523555971.606548,0.0550245581163878,0.0216725934946099,6,6,12,35,1.2,17,30,60,20
"81",81,14110.2263811096,66579.1379319377,549645.772250216,250900.692099848,881235.828663111,449581736.036678,52667413.2854261,502249149.322104,0.0541005707940768,0.0217951200757383,6,6,12,35,1.5,14,22,40,17
"82",82,14112.5009087404,66599.6150778802,544505.399427324,248646.887650743,873864.403064687,449961371.401336,52777282.2666626,502738653.667999,0.0541087495758445,0.0217951200757383,6,6,12,35,1.5,14,22,40,20
"83",83,14376.2264963255,68083.645709504,441794.082082494,207034.423217055,731288.377505378,459557692.664883,57456787.4713939,517014480.136277,0.0546822025990723,0.0218213541640976,6,6,12,35,1.5,14,22,60,17
"84",84,14378.4265411067,68103.3248489017,437459.233277557,205152.703571113,725093.688238678,459912811.159382,57572113.6951412,517484924.854523,0.0546894256655148,0.0218213541640976,6,6,12,35,1.5,14,22,60,20
"85",85,14380.6324821972,68089.2490831936,484301.682217361,218473.141463275,785244.705246026,458643779.175367,55570080.955491,514213860.130857,0.0546323900531261,0.0215142534990547,6,6,12,35,1.5,14,30,40,17
"86",86,14382.9633899675,68109.8971875589,479661.330320952,216455.028397471,778609.219295949,459013090.61488,55687152.3246263,514700242.939506,0.0546402820710915,0.0215142534990547,6,6,12,35,1.5,14,30,40,20
"87",87,14637.8666702251,69558.9726647558,387464.61613813,180189.830068326,651851.285541436,467589902.558902,60217342.7385248,527807245.297427,0.0551188005061736,0.0217930953918926,6,6,12,35,1.5,14,30,60,17
"88",88,14640.1331022256,69578.8839441037,383559.142401521,178506.913862551,646285.073310401,467935092.532254,60338339.9890765,528273432.521331,0.0551258577756726,0.0218052995857409,6,6,12,35,1.5,14,30,60,20
"89",89,10639.2359346468,50432.2859580664,563177.883967534,258315.347132223,882564.75299247,448677242.059853,52316406.3819574,500993648.44181,0.0540668410516591,0.0217060049225983,6,6,12,35,1.5,17,22,40,17
"90",90,10640.7967739255,50450.0823800495,558060.380149867,256068.033126839,875219.292430682,449049037.91481,52423085.5117803,501472123.42659,0.0540748423595393,0.0217060049225983,6,6,12,35,1.5,17,22,40,20
"91",91,10893.3678125829,51895.1195719247,455794.733075654,214479.862124996,733063.082585158,458583776.730201,57049437.6121641,515633214.342365,0.0546374110963154,0.0217316462849972,6,6,12,35,1.5,17,22,60,17
"92",92,10894.9356346215,51912.5091636997,451466.3281547,212597.542688834,726871.315641855,458931421.239813,57161599.1209076,516093020.360721,0.0546444787119936,0.0217316462849972,6,6,12,35,1.5,17,22,60,20
"93",93,10918.2813351882,51954.606316673,498953.369526006,226194.680770311,788020.937948178,456864418.137672,54426567.8777588,511290986.015431,0.0545446391754824,0.0214249362223852,6,6,12,35,1.5,17,30,40,17
"94",94,10919.9724990044,51972.9873546838,494297.771126622,224166.745627112,781357.476607422,457227484.013956,54539130.6198825,511766614.633839,0.0545524199806604,0.0214249362223852,6,6,12,35,1.5,17,30,40,20
"95",95,11148.7842189251,53356.1121782891,401629.713292844,187608.685405459,653743.295095517,466404495.573133,59719491.3408534,526123986.913986,0.0550629793312071,0.0217258006878823,6,6,12,35,1.5,17,30,60,17
"96",96,11150.4711391769,53374.0145347734,397718.94100511,185920.107237268,648163.533916329,466742282.49436,59837061.2582635,526579343.752623,0.0550698855310399,0.021737748203783,6,6,12,35,1.5,17,30,60,20
"97",97,14033.2986533715,67056.4192748455,602854.788083662,284253.642853486,968198.148865366,611771600.281031,147148807.155846,758920407.436877,0.0620938123709926,0.0336533971490517,6,6,12,45,1.2,14,22,40,17
"98",98,14035.3384328129,67075.0005046565,597934.29642079,282084.670865795,961129.306224054,612172192.70804,147409886.22538,759582078.933419,0.0621006359200023,0.0336652958204361,6,6,12,45,1.2,14,22,40,20
"99",99,14270.1748251825,68382.701473249,503212.465413607,243920.771744521,829786.113456559,620633548.199681,154524737.837143,775158286.036824,0.0625409568398022,0.0345125278378927,6,6,12,45,1.2,14,22,60,17
"100",100,14272.1407574962,68400.5320041282,498955.07225148,242055.345892229,823683.090905334,621009604.873475,154779094.591181,775788699.464656,0.0625469979214291,0.0345233243446775,6,6,12,45,1.2,14,22,60,20
"101",101,14301.168978015,68554.5106080792,533607.945715327,249270.773331682,865734.398633103,622159036.077994,153211959.913344,775370995.991338,0.0626025777310481,0.0343554862525569,6,6,12,45,1.2,14,30,40,17
"102",102,14303.2566984281,68573.2002111659,529155.209506932,247322.08003081,859353.746447336,622547108.966896,153473893.652769,776021002.619665,0.0626091591225806,0.0343670515184323,6,6,12,45,1.2,14,30,40,20
"103",103,14527.5952067599,69843.6123523428,443847.877765795,213935.921709433,742155.007034331,630273951.111491,160349794.503386,790623745.614877,0.0629671397850061,0.0351156712360375,6,6,12,45,1.2,14,30,60,17
"104",104,14529.615657252,69861.5963538842,439999.51048523,212260.305272891,736651.027769257,630638439.153539,160605016.925544,791243456.079082,0.0629730359009787,0.0351262938263956,6,6,12,45,1.2,14,30,60,20
"105",105,10554.9561757455,50868.5719818467,615827.791019152,291409.315352781,968660.634529525,611061109.764494,146786266.198851,757847375.963345,0.0620681753433233,0.033633754331749,6,6,12,45,1.2,17,22,40,17
"106",106,10556.3550926527,50884.8965512077,610943.498951631,289254.154338239,961638.90493373,611453243.771847,147041658.761864,758494902.533711,0.0620748487223292,0.0336453973608196,6,6,12,45,1.2,17,22,40,20
"107",107,10784.4300708005,52177.7879490964,516996.004992987,251306.830905084,831265.053917968,619736682.025286,153999177.404491,773735859.429776,0.0625071443161143,0.0344762517806804,6,6,12,45,1.2,17,22,60,17
"108",108,10785.8210754076,52193.6648042119,512756.786733688,249447.461410725,825183.734024033,620104803.997175,154247819.266551,774352623.263726,0.0625130532686398,0.0344868175275678,6,6,12,45,1.2,17,22,60,20
"109",109,10814.2022841106,52346.1432562682,547199.465848583,256660.451972345,867020.263361307,621202040.792099,152694023.559604,773896064.351703,0.0625656528836117,0.0343202986976942,6,6,12,45,1.2,17,30,40,17
"110",110,10815.7039541312,52362.8570044178,542769.534246678,254719.519136639,860667.614341866,621581809.470543,152950103.51475,774531912.985293,0.062572089992444,0.0343316158873752,6,6,12,45,1.2,17,30,40,20
"111",111,11035.42260237,53627.6682883943,457959.784401674,221411.402253193,744034.277545631,629138242.43943,159667455.07568,788805697.51511,0.062922506363475,0.0350644679843682,6,6,12,45,1.2,17,30,60,17
"112",112,11036.916454178,53643.9482681637,454118.120087159,219736.840060918,738535.824870419,629494932.268288,159916839.108031,789411771.376319,0.0629282742805557,0.0350748643011249,6,6,12,45,1.2,17,30,60,20
"113",113,14031.5925673687,67049.4393899867,602971.949931867,284376.62357008,968429.605459303,614542394.584897,148715868.515752,763258263.10065,0.0621316752606136,0.0337103129387282,6,6,12,45,1.5,14,22,40,17
"114",114,14033.6283988374,67067.9998157332,598053.890170167,282209.446233617,961364.964618354,614944449.304259,148982423.258169,763926872.562428,0.0621384875300511,0.0337222004815583,6,6,12,45,1.5,14,22,40,20
"115",115,14268.4293666494,68375.5111707015,503341.128611383,244051.669359192,830036.738507926,623414246.425448,156142401.476565,779556647.902013,0.0625779046154546,0.034568087050649,6,6,12,45,1.5,14,22,60,17
"116",116,14270.3914921218,68393.3205428314,499085.238072556,242187.433832682,823936.383940191,623791637.263735,156401932.039723,780193569.303458,0.0625839357041261,0.0345788735497231,6,6,12,45,1.5,14,22,60,20
"117",117,14299.4067484357,68547.3475251347,533717.11364965,249389.140789272,865953.008712493,624954925.708561,154839905.049965,779794830.758526,0.0626403789376891,0.0344123997398688,6,6,12,45,1.5,14,30,40,17
"118",118,14301.4906189974,68566.0157674278,529266.431534156,247441.971681127,859575.909601709,625344328.002661,155107097.854051,780451425.856713,0.0626469493782568,0.0344239541420417,6,6,12,45,1.5,14,30,40,20
"119",119,14525.7867249809,69836.229726217,443967.478031992,214060.905803593,742390.400286783,633081141.877123,162030630.784015,795111772.661137,0.0630047059891505,0.0351722843158025,6,6,12,45,1.5,14,30,60,17
"120",120,14527.8033935661,69854.1921395034,440120.328623687,212386.280362918,736888.604519674,633446850.312866,162290798.105503,795737648.418369,0.0630105919725594,0.0351828966828253,6,6,12,45,1.5,14,30,60,20
"121",121,10553.6688898444,50862.1798858006,615944.418260069,291531.715539201,968891.982574914,613830949.152847,148351806.560544,762182755.713391,0.0621060543023296,0.0336906861563437,6,6,12,45,1.5,17,22,40,17
"122",122,10555.0629096408,50878.4814457061,611062.650320378,289378.429509333,961874.624185058,614224494.864299,148612587.694729,762837082.559029,0.0621127166449693,0.0337023182885601,6,6,12,45,1.5,17,22,40,20
"123",123,10783.0765634486,52171.1234576097,517124.434161718,251437.504446265,831516.138629041,622516173.675753,155614107.129821,778130280.805574,0.0625441120941555,0.0345318317966196,6,6,12,45,1.5,17,22,60,17
"124",124,10784.4628643561,52186.9770905449,512886.834560385,249579.421905392,825437.696420677,622885590.669008,155867836.075073,778753426.744081,0.0625500112654837,0.034542387732502,6,6,12,45,1.5,17,22,60,20
"125",125,10812.825559393,52339.482555511,547308.405681199,256778.527051889,867239.240847992,623996422.038783,154319164.983218,778315587.022001,0.0626034720161139,0.0343772292721525,6,6,12,45,1.5,17,30,40,17
"126",126,10814.3223545901,52356.1736694557,542880.622121294,254839.209184539,860890.327329879,624377546.228606,154580356.758099,778957902.986705,0.0626098984106036,0.0343885358299116,6,6,12,45,1.5,17,30,40,20
"127",127,11033.9747231894,53620.7278983515,458079.50158097,221536.486768774,744270.690971286,631943697.427043,161344364.245413,793288061.672456,0.0629600948403638,0.0351211035089161,6,6,12,45,1.5,17,30,60,17
"128",128,11035.4638483645,53636.9849420803,454239.172074166,219863.020030185,738774.640894795,632301628.207731,161598559.171995,793900187.379726,0.0629658528393175,0.0351314898077563,6,6,12,45,1.5,17,30,60,20
"129",129,11245.9557125896,50531.3823151392,368684.504668434,138319.598600307,568781.441296469,172354844.820739,28425893.1745945,200780737.995334,0.0355243155493543,0.0213861165336693,6,7,8,35,1.2,14,22,40,17
"130",130,11247.5429050135,50549.5921144289,363617.003880955,136240.205668289,561654.344568686,172637344.262905,28144962.4940614,200782306.756966,0.0355308831451993,0.0212131598243516,6,7,8,35,1.2,14,22,40,20
