"X","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
5288,5288,4646.79616458874,12877.4009481868,14100.6982354773,77835.4910687892,121918686.550016,162755799.998381,284674486.548397,0.0332933424010818,0.051217884411118,11,12,8,45,1.2,14,30,60,20,0.281528067800892,0.325606558549747,3126,3151,0.0477006337061421,0.123138004168231,0.232189564471016,5.03182296501789e-06,0.103826106463069,298,193,200,907,2
5296,5296,2737.45440247059,9262.02452157916,14514.5402682035,71049.0542977246,121101789.163339,163232863.802882,284334652.96622,0.0331992980646478,0.0512768910111512,11,12,8,45,1.2,17,30,60,20,0.278695816003289,0.327102347088514,3120,3153,0.00349779552676174,0.0164482993745324,0.208280940219811,0.000597979237543891,0.0666528948174653,144,13,29,868,3
5304,5304,4647.27077761563,12879.5895365451,14097.1863222908,77382.9677403443,122644974.885337,159355942.133234,282000917.018572,0.0332966078995255,0.0504620551288235,11,12,8,45,1.5,14,30,60,20,0.284046170413089,0.314946625056271,3129,3141,0.0477273921416763,0.123164524472104,0.230595324284351,0,0.103356980608061,297,194,201,903,1
6191,6191,2470.26688463424,10161.0596442544,14516.6469224258,98048.8894258609,122450464.232756,161497985.259686,283948449.492442,0.0334029997796489,0.0511020628516515,12,12,8,45,1.2,17,30,60,17,0.283371785656312,0.321662799135846,3128,3148,0.0144897087761607,0.00151846440831999,0.303401389241814,0.000600997623970943,0.0944023506966317,254,73,15,993,4
