"variable","mean","min","max"
"p2_p1_ICER",672.758482947127,543.286570493403,881.454599230756
"p3_p1_ICER",628.892828907078,511.799737265418,838.104520921128
"p3_p2_ICER",-1691.12523081309,-2638.56470071239,-730.334589260032
