"variable","mean","min","max"
"p2_p1_incremental_cost",13251930.6982401,10917578.3098976,15965116.8883319
"p3_p1_incremental_cost",12624713.7608965,10350202.2402671,15485028.1427781
"p3_p2_incremental_cost",-627216.937343566,-1344075.22351356,-130644.797844917
"p2_p1_incremental_DALY",19753.0109926368,15878.4670876227,23840.3050005982
"p3_p1_incremental_DALY",20124.118039593,16228.8360692056,24115.0628963944
"p3_p2_incremental_DALY",371.107046956162,158.168420760165,821.91889161928
