year,sex,TB_HIV_coinfection,val_rate,upper_rate,lower_rate
2016,Female,yes,900.8511832,1149.16372,683.1915815
2016,Male,no,514.0212125,864.0185714,268.6501207
2016,Male,yes,638.665084,798.3332959,485.2295195
2017,Female,no,624.0191022,1062.217888,294.7324592
2017,Female,yes,886.2253812,1140.5244,666.4947143
2017,Male,no,532.4617464,906.9761431,274.0002563
2017,Male,yes,637.9421807,805.5083446,481.044455
2018,Female,no,633.9401848,1067.243748,305.0336121
2018,Female,yes,861.2174107,1106.197697,651.0834105
2018,Male,no,540.3609233,907.6424285,285.1719059
2018,Male,yes,624.1743207,785.7162833,472.5346131
2019,Female,no,649.7690327,1122.937252,303.6318122
2019,Female,yes,827.5254434,1093.915114,611.5361814
2019,Male,no,541.2100854,937.5185726,275.9386947
2019,Male,yes,599.5783465,770.7332955,446.6679757
