"calibration_group","max_incidence","min_incidence","mean_incidence"
"HIV_neg_female",307.867606128541,218.91889817689,272.410065158804
"HIV_neg_male",372.10657823214,265.0311537568,329.924478464185
"HIV_pos_female",1081.2820297745,798.866117292302,969.96475351978
"HIV_pos_male",518.1475438619,374.276525544939,459.604745349346
