"year","sex","expected_total_pop"
1990,"Female",2316262.29911574
1990,"Male",2002558.34240301
1991,"Female",2375407.20888789
1991,"Male",2054928.49300526
1992,"Female",2435274.17146768
1992,"Male",2107349.72541908
1993,"Female",2495522.46132026
1993,"Male",2160314.60462101
1994,"Female",2557067.19809587
1994,"Male",2213914.83059342
1995,"Female",2619617.16506963
1995,"Male",2268620.82460021
1996,"Female",2685372.29092384
1996,"Male",2326526.89872731
1997,"Female",2754339.35633104
1997,"Male",2385511.09643533
1998,"Female",2822909.93371443
1998,"Male",2442749.29688851
1999,"Female",2890416.51634453
1999,"Male",2499528.34623264
2000,"Female",2955043.8456138
2000,"Male",2556197.86850844
2001,"Female",3013817.21664463
2001,"Male",2610778.44419539
2002,"Female",3065635.28289776
2002,"Male",2661162.08227741
2003,"Female",3109172.54129004
2003,"Male",2706546.94551822
2004,"Female",3145113.68897871
2004,"Male",2747092.46054207
2005,"Female",3175256.85428558
2005,"Male",2783542.01101137
2006,"Female",3195937.80906561
2006,"Male",2814273.12163054
2007,"Female",3213922.48328467
2007,"Male",2842060.80473173
2008,"Female",3229759.41416867
2008,"Male",2866745.41909913
2009,"Female",3244820.4046994
2009,"Male",2888899.03832294
2010,"Female",3259915.76370848
2010,"Male",2909799.68619864
2011,"Female",3272785.15277629
2011,"Male",2931488.91614492
2012,"Female",3286057.44240546
2012,"Male",2954684.64960924
2013,"Female",3299955.16993247
2013,"Male",2979401.29587278
2014,"Female",3314276.64040061
2014,"Male",3005646.10218646
2015,"Female",3328547.24073055
2015,"Male",3032678.12536225
2016,"Female",3342778.7209156
2016,"Male",3059609.17004151
2017,"Female",3358182.77389578
2017,"Male",3086443.47461569
2018,"Female",3375571.00813185
2018,"Male",3114103.48935625
2019,"Female",3393894.5312371
2019,"Male",3142312.50861884
