sim_id,HIV_neg_female,HIV_neg_male,HIV_pos_female,HIV_pos_male,hiv_prev_mse_male,hiv_prev_mse_female,hiv_prev_mse,max_perc_diff_male,max_perc_diff_female,b1_contact,b2_contact,hiv2_mort,hiv3_mort,hiv4_mort,tb_hiv1_mort,tb_hiv2_mort,tb_hiv3_mort,tb_hiv4_mort,hiv_prev_mse_male_norm,hiv_prev_mse_female_norm,hiv_prev_mse_male_norm_rank,hiv_prev_mse_female_norm_rank,tb_mort_mse_male_neg_norm,tb_mort_mse_female_neg_norm,tb_mort_mse_male_pos_norm,tb_mort_mse_female_pos_norm,tb_mort_mse_overall_norm,tbmort_rank_total,tbmort_HIV_neg_male,tbmort_HIV_neg_female,tbmort_HIV_pos_male,tbmort_HIV_pos_female
431,11689.66516,45942.76987,336064.9727,90154.86165,102530776.9,201004123.4,303534900.3,0.03105021,0.055878609,6,9,8,45,1.2,17,30,60,17,0.214308558,0.445530567,2453,4001,0.45196923,0.516677615,0.275590721,0.461311204,0.414799946,952,913,905,966,962
432,11692.07707,45960.86742,330868.3263,88685.70383,102626309.5,200252666.2,302878975.7,0.031051347,0.055737948,6,9,8,45,1.2,17,30,60,20,0.214639777,0.443174444,2460,3967,0.452190496,0.516812387,0.270414876,0.453865518,0.411084695,945,915,907,956,953
435,14734.23395,60103.97274,381897.9421,111000.1452,98945490.79,204600402.7,303545893.5,0.030498862,0.055881671,6,9,8,45,1.5,14,22,60,17,0.20187807,0.456806362,2093,4167,0.625108976,0.686801242,0.349028678,0.526980079,0.525184671,1039,1033,1035,1028,1029
436,14736.91789,60124.7222,376087.8843,109234.418,99041846.94,203811479.7,302853326.7,0.03050006,0.055735139,6,9,8,45,1.5,14,22,60,20,0.202212145,0.454332768,2104,4131,0.625362666,0.686951214,0.342808019,0.518655505,0.520901833,1035,1034,1036,1022,1024
437,14747.76438,60166.438,410547.2862,118979.1142,99817649.99,204094068.2,303911718.2,0.030527117,0.055746472,6,9,8,45,1.5,14,30,40,17,0.204901919,0.455218797,2194,4142,0.625872698,0.687557292,0.377138594,0.568028482,0.546236121,1052,1035,1037,1045,1052
438,14750.56343,60187.98766,404548.717,117036.0539,99921138.42,203292554.1,303213692.6,0.030528447,0.055598491,6,9,8,45,1.5,14,30,40,20,0.205260722,0.452705726,2212,4109,0.626136172,0.687713696,0.370293191,0.559433811,0.541688074,1050,1036,1038,1043,1048
439,14979.15392,61465.59373,327457.519,86291.59701,103745585.8,196253692.9,299999278.6,0.031110735,0.054998759,6,9,8,45,1.5,14,30,60,17,0.218520402,0.43063604,2557,3806,0.641756624,0.700486816,0.261980435,0.448978558,0.481736386,1017,1043,1043,946,943
440,14981.87577,61486.68338,322265.0646,84841.89542,103847564.2,195504482.8,299352047,0.031111893,0.054856825,6,9,8,45,1.5,14,30,60,20,0.21887397,0.428286963,2567,3774,0.642014473,0.700638907,0.256873135,0.441538878,0.47805428,1014,1044,1044,940,933
444,11444.87223,44636.04209,385281.8171,113615.8955,98344462.04,205216083.9,303560546,0.030452653,0.055881627,6,9,8,45,1.5,17,22,60,20,0.199794253,0.458736772,2033,4192,0.435992725,0.502999139,0.358243969,0.531828451,0.454820099,991,904,884,1035,1034
445,11447.55907,44644.89621,418806.3168,123225.4534,99272340.24,204292129.2,303564469.4,0.030478464,0.055776598,6,9,8,45,1.5,17,30,40,17,0.203011285,0.455839799,2129,4150,0.436100979,0.503149274,0.392098452,0.579861913,0.47943816,1016,905,885,1053,1059
