"sex_id","sex_name","year","expected_total_pop","expected_non_disease_mort_total","mort_rate","mort_rate_per_100K"
1,"male",1990,10175695.2335105,65028.4296287692,0.00639056380291522,639.056380291522
1,"male",1991,10444449.7903694,67719.6850427025,0.00648379631305665,648.379631305665
1,"male",1992,10713519.8390328,71815.2998667416,0.00670324047985569,670.324047985569
1,"male",1993,10989202.8304719,70102.102470483,0.00637917995981451,637.917995981451
1,"male",1994,11273107.1944815,72785.1914978105,0.00645653325583923,645.653325583923
1,"male",1995,11562607.0535169,76885.5065648083,0.00664949575895365,664.949575895365
1,"male",1996,11860039.8388088,78391.4400706203,0.00660971136151713,660.971136151713
1,"male",1997,12158058.3825431,87554.3537447714,0.00720134342095977,720.134342095977
1,"male",1998,12452853.9036002,92868.9206230879,0.00745764154482202,745.764154482202
1,"male",1999,12748938.687701,91377.2562205077,0.00716744024415619,716.744024415619
1,"male",2000,13045798.8978403,95539.2677036084,0.00732337424881086,732.337424881086
1,"male",2001,13344731.8691552,95209.425584051,0.00713460761277015,713.460761277015
1,"male",2002,13642037.6649431,97646.3609030239,0.00715775482382317,715.775482382317
1,"male",2003,13932447.1361859,100977.77069016,0.00724766939383508,724.766939383508
1,"male",2004,14214822.7586982,101184.85281333,0.00711826341636332,711.826341636332
1,"male",2005,14490414.2856686,101309.604544663,0.00699149124016839,699.149124016839
1,"male",2006,14748958.902321,102215.077581688,0.00693032493063648,693.032493063648
1,"male",2007,14999080.8860854,99459.4210464047,0.00663103438149152,663.103438149152
1,"male",2008,15238561.1348431,97829.9385438746,0.00641989343207644,641.989343207644
1,"male",2009,15467553.8641647,95041.1253685824,0.0061445478841211,614.45478841211
1,"male",2010,15689486.527444,90624.1729456172,0.00577610827397682,577.610827397682
1,"male",2011,15903017.3316212,84252.897587505,0.00529791899427653,529.791899427653
1,"male",2012,16115018.7352078,82157.8389330598,0.00509821553936904,509.821553936904
1,"male",2013,16323789.6430024,81046.8783624631,0.00496495483799657,496.495483799657
1,"male",2014,16527467.5226681,81390.6668881715,0.00492456976705845,492.456976705845
1,"male",2015,16723806.5931965,80814.2019133014,0.00483228512976095,483.228512976095
1,"male",2016,16912439.745518,77495.5134077835,0.00458216050279326,458.216050279326
1,"male",2017,17096026.7833859,77978.4071188117,0.0045612005705672,456.12005705672
1,"male",2018,17278539.3227998,79889.3222632506,0.00462361550190952,462.361550190952
1,"male",2019,17462699.7945139,81543.0936226354,0.00466955823453215,466.955823453215
2,"female",1990,10950444.8694113,39520.3692931345,0.00360901952061599,360.901952061599
2,"female",1991,11242376.6195448,38798.0762583742,0.00345105644218714,345.105644218714
2,"female",1992,11536799.3431559,43495.8437604474,0.00377018291353492,377.018291353492
2,"female",1993,11835301.547432,37726.2782710911,0.00318760600394477,318.760600394477
2,"female",1994,12140370.5256605,39670.9921172824,0.00326769203900589,326.769203900589
2,"female",1995,12452424.4758099,34880.6756208125,0.0028011152116258,280.11152116258
2,"female",1996,12779580.9548854,32652.5546716866,0.00255505675710001,255.505675710001
2,"female",1997,13121021.7758629,39119.8403965913,0.00298146295805675,298.146295805675
2,"female",1998,13461869.2350691,40548.1042860976,0.00301207087797785,301.207087797785
2,"female",1999,13801316.6418536,42146.3396247432,0.00305379122285557,305.379122285557
2,"female",2000,14132607.4602146,47546.9821163229,0.00336434605221823,336.434605221823
2,"female",2001,14448714.9154687,47247.5995424396,0.00327002088551535,327.002088551535
2,"female",2002,14749625.1429929,50572.0235715858,0.00342869890463697,342.869890463697
2,"female",2003,15028663.8567168,54248.6503549062,0.00360967886913386,360.967886913385
2,"female",2004,15286050.8493113,55714.1345017183,0.00364476966948127,364.476966948127
2,"female",2005,15526167.1808186,55082.8671544277,0.00354774404480704,354.774404480704
2,"female",2006,15729044.3125413,55420.2977858832,0.00352343706869048,352.343706869048
2,"female",2007,15923150.5712518,51524.1529293304,0.0032358014011595,323.58014011595
2,"female",2008,16109876.9533828,49924.5424042022,0.00309900209347775,309.900209347775
2,"female",2009,16291604.6129183,48131.3490971303,0.00295436516173274,295.436516173274
2,"female",2010,16470909.9240877,45917.4673145016,0.00278779178115413,278.779178115413
2,"female",2011,16624043.3037442,41764.4163225862,0.00251228991404153,251.228991404153
2,"female",2012,16774557.3638876,40294.532995924,0.00240212198282325,240.212198282325
2,"female",2013,16922481.594306,39623.7848572561,0.00234148783891061,234.148783891061
2,"female",2014,17064942.1840125,39886.4185724044,0.00233733101128069,233.733101128069
2,"female",2015,17200714.9755242,38627.3422954969,0.00224568236555642,224.568236555642
2,"female",2016,17331247.4396286,36716.9242683158,0.002118539037436,211.8539037436
2,"female",2017,17461770.4678817,35820.7374185902,0.00205138061369419,205.138061369419
2,"female",2018,17595969.9438706,35839.3262108441,0.00203679173840192,203.679173840192
2,"female",2019,17733894.4101073,36512.9720813514,0.00205893704095481,205.893704095481
