"calibration_group","max_incidence","min_incidence","mean_incidence"
"HIV_neg_female",310.60613733047,220.77222651153,268.493762494489
"HIV_neg_male",358.574870554261,255.24511275867,310.427436218187
"HIV_pos_female",997.941161155399,737.584473430499,873.313135964585
"HIV_pos_male",495.571874286899,362.223660293891,432.569652528023
