sex_id,sex_name,year,expected_total_pop
1,male,1990,9753494.359999375
1,male,1991,10016429.471762942
1,male,1992,10279132.061000822
1,male,1993,10544226.423456315
1,male,1994,10813124.956166588
1,male,1995,11083603.853719171
1,male,1996,11360771.109019317
1,male,1997,11638871.201002188
1,male,1998,11916248.785646608
1,male,1999,12197732.804965781
1,male,2000,12483898.358232656
1,male,2001,12763589.33621876
1,male,2002,13045985.6746056
1,male,2003,13318718.834621094
1,male,2004,13578680.952373806
1,male,2005,13827852.943135053
1,male,2006,14060024.707703035
1,male,2007,14282376.385052085
1,male,2008,14496101.792958308
1,male,2009,14701204.076436004
1,male,2010,14898606.584251903
1,male,2011,15090192.849516625
1,male,2012,15277368.523709603
1,male,2013,15460354.31175145
1,male,2014,15638936.057709677
1,male,2015,15812600.765749965
1,male,2016,15981855.205984492
1,male,2017,16148182.47366082
1,male,2018,16313631.967447769
1,male,2019,16479503.872456577
2,female,1990,10420888.687722234
2,female,1991,10701066.51112064
2,female,1992,10986242.239389276
2,female,1993,11270998.075418022
2,female,1994,11560023.128677892
2,female,1995,11855984.822224561
2,female,1996,12162069.34446752
2,female,1997,12481072.039644828
2,female,1998,12806504.923536628
2,female,1999,13136609.777327534
2,female,2000,13463979.764353499
2,female,2001,13758605.089146966
2,female,2002,14038566.12478062
2,female,2003,14294659.695380222
2,female,2004,14527839.562325072
2,female,2005,14744281.712387308
2,female,2006,14920848.53337968
2,female,2007,15084417.658185627
2,female,2008,15238102.142863588
2,female,2009,15381500.109217048
2,female,2010,15514015.62620707
2,female,2011,15637246.623785224
2,female,2012,15754512.177660909
2,female,2013,15867624.45242486
2,female,2014,15975893.698223336
2,female,2015,16079911.941706413
2,female,2016,16182153.677654773
2,female,2017,16286777.161342207
2,female,2018,16396366.890277505
2,female,2019,16510464.655985832
