"","calibration_group","max_incidence","min_incidence","mean_incidence"
"1","HIV_neg_female",396.715704295089,235.002313796799,329.089078578903
"2","HIV_neg_male",480.823939280901,285.470040397699,399.073859397814
"3","HIV_pos_female",1421.236214666,886.027112173502,1203.63668413408
"4","HIV_pos_male",677.252869658501,417.218774312469,572.860114342764
