"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
"1",1,13423.8521885865,64221.3182577951,413670.584225521,181570.536351383,672886.291023285,545221113.523432,88488604.1262417,633709717.649674,0.0583871745908653,0.0305008246127945,6,6,10,50,1.5,15,30,70,25,0.711717772411917,0.5553804072138,1.26709817962572,4460,4235,4121,4116,4540,2792,2772,2837,4550
"2",2,13420.7411555619,64190.9868520882,420334.916606486,183562.639955775,681509.284569912,544594327.162643,88171606.3543116,632765933.516955,0.0583787480013475,0.0304926136952546,6,6,10,50,1.5,15,30,70,20,0.709900152090636,0.560786822570227,1.27068697466086,4482,4233,4119,4133,4550,2771,2750,2817,4556
"3",3,13417.5366192046,64159.6873456867,427447.053835541,185713.44007732,690737.717877753,543935024.716112,87847798.0964652,631782822.812577,0.0583699777812305,0.0304842173701053,6,6,10,50,1.5,15,30,70,15,0.708005351294989,0.566535079842777,1.27454043113777,4494,4231,4117,4150,4562,2745,2725,2792,4562
"4",4,13220.4118349015,63045.5402197559,484616.180418359,209814.723242759,770696.855715775,538984956.616992,83996126.472911,622981083.089903,0.0580815441532887,0.0298796680209404,6,6,10,50,1.5,15,30,50,25,0.690975177714749,0.614814607576172,1.30578978529092,4570,4191,4079,4270,4640,2547,2558,2528,4603
"5",5,13214.7848126648,63017.7708401355,492188.640118012,212180.530270217,780601.726041029,537865501.619446,83657872.3202838,621523373.93973,0.0580816066068304,0.029870717993458,6,6,10,50,1.5,15,30,50,20,0.688143123151304,0.620617242120534,1.30876036527184,4588,4187,4077,4285,4650,2513,2520,2503,4606
"6",6,13211.5050941061,62985.4467182251,500314.002676515,214726.919714535,791237.874203381,537164799.035477,83331852.5668726,620496651.60235,0.058071893100571,0.0298615748545649,6,6,10,50,1.5,15,30,50,15,0.686146400986879,0.626807441833496,1.31295384282038,4596,4183,4075,4296,4660,2503,2507,2483,4609
"7",7,13144.996329278,62652.5651029844,469575.15535564,209556.816950609,754929.533738511,534691579.131717,83459976.0940612,618151555.225778,0.0578620607263501,0.0298394706493811,6,6,10,50,1.5,15,22,70,25,0.681579561039778,0.605500064651967,1.28707962569174,4551,4181,4073,4268,4622,2456,2448,2489,4584
"8",8,13141.9915310117,62622.5151287132,477045.090792672,211830.939393766,764640.536846163,534041857.124499,83151115.78322,617192972.907719,0.0578532731178122,0.0298309679213003,6,6,10,50,1.5,15,22,70,20,0.679710324385273,0.611248211496348,1.29095853588162,4560,4179,4071,4282,4634,2447,2435,2475,4591
"9",9,13138.8979332001,62591.5188758355,485010.612377405,214284.947164046,775025.976350486,533358659.81689,82835929.4889344,616194589.305825,0.0578441273425352,0.0298222729792433,6,6,10,50,1.5,15,22,70,15,0.677761931286161,0.617355324101922,1.29511725538808,4574,4177,4069,4294,4642,2435,2428,2456,4596
"10",10,12936.9888643535,61476.5183973167,549178.475404838,242464.263364014,866056.246030523,526993497.178976,78492611.6605323,605486108.839509,0.0575040307932346,0.0291506781650471,6,6,10,50,1.5,15,22,50,25,0.656763731964426,0.669224553482046,1.32598828544647,4624,4139,4019,4374,4681,2365,2366,2365,4625
"11",11,12934.1617157168,61436.7460597448,557615.837878609,245114.605768807,877101.351422877,526830895.383708,78266988.8103848,605097884.194093,0.057487146059438,0.0291412223207422,6,6,10,50,1.5,15,22,50,20,0.655998990683519,0.675328709521332,1.33132770020485,4629,4135,4015,4388,4684,2364,2364,2363,4630
"12",12,12926.3966894649,61406.6832901035,566520.16005904,247997.233217265,888850.473255874,526184171.812101,78159634.8555967,604343806.667698,0.0574930996958094,0.0291315404833041,6,6,10,50,1.5,15,22,50,15,0.654512875602219,0.681779906370205,1.33629278197242,4638,4131,4009,4392,4686,2362,2362,2362,4635
"13",13,20711.7897691309,98545.0025355523,388898.353730883,168998.551793398,677153.697828965,547361337.498612,89353633.262237,636714970.760849,0.0584720455487588,0.0305976330751247,6,6,10,50,1.5,10,30,70,25,0.717496547433688,0.558060273845639,1.27555682127933,4472,4703,4697,4034,4473,2874,2854,2906,4564
"14",14,20707.8789569048,98513.2224487832,395551.582080753,170968.571730139,685741.25521658,546708769.03394,89020982.0713073,635729751.105247,0.0584632745563613,0.0305890798175859,6,6,10,50,1.5,10,30,70,20,0.715603582678216,0.563427656095316,1.27903123877353,4486,4701,4695,4056,4492,2846,2828,2881,4570
"15",15,20703.8339253666,98480.3603408673,402669.330439423,173099.147243787,694952.671949444,546022435.054877,88681183.5440171,634703618.598894,0.0584541456578658,0.0305803332814566,6,6,10,50,1.5,10,30,70,15,0.7136304493836,0.569147735389968,1.28277818477357,4501,4699,4693,4065,4510,2819,2801,2852,4575
"16",16,20523.4864650711,97465.259001586,460184.876480871,197022.589013958,775196.210961486,540865274.199201,84666974.9783005,625532249.177501,0.0581556733127919,0.029953230753602,6,6,10,50,1.5,10,30,50,25,0.695923651317543,0.617455087859584,1.31337873917713,4576,4691,4679,4206,4606,2606,2618,2577,4611
