"","year","gender","year_gender","hiv_incidence","PLHIV_2b_CD4_350_more","PLHIV_2a_CD4_350_less","PLHIV_2_CD4_200_more","PLHIV_3_CD4_200_less","art_coverage","hiv_prevalence","n1_prop","n2_prop","n3_prop","n4_prop","n2_prop_eligible","eta_24","eta_34"
"41",2020,"Males","2020_Males",0.0125018164968242,NA,NA,0.438067192256698,0.161593976467359,0.400303954987579,0.184569379823769,0.815430620176232,0.0808537899959584,0.0298253000198372,0.0738902898079731,1,0.000945568166122046,0.000945568166122046
"42",2021,"Males","2021_Males",0.012187086012479,NA,NA,0.435409045744758,0.163688663445868,0.400870975499184,0.179107189071074,0.820892810928926,0.0779848902794622,0.0293178163925905,0.0718044823990211,1,0.000298373361830276,0.000298373361830276
"43",2022,"Males","2022_Males",0.0118905577697488,NA,NA,0.433591974311971,0.165331793075388,0.40104973029674,0.172721549475528,0.827278450524472,0.0748906776433169,0.0285563634775484,0.0692745083546625,1,-0.000178607825120512,-0.000178607825120512
"44",2023,"Males","2023_Males",0.0116105881687925,NA,NA,0.432898915556802,0.166137019136384,0.400942757825234,0.166561106740541,0.833438893259459,0.0721041224819212,0.0276719657779307,0.0667850184806895,1,-0.0004538547672273,-0.0004538547672273
"45",2024,"Males","2024_Males",0.011345430566982,NA,NA,0.433064680212873,0.166248424620002,0.400670882510533,0.160660023491627,0.839339976508373,0.0695761816963939,0.0267094758048954,0.0643743659903373,1,-0.000630055458889558,-0.000630055458889558
"46",2025,"Males","2025_Males",0.0110952506226867,NA,NA,0.433869720693902,0.165826047087673,0.400293282017249,0.155043284609496,0.844956715390504,0.0672685865889871,0.0257102150142818,0.0620644830062269,1,-0.000753630711562118,-0.000753630711562118
"47",2026,"Males","2026_Males",0.0108602389968605,NA,NA,0.435166495399288,0.164985945655916,0.399841332869055,0.149728813920573,0.850271186079426,0.0651569632141077,0.0247031499566243,0.0598687007498406,1,-0.000841323861486299,-0.000841323861486299
"48",2027,"Males","2027_Males",0.0106399954855826,NA,NA,0.436817152761859,0.163844645870641,0.399336410299866,0.144728171676064,0.855271828323936,0.0632197478759677,0.02371293603577,0.0577954877643262,1,-0.000899252191029487,-0.000899252191029487
"49",2028,"Males","2028_Males",0.0104336352929748,NA,NA,0.438705780580117,0.162500303347912,0.398796263861378,0.140046544559917,0.859953455440083,0.0614392286487065,0.0227576059738134,0.0558497099373969,1,0,0
"50",1980,"Females","1980_Females",0.000675044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"51",1981,"Females","1981_Females",0.001215079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"52",1982,"Females","1982_Females",0.00183612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"53",1983,"Females","1983_Females",0.002084536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"54",1984,"Females","1984_Females",0.002729878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"55",1985,"Females","1985_Females",0.006105098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"56",1986,"Females","1986_Females",0.009480318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"57",1987,"Females","1987_Females",0.012855538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"58",1988,"Females","1988_Females",0.016230757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"59",1989,"Females","1989_Females",0.020281021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"60",1990,"Females","1990_Females",0.0371274189785894,0.73590782229729,0.199432032260602,0.935339854557892,0.0646601454421069,0,0.0994333471042989,0.900566652895701,0.0930039724187393,0.00642937468555946,0,0,0,0
