"","sim_id","HIV/TB_coinfection_Female","HIV/TB_coinfection_Male","TB_only_Female","TB_only_Male","total_mse","rank_total","rank_1","rank_2","rank_3","rank_4","b1_calib_id","b2_calib_id","m1_calib_id","m2_calib_id","m3_calib_id","m4_calib_id"
"1",1,283865.106044997,22622.1739647382,21756.6943776276,92095.8360073838,420339.810394747,2339,168,2904,2880,2884,6,6,"1-L","2-L","3-L","4-L"
"2",2,284704.326260159,22397.6252640188,21768.6990424244,92185.0547475808,421055.705314183,2341,162,2905,2883,2885,6,6,"1-L","2-L","3-L","4-M"
"3",3,285512.234485211,22199.4898282248,21780.2201004488,92271.0115456947,421762.95595958,2346,154,2906,2885,2887,6,6,"1-L","2-L","3-L","4-H"
"4",4,189042.325536976,17230.7154203532,22018.2628684688,93566.8644421448,321858.168267943,1972,44,2803,2890,2890,6,6,"1-L","2-L","3-M","4-L"
"5",5,189794.531128803,16537.1803123733,22030.0606390042,93655.0416431163,322016.813723297,1974,21,2804,2891,2892,6,6,"1-L","2-L","3-M","4-M"
"6",6,190521.164004359,15895.787556047,22041.3810385302,93739.9549872712,322198.287586207,1976,8,2806,2893,2894,6,6,"1-L","2-L","3-M","4-H"
"7",7,121103.586827484,30356.0011328872,22247.1279965102,94912.4567179362,268619.172674818,1612,274,2535,2899,2899,6,6,"1-L","2-L","3-H","4-L"
"8",8,121726.468924106,29200.8050051869,22258.5324312634,94998.2555525406,268184.061913097,1606,259,2543,2900,2900,6,6,"1-L","2-L","3-H","4-M"
"9",9,122331.289581032,28122.2853821505,22269.4752268379,95080.8574403559,267803.907630376,1603,247,2554,2901,2901,6,6,"1-L","2-L","3-H","4-H"
"10",10,213591.907542724,16376.878692722,22042.0563009353,93698.6953895887,345709.53792597,2082,17,2849,2892,2895,6,6,"1-L","2-M","3-L","4-L"
"11",11,214360.062944321,15899.492578109,22054.2274772951,93789.3954079684,346103.178407693,2084,9,2852,2894,2897,6,6,"1-L","2-M","3-L","4-M"
"12",12,215102.109955213,15462.7614936547,22065.9054546069,93876.735216259,346507.512119733,2087,1,2853,2895,2898,6,6,"1-L","2-M","3-L","4-H"
"13",13,137066.594287809,23294.6075612778,22296.0132606572,95199.9846108333,277857.199720577,1685,178,2633,2902,2902,6,6,"1-L","2-M","3-M","4-L"
"14",14,137711.607763578,22324.3557965835,22307.9414791115,95289.347662642,277633.252701915,1680,161,2637,2903,2903,6,6,"1-L","2-M","3-M","4-M"
"15",15,138337.958589758,21421.6583464302,22319.3843345065,95375.3618355276,277454.363106222,1679,143,2641,2904,2904,6,6,"1-L","2-M","3-M","4-H"
"16",16,82928.3884002373,45114.5822987947,22528.6902554518,96529.3897783701,247101.050732854,1369,448,2221,2908,2908,6,6,"1-L","2-M","3-H","4-L"
"17",17,83419.2162923834,43670.1091160624,22540.219428028,96616.2974388793,246245.842275353,1351,425,2230,2909,2909,6,6,"1-L","2-M","3-H","4-M"
"18",18,83900.0385998117,42318.3422050921,22551.2793425769,96699.9289484629,245469.589095944,1341,411,2241,2910,2910,6,6,"1-L","2-M","3-H","4-H"
"19",19,152545.822411819,18259.9568886269,22338.1880794751,95426.6954866225,288570.662866543,1770,79,2698,2905,2905,6,6,"1-L","2-H","3-L","4-L"
"20",20,153184.035719982,17501.9404459696,22350.3353845771,95517.6039264967,288553.915477025,1769,56,2701,2906,2906,6,6,"1-L","2-H","3-L","4-M"
"21",21,153804.3519067,16800.0516822666,22361.9889867613,95605.1110655118,288571.503641239,1771,30,2703,2907,2907,6,6,"1-L","2-H","3-L","4-H"
"22",22,92200.8930600314,35738.293262055,22591.6331820943,96883.6320401706,247414.451544351,1373,343,2290,2911,2911,6,6,"1-L","2-H","3-M","4-L"
"23",23,92687.5233337094,34476.7173379984,22603.548446227,96973.2293853102,246741.018503245,1362,328,2300,2912,2912,6,6,"1-L","2-H","3-M","4-M"
"24",24,93165.0447737637,33298.738986952,22614.977298216,97059.4370965569,246138.198155489,1349,319,2310,2913,2913,6,6,"1-L","2-H","3-M","4-H"
"25",25,53106.1154691839,64103.5159404741,22838.195705869,98256.369148816,238304.196264343,1229,644,1798,2914,2914,6,6,"1-L","2-H","3-H","4-L"
"26",26,53434.8127406334,62370.5378962097,22849.8707804932,98344.5023694051,236999.723786741,1203,624,1808,2915,2915,6,6,"1-L","2-H","3-H","4-M"
"27",27,53763.2405173588,60746.5668662228,22861.0676957639,98429.2724815094,235800.147560855,1180,611,1813,2916,2916,6,6,"1-L","2-H","3-H","4-H"
"28",28,300763.774851774,26144.0449284399,14391.0197130924,57028.201503644,398327.040996951,2277,223,2908,2126,2077,6,6,"1-M","2-L","3-L","4-L"
"29",29,301625.793618083,25978.5018380414,14401.6100964614,57097.0957014411,399103.001254027,2279,217,2909,2129,2078,6,6,"1-M","2-L","3-L","4-M"
"30",30,302455.407571277,25836.6504054063,14411.8438564908,57164.1798201905,399868.081653365,2282,214,2910,2133,2079,6,6,"1-M","2-L","3-L","4-H"
"31",31,205065.467138889,16945.6711375794,14684.6008282333,58545.3762811396,295241.115385842,1816,35,2830,2171,2110,6,6,"1-M","2-L","3-M","4-L"
"32",32,205849.301906825,16332.0979349573,14695.3037132596,58616.4276049992,295493.131160041,1817,14,2831,2173,2111,6,6,"1-M","2-L","3-M","4-M"
"33",33,206606.05107092,15767.0024973872,14705.6377320827,58685.4922094744,295764.183509865,1819,4,2832,2175,2112,6,6,"1-M","2-L","3-M","4-H"
"34",34,135496.028560998,26053.2453443462,14944.2133884094,59955.125293854,236448.612587608,1195,220,2613,2210,2143,6,6,"1-M","2-L","3-H","4-L"
"35",35,136159.206032394,24996.9865929096,14954.7721587439,60026.5042937235,236137.469077771,1189,202,2620,2213,2144,6,6,"1-M","2-L","3-H","4-M"
"36",36,136802.403617435,24012.8939339544,14964.9620065805,60095.8042631506,235876.063821121,1182,187,2630,2215,2145,6,6,"1-M","2-L","3-H","4-H"
"37",37,230002.352695789,17783.0221323198,14711.8529726639,58690.0651329049,321187.292933678,1968,63,2867,2176,2114,6,6,"1-M","2-M","3-L","4-L"
"38",38,230802.337247407,17378.5146409122,14722.914073312,58763.3359374876,321667.101899119,1971,53,2870,2177,2116,6,6,"1-M","2-M","3-L","4-M"
"39",39,231574.675731399,17011.2899737656,14733.5942665769,58834.5634528396,322154.123424581,1975,37,2873,2180,2119,6,6,"1-M","2-M","3-L","4-H"
"40",40,152022.475112547,20505.8013548719,14999.5136335673,60261.8139242882,247789.604025275,1380,130,2696,2220,2152,6,6,"1-M","2-M","3-M","4-L"
"41",41,152708.994204222,19630.4402761536,15010.6374633134,60336.8289288677,247686.900872556,1377,113,2699,2223,2154,6,6,"1-M","2-M","3-M","4-M"
"42",42,153374.849680822,18818.2571210327,15021.3701296299,60409.6394866315,247624.116418116,1376,96,2702,2226,2157,6,6,"1-M","2-M","3-M","4-H"
"43",43,95811.3307310351,37504.1932587442,15261.3109107254,61650.7035624173,210227.538462922,803,363,2349,2261,2189,6,6,"1-M","2-M","3-H","4-L"
"44",44,96356.013889744,36185.0286114999,15272.2794062779,61725.842156211,209539.164063733,796,345,2362,2265,2191,6,6,"1-M","2-M","3-H","4-M"
"45",45,96888.1067264611,34952.8291487581,15282.8575504811,61798.6975012299,208922.49092693,789,333,2370,2268,2193,6,6,"1-M","2-M","3-H","4-H"
"46",46,167886.349563006,17169.1181655632,15048.050828512,60508.9167585075,260612.435315589,1537,40,2755,2230,2161,6,6,"1-M","2-H","3-L","4-L"
