"calibration_group","max_mort_model","min_mort_model","mean_mort_model"
"HIV_neg_female",20.092006730864,16.592249650581,18.4684268372905
"HIV_neg_male",55.5158725261601,45.8427749027401,50.7109586030065
"HIV_pos_female",110.55398057371,73.0187605681899,90.3586042849725
"HIV_pos_male",132.12029154722,88.0524965498203,108.597153641612
