"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
4500,12954.9289590142,40338.0513267311,275626.983931333,78853.284759629,123155764.284681,73447011.8491383,11,6,8,35,1.5,14,22,60,20,0.0470114085528988,0.632825993596959,437,5589
4501,12970.8090144083,40309.5333119346,341709.245814262,79225.2215345231,124817913.580226,74879481.0580651,11,6,8,35,1.5,14,30,40,17,0.0508383801677634,0.653679188890244,499,5671
4502,12971.5731446601,40299.7420184611,331743.182856108,78242.1490891605,125193208.77472,74032304.8649988,11,6,8,35,1.5,14,30,40,20,0.0517024686466838,0.641346406801986,515,5633
4503,13558.4193089597,43170.8546029414,219701.441195572,66741.5025277256,134648774.460411,65351197.7566232,11,6,8,35,1.5,14,30,60,17,0.073473185379905,0.514971039872805,839,4905
4504,13559.5056370773,43166.4897221202,212226.514635832,66960.3215827593,135005968.611568,64638180.7761387,11,6,8,35,1.5,14,30,60,20,0.0742955975910926,0.504591282842907,851,4837
4505,8429.00995014758,24052.0357194721,460777.765488857,116655.562069911,112171763.134733,85755469.2570582,11,6,8,35,1.5,17,22,40,17,0.0217215860735568,0.812006575271538,111,6109
4506,8425.37664817507,23993.9438671247,448656.238351548,114454.717445272,112512422.781226,84794153.4233736,11,6,8,35,1.5,17,22,40,20,0.0225059288524833,0.798012203390155,120,6076
4507,8924.13530124252,25825.7218026488,307519.455231157,85302.2986988334,121677285.060128,74885335.2731591,11,6,8,35,1.5,17,22,60,17,0.0436073232275331,0.653764411727763,391,5673
4508,8921.31974011172,25778.6355816809,298236.880638455,84590.1683162332,122005396.014315,74072550.2598743,11,6,8,35,1.5,17,22,60,20,0.0443627736022763,0.641932279834204,401,5635
4509,8931.59645957065,25711.5232859509,365955.599558555,86503.4076322693,123713554.57203,75429215.8237941,11,6,8,35,1.5,17,30,40,17,0.0482956780240311,0.661681962253759,457,5699
4510,8928.70290450599,25662.4334929138,355842.815241553,85291.9385346763,124076668.88489,74592918.7292803,11,6,8,35,1.5,17,30,40,20,0.049131720954706,0.649507552830907,470,5656
4511,9444.58205864562,27686.1404517534,240325.809469041,69834.2789056216,132931660.597064,66187941.3523623,11,6,8,35,1.5,17,30,60,17,0.0695196620519265,0.527151949244969,788,4988
4512,9442.45614939593,27647.3800760889,232655.467389847,69811.3731041813,133276866.284547,65482003.3893065,11,6,8,35,1.5,17,30,60,20,0.0703144717425045,0.51687524513377,797,4916
4513,12308.3593339631,38223.2937133897,526665.141832535,153828.367729201,183628238.21939,42864724.7997274,11,6,8,45,1.2,14,22,40,17,0.186244654236118,0.187623820745759,1656,3064
4514,12308.7602324528,38210.7204795928,513811.694671109,150785.69081427,184121706.475515,42313542.9906366,11,6,8,45,1.2,14,22,40,20,0.187380827150362,0.179599982023468,1665,3018
4515,12831.6031397739,40689.5109304398,374628.396896934,116443.640688657,193916259.317579,40218211.4104424,11,6,8,45,1.2,14,22,60,17,0.209932035881938,0.149097156291729,1948,2814
4516,12832.2182797221,40681.2890483108,364369.957658514,114829.080415062,194377722.019457,39757229.5575259,11,6,8,45,1.2,14,22,60,20,0.210994518455638,0.142386404992069,1967,2755
4517,12916.7016298201,40974.8241414529,421657.868687568,114260.860436854,197784099.598985,39136961.6802556,11,6,8,45,1.2,14,30,40,17,0.218837442278009,0.13335684463694,2079,2673
4518,12917.6185262343,40968.2890150878,410791.536483382,112252.811141364,198285893.180706,38677199.342467,11,6,8,45,1.2,14,30,40,20,0.219992783617633,0.126663846449855,2096,2594
4519,13455.2405878693,43587.8026456129,296734.526434636,91656.9395896159,208134127.744213,37123875.9584714,11,6,8,45,1.2,14,30,60,17,0.242667590406704,0.104051314412009,2413,2326
4520,13456.3745352325,43585.2986289934,288154.669615763,90820.6514028245,208599655.074831,36745802.9443958,11,6,8,45,1.2,14,30,60,20,0.243739431477175,0.09854750996825,2422,2242
4521,8347.06978883184,24299.4269496015,552256.945678912,165446.556282822,183481116.288985,42677316.3111046,11,6,8,45,1.2,17,22,40,17,0.185905917244747,0.184895618430124,1650,3053
4522,8343.60073420137,24246.4701479468,539406.787522875,162257.819168683,183963237.404992,42142570.3178849,11,6,8,45,1.2,17,22,40,20,0.187015964236814,0.177111044381746,1662,3001
4523,8805.58440639279,25935.1969425875,399397.888660762,125753.596432134,192525402.134719,40429014.5357939,11,6,8,45,1.2,17,22,60,17,0.206729693605343,0.152165926436312,1907,2828
4524,8802.79992700963,25891.3322597505,389036.681938145,123951.597640332,192974251.266158,39972710.8332723,11,6,8,45,1.2,17,22,60,20,0.207763134397922,0.145523277391967,1918,2777
4525,8886.29728608504,26153.4694260677,449315.913462607,124607.37962164,196897943.884756,39387197.2440918,11,6,8,45,1.2,17,30,40,17,0.216797136528222,0.136999653187017,2049,2694
4526,8881.49879995465,26093.3872544107,438449.400253932,122349.804885451,197447897.844083,39028636.6595673,11,6,8,45,1.2,17,30,40,20,0.218063363453485,0.131779901274049,2069,2656
4527,9325.83508114389,27919.1578494398,320940.493704585,98688.3857889652,206282814.636753,37326848.2303858,11,6,8,45,1.2,17,30,60,17,0.238405083584081,0.107006086772193,2355,2362
4528,9323.81871328202,27883.8417669565,312207.297132863,97644.8345426958,206734723.535716,36954534.6695358,11,6,8,45,1.2,17,30,60,20,0.239445569257343,0.101586125668415,2367,2291
4529,12308.1210672846,38224.2330255849,526981.449010572,153965.043956627,184788042.987887,41647262.8699948,11,6,8,45,1.5,14,22,40,17,0.188915016001887,0.169900597639363,1686,2960
4530,12308.5125160169,38211.5989774991,514111.46330194,150901.248897081,185290896.948591,41112029.5391904,11,6,8,45,1.5,14,22,40,20,0.19007279878301,0.162108929165664,1698,2912
4531,12831.2541329674,40689.9423103869,374982.643332843,116495.143390831,195124034.165306,39122344.4425068,11,6,8,45,1.5,14,22,60,17,0.212712845085893,0.133144053945508,1991,2669
4532,12831.8607794574,40681.6654683174,364705.538255683,114858.652089474,195593926.559814,38676021.4386815,11,6,8,45,1.5,14,22,60,20,0.213794736382085,0.126646699095118,2007,2593
