"calibration_group","max_incidence","min_incidence","mean_incidence"
"HIV_neg_female",298.87171532707,186.89735040711,250.925477209335
"HIV_neg_male",361.97031016356,226.61074415943,303.881890049439
"HIV_pos_female",1053.4352383659,697.420336085201,904.69566484428
"HIV_pos_male",501.9241831365,324.90050948362,429.124493990453
