measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,KwaZulu-Natal,Female,30-34 years,Drug-susceptible tuberculosis,Number,1990,247.2596371,385.5455276,156.8955606
Deaths,KwaZulu-Natal,Male,35-39 years,Drug-susceptible tuberculosis,Number,1990,325.3526376,478.0683991,169.2708035
Deaths,KwaZulu-Natal,Female,35-39 years,Drug-susceptible tuberculosis,Number,1990,174.4348368,270.7839202,108.9560579
Deaths,KwaZulu-Natal,Male,40-44 years,Drug-susceptible tuberculosis,Number,1990,283.5708618,407.2511887,154.5426283
Deaths,KwaZulu-Natal,Female,40-44 years,Drug-susceptible tuberculosis,Number,1990,117.7648317,181.7038386,71.6559533
Deaths,KwaZulu-Natal,Male,45-49 years,Drug-susceptible tuberculosis,Number,1990,240.0076118,350.1122193,128.8321471
Deaths,KwaZulu-Natal,Female,45-49 years,Drug-susceptible tuberculosis,Number,1990,83.95529801,125.4574701,52.86949455
Deaths,KwaZulu-Natal,Male,50-54 years,Drug-susceptible tuberculosis,Number,1990,205.25089,299.6199276,105.0559287
Deaths,KwaZulu-Natal,Female,50-54 years,Drug-susceptible tuberculosis,Number,1990,66.56283259,107.2091262,39.92993634
Deaths,KwaZulu-Natal,Male,55-59 years,Drug-susceptible tuberculosis,Number,1990,186.7637359,286.3909019,91.81551363
Deaths,KwaZulu-Natal,Female,55-59 years,Drug-susceptible tuberculosis,Number,1990,59.71025756,93.68613049,36.22779696
Deaths,KwaZulu-Natal,Male,15-19 years,Drug-susceptible tuberculosis,Number,1995,33.43373312,54.80179665,15.77788501
Deaths,KwaZulu-Natal,Female,15-19 years,Drug-susceptible tuberculosis,Number,1995,26.75602915,50.75314306,0.862242981
Deaths,KwaZulu-Natal,Male,20-24 years,Drug-susceptible tuberculosis,Number,1995,115.5421124,177.520871,56.82198887
Deaths,KwaZulu-Natal,Female,20-24 years,Drug-susceptible tuberculosis,Number,1995,69.84898313,120.0924565,29.91816234
Deaths,KwaZulu-Natal,Male,25-29 years,Drug-susceptible tuberculosis,Number,1995,200.2036792,298.528369,107.7662934
Deaths,KwaZulu-Natal,Female,25-29 years,Drug-susceptible tuberculosis,Number,1995,125.0139514,209.9638601,64.20691302
Deaths,KwaZulu-Natal,Male,30-34 years,Drug-susceptible tuberculosis,Number,1995,273.9042247,388.894992,151.2949623
Deaths,KwaZulu-Natal,Female,30-34 years,Drug-susceptible tuberculosis,Number,1995,129.8976204,198.7404623,81.43953418
Deaths,KwaZulu-Natal,Male,35-39 years,Drug-susceptible tuberculosis,Number,1995,292.1882602,407.551564,165.3209182
Deaths,KwaZulu-Natal,Female,35-39 years,Drug-susceptible tuberculosis,Number,1995,99.56317613,155.3327176,60.14184236
Deaths,KwaZulu-Natal,Male,40-44 years,Drug-susceptible tuberculosis,Number,1995,304.8670884,415.2019566,177.8351257
Deaths,KwaZulu-Natal,Female,40-44 years,Drug-susceptible tuberculosis,Number,1995,67.18025211,103.1745116,41.08245275
Deaths,KwaZulu-Natal,Male,45-49 years,Drug-susceptible tuberculosis,Number,1995,302.663174,417.1824031,177.5384738
Deaths,KwaZulu-Natal,Female,45-49 years,Drug-susceptible tuberculosis,Number,1995,57.61928519,85.39305317,37.09977034
Deaths,KwaZulu-Natal,Male,50-54 years,Drug-susceptible tuberculosis,Number,1995,251.3760579,350.4049061,142.518951
Deaths,KwaZulu-Natal,Female,50-54 years,Drug-susceptible tuberculosis,Number,1995,46.67408821,72.62802312,29.70475816
Deaths,KwaZulu-Natal,Male,55-59 years,Drug-susceptible tuberculosis,Number,1995,245.5439298,329.8374635,142.0660347
Deaths,KwaZulu-Natal,Female,55-59 years,Drug-susceptible tuberculosis,Number,1995,58.55064976,86.03493367,39.95334578
Deaths,KwaZulu-Natal,Male,15-19 years,Drug-susceptible tuberculosis,Number,1993,26.94233648,46.65348092,11.51526351
Deaths,KwaZulu-Natal,Female,15-19 years,Drug-susceptible tuberculosis,Number,1993,45.05237078,67.95459685,25.68183174
Deaths,KwaZulu-Natal,Male,20-24 years,Drug-susceptible tuberculosis,Number,1993,88.64222968,153.0590119,38.86795687
Deaths,KwaZulu-Natal,Female,20-24 years,Drug-susceptible tuberculosis,Number,1993,103.1602533,159.4899803,61.19121034
Deaths,KwaZulu-Natal,Male,25-29 years,Drug-susceptible tuberculosis,Number,1993,177.0822877,270.124277,86.9051619
Deaths,KwaZulu-Natal,Female,25-29 years,Drug-susceptible tuberculosis,Number,1993,168.8128493,256.7666254,107.8742439
Deaths,KwaZulu-Natal,Male,30-34 years,Drug-susceptible tuberculosis,Number,1993,268.3805915,387.198867,146.5883762
Deaths,KwaZulu-Natal,Female,30-34 years,Drug-susceptible tuberculosis,Number,1993,167.9001462,255.9925708,107.7637418
Deaths,KwaZulu-Natal,Male,35-39 years,Drug-susceptible tuberculosis,Number,1993,296.9388582,425.9601115,161.4348684
Deaths,KwaZulu-Natal,Female,35-39 years,Drug-susceptible tuberculosis,Number,1993,123.4210009,184.1466946,77.90492868
Deaths,KwaZulu-Natal,Male,40-44 years,Drug-susceptible tuberculosis,Number,1993,287.6724761,401.358044,160.9201579
Deaths,KwaZulu-Natal,Female,40-44 years,Drug-susceptible tuberculosis,Number,1993,81.54678159,122.86592,51.777192
Deaths,KwaZulu-Natal,Male,45-49 years,Drug-susceptible tuberculosis,Number,1993,252.689677,365.0066067,140.7295783
Deaths,KwaZulu-Natal,Female,45-49 years,Drug-susceptible tuberculosis,Number,1993,63.60471787,93.95030611,41.12838073
Deaths,KwaZulu-Natal,Male,50-54 years,Drug-susceptible tuberculosis,Number,1993,217.436905,312.1193632,115.3114575
Deaths,KwaZulu-Natal,Female,50-54 years,Drug-susceptible tuberculosis,Number,1993,51.33849047,80.40116254,32.14057417
Deaths,KwaZulu-Natal,Male,55-59 years,Drug-susceptible tuberculosis,Number,1993,195.3085935,282.8226907,106.267178
Deaths,KwaZulu-Natal,Female,55-59 years,Drug-susceptible tuberculosis,Number,1993,51.68104146,78.33617159,32.27836571
Deaths,KwaZulu-Natal,Male,15-19 years,Drug-susceptible tuberculosis,Number,1994,29.31332836,49.54983315,13.31132606
Deaths,KwaZulu-Natal,Female,15-19 years,Drug-susceptible tuberculosis,Number,1994,35.90548986,59.80050672,13.03294693
Deaths,KwaZulu-Natal,Male,20-24 years,Drug-susceptible tuberculosis,Number,1994,101.2455247,166.2827517,46.84500728
Deaths,KwaZulu-Natal,Female,20-24 years,Drug-susceptible tuberculosis,Number,1994,89.959227,142.6695258,48.88689622
Deaths,KwaZulu-Natal,Male,25-29 years,Drug-susceptible tuberculosis,Number,1994,189.410713,287.421081,96.50265154
Deaths,KwaZulu-Natal,Female,25-29 years,Drug-susceptible tuberculosis,Number,1994,149.5267544,230.8493617,88.5980348
Deaths,KwaZulu-Natal,Male,30-34 years,Drug-susceptible tuberculosis,Number,1994,271.4248248,391.6251493,148.1087338
Deaths,KwaZulu-Natal,Female,30-34 years,Drug-susceptible tuberculosis,Number,1994,152.1265494,226.2378201,98.62023517
Deaths,KwaZulu-Natal,Male,35-39 years,Drug-susceptible tuberculosis,Number,1994,294.8492867,411.865642,164.2195046
Deaths,KwaZulu-Natal,Female,35-39 years,Drug-susceptible tuberculosis,Number,1994,112.7277008,172.8414886,72.29399761
Deaths,KwaZulu-Natal,Male,40-44 years,Drug-susceptible tuberculosis,Number,1994,295.5962785,410.3074711,164.6851106
Deaths,KwaZulu-Natal,Female,40-44 years,Drug-susceptible tuberculosis,Number,1994,75.62416115,112.1512272,47.99169836
Deaths,KwaZulu-Natal,Male,45-49 years,Drug-susceptible tuberculosis,Number,1994,274.7759987,384.9842418,157.3355765
Deaths,KwaZulu-Natal,Female,45-49 years,Drug-susceptible tuberculosis,Number,1994,62.22294156,91.47491183,40.42903223
Deaths,KwaZulu-Natal,Male,50-54 years,Drug-susceptible tuberculosis,Number,1994,233.1676392,334.0916625,131.9007331
Deaths,KwaZulu-Natal,Female,50-54 years,Drug-susceptible tuberculosis,Number,1994,49.51747077,79.36333145,31.8912882
Deaths,KwaZulu-Natal,Male,55-59 years,Drug-susceptible tuberculosis,Number,1994,218.0217102,301.0262959,121.1105349
Deaths,KwaZulu-Natal,Female,55-59 years,Drug-susceptible tuberculosis,Number,1994,55.3657838,83.13365391,36.44082318
Deaths,KwaZulu-Natal,Male,15-19 years,Drug-susceptible tuberculosis,Number,1996,36.22038581,55.70968969,18.26313639
Deaths,KwaZulu-Natal,Female,15-19 years,Drug-susceptible tuberculosis,Number,1996,16.66210827,39.41774516,0.465277174
