measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,KwaZulu-Natal,Female,40-44 years,All causes,Rate,1992,565.0692552,665.5062764,477.7837182
Deaths,KwaZulu-Natal,Male,45-49 years,All causes,Number,1992,1771.502936,2052.301191,1510.798287
Deaths,KwaZulu-Natal,Female,45-49 years,All causes,Number,1992,922.7056582,1080.454661,781.7857628
Deaths,KwaZulu-Natal,Male,45-49 years,All causes,Rate,1992,1318.510383,1527.505473,1124.470746
Deaths,KwaZulu-Natal,Female,45-49 years,All causes,Rate,1992,574.4066679,672.609251,486.6806126
Deaths,KwaZulu-Natal,Male,50-54 years,All causes,Number,1992,1640.964688,1906.152637,1395.207051
Deaths,KwaZulu-Natal,Female,50-54 years,All causes,Number,1992,905.3801299,1052.615099,771.8777043
Deaths,KwaZulu-Natal,Male,50-54 years,All causes,Rate,1992,1484.514015,1724.418767,1262.187075
Deaths,KwaZulu-Natal,Female,50-54 years,All causes,Rate,1992,649.6176068,755.2598943,553.8285307
Deaths,KwaZulu-Natal,Male,55-59 years,All causes,Number,1992,1471.398733,1712.525713,1245.146465
Deaths,KwaZulu-Natal,Female,55-59 years,All causes,Number,1992,951.6930849,1095.057363,817.8286509
Deaths,KwaZulu-Natal,Male,55-59 years,All causes,Rate,1992,1816.480766,2114.158418,1537.166339
Deaths,KwaZulu-Natal,Female,55-59 years,All causes,Rate,1992,838.7581813,965.1097996,720.7790859
Deaths,KwaZulu-Natal,Male,15-19 years,All causes,Number,1993,749.3317885,826.0986365,668.2453905
Deaths,KwaZulu-Natal,Female,15-19 years,All causes,Number,1993,618.1966052,800.488927,508.5550698
Deaths,KwaZulu-Natal,Male,15-19 years,All causes,Rate,1993,166.9369847,184.03919,148.8724651
Deaths,KwaZulu-Natal,Female,15-19 years,All causes,Rate,1993,129.0503418,167.1043949,106.162352
Deaths,KwaZulu-Natal,Male,20-24 years,All causes,Number,1993,1713.02543,1894.759893,1532.88728
Deaths,KwaZulu-Natal,Female,20-24 years,All causes,Number,1993,1288.254301,1633.377837,1037.334792
Deaths,KwaZulu-Natal,Male,20-24 years,All causes,Rate,1993,445.5350488,492.8017568,398.6835205
Deaths,KwaZulu-Natal,Female,20-24 years,All causes,Rate,1993,295.3726197,374.5029924,237.8414688
Deaths,KwaZulu-Natal,Male,25-29 years,All causes,Number,1993,2977.475533,3251.830021,2705.945764
