measure,location,sex_id,age_id,cause,metric,year,val,upper,lower
1,485,1,14,294,3,1993,1478.189344,1688.6663,1266.355026
1,485,2,14,294,3,1993,543.5115911,645.7510567,458.6267467
1,485,1,15,294,3,1993,1641.83531,1877.732668,1402.943353
1,485,2,15,294,3,1993,613.4728041,713.1138944,524.5367199
1,485,1,16,294,3,1993,2111.711629,2406.698839,1803.692866
1,485,2,16,294,3,1993,842.2217654,960.6841222,730.8545576
1,485,1,8,294,3,1995,187.4919157,205.953979,170.4833049
1,485,2,8,294,3,1995,148.7173845,224.012837,110.2818306
1,485,1,9,294,3,1995,514.3506011,567.5442432,469.5205551
1,485,2,9,294,3,1995,365.2779571,519.3612142,270.4083303
1,485,1,10,294,3,1995,1017.449951,1147.714041,929.0909522
1,485,2,10,294,3,1995,590.0637236,821.6405515,453.0104606
1,485,1,11,294,3,1995,1405.497734,1613.026924,1263.818172
1,485,2,11,294,3,1995,656.0352881,874.078535,526.7674685
1,485,1,12,294,3,1995,1489.87234,1811.70858,1311.523355
1,485,2,12,294,3,1995,609.5218645,825.870191,492.548567
1,485,1,13,294,3,1995,1553.574894,1815.638352,1370.238658
1,485,2,13,294,3,1995,578.5282372,781.9586903,466.8199559
1,485,1,14,294,3,1995,1775.390762,2021.869913,1565.900617
1,485,2,14,294,3,1995,654.5432009,835.8505003,538.0084816
1,485,1,15,294,3,1995,1994.571832,2250.973361,1769.100883
1,485,2,15,294,3,1995,734.7286887,903.7089349,621.0302936
1,485,1,16,294,3,1995,2621.592327,2916.289806,2342.598008
1,485,2,16,294,3,1995,1027.088209,1166.456216,911.2749182
1,485,1,8,294,3,1996,192.9778557,210.3260366,177.8020701
1,485,2,8,294,3,1996,156.8450749,246.2594544,109.8368215
1,485,1,9,294,3,1996,542.4813711,600.6843024,498.3890314
1,485,2,9,294,3,1996,408.1194314,614.1939075,284.3987368
1,485,1,10,294,3,1996,973.5556042,1130.153842,877.430321
1,485,2,10,294,3,1996,628.7475067,935.8238247,455.5874345
1,485,1,11,294,3,1996,1272.355014,1539.305267,1105.709497
1,485,2,11,294,3,1996,650.7335583,939.234971,486.8295022
1,485,1,12,294,3,1996,1369.169492,1786.794898,1155.052749
1,485,2,12,294,3,1996,635.7237774,924.0838864,487.6007656
1,485,1,13,294,3,1996,1541.494223,1886.922525,1338.045139
1,485,2,13,294,3,1996,620.1457259,889.893716,478.2437793
1,485,1,14,294,3,1996,1870.041458,2150.698791,1652.537163
1,485,2,14,294,3,1996,762.1339926,1016.526131,614.1163162
1,485,1,15,294,3,1996,2031.11974,2285.983375,1819.462679
1,485,2,15,294,3,1996,855.3643169,1077.009024,712.1796365
1,485,1,16,294,3,1996,2855.559293,3129.766095,2595.741766
1,485,2,16,294,3,1996,1275.73204,1455.638026,1145.398023
