"sex_id","year","expected_total_pop"
1,1990,20.0255834251921
1,1991,20.5492849295109
1,1992,21.0734972551646
1,1993,21.6031460458838
1,1994,22.1391483054017
1,1995,22.6862082455198
1,1996,23.2652689877001
1,1997,23.855110964875
1,1998,24.4274929683661
1,1999,24.995283462401
1,2000,25.5619786840764
1,2001,26.1077844405983
1,2002,26.6116208235734
1,2003,27.0654694557644
1,2004,27.4709246042431
1,2005,27.8354201091017
1,2006,28.1427312168087
1,2007,28.4206080481679
1,2008,28.6674541924643
1,2009,28.8889903833888
1,2010,29.0979968631573
1,2011,29.3148891619202
1,2012,29.5468464946866
1,2013,29.794012958681
1,2014,30.0564610201661
1,2015,30.3267812519054
1,2016,30.596091700901
1,2017,30.8644347441491
1,2018,31.1410348959381
2,1990,23.1626229917295
2,1991,23.754072088954
2,1992,24.3527417164779
2,1993,24.9552246109348
2,1994,25.5706719798119
2,1995,26.1961716503775
2,1996,26.8537229068941
2,1997,27.5433935626788
2,1998,28.2290993371921
2,1999,28.9041651627475
2,2000,29.5504384566065
2,2001,30.1381721652636
2,2002,30.6563528282594
2,2003,31.0917254138735
2,2004,31.4511368862534
2,2005,31.7525685423232
2,2006,31.959378089866
2,2007,32.1392248304609
2,2008,32.2975941406099
2,2009,32.4482040471053
2,2010,32.5991576372722
2,2011,32.7278515250588
2,2012,32.8605744234571
2,2013,32.9995517003045
2,2014,33.1427664008267
2,2015,33.2854724108065
2,2016,33.4277872076498
2,2017,33.5818277398291
2,2018,33.7557100808686
