F15Regions,DName2016,CName2016,SName2016,scode,SC,Sname,scode17,DNama2017,BCOUNTIES
BUKEDI,PALLISA,PALLISA,KASODO,"210202",PALLISAPALLISAKASODO,KASODO,"210202",PALLISA,
BUKEDI,PALLISA,BUTEBO,KANGINIMA,"210104",PALLISABUTEBOKANGINIMA,KANGINIMA,"233104",BUTEBO,
TESO,BUKEDEA,BUKEDEA,KIDONGOLE,"219104",BUKEDEABUKEDEAKIDONGOLE,KIDONGOLE,"219104",BUKEDEA,
TESO,NGORA,NGORA,KOBWIN,"231102",NGORANGORAKOBWIN,KOBWIN,"231102",NGORA,
TESO,BUKEDEA,BUKEDEA,KOLIR,"219105",BUKEDEABUKEDEAKOLIR,KOLIR,"219105",BUKEDEA,
TESO,KUMI,KUMI,ATUTUR,"208101",KUMIKUMIATUTUR,ATUTUR,"208101",KUMI,
TESO,NGORA,NGORA,NGORA,"231104",NGORANGORANGORA,NGORA,"231104",NGORA,
TESO,KUMI,KUMI,KANYUM,"208102",KUMIKUMIKANYUM,KANYUM,"208102",KUMI,
TESO,KUMI,KUMI MUNICIPALITY,SOUTHERN DIVISION,"208202",KUMIKUMI MUNICIPALITYSOUTHERN DIVISION,SOUTHERN DIVISION,"208202",KUMI,
TESO,KUMI,KUMI,NYERO,"208106",KUMIKUMINYERO,NYERO,"208106",KUMI,
TESO,KUMI,KUMI,MUKONGORO,"208105",KUMIKUMIMUKONGORO,MUKONGORO,"208105",KUMI,
TESO,NGORA,NGORA,MUKURA,"231103",NGORANGORAMUKURA,MUKURA,"231103",NGORA,
TESO,NGORA,NGORA,KAPIR,"231101",NGORANGORAKAPIR,KAPIR,"231101",NGORA,
TESO,BUKEDEA,BUKEDEA,KACHUMBALA,"219103",BUKEDEABUKEDEAKACHUMBALA,KACHUMBALA,"219103",BUKEDEA,
TESO,BUKEDEA,BUKEDEA,BUKEDEA,"219101",BUKEDEABUKEDEABUKEDEA,BUKEDEA,"219101",BUKEDEA,
TESO,NGORA,NGORA,NGORA TOWN COUNCIL,"231105",NGORANGORANGORA TOWN COUNCIL,NGORA TOWN COUNCIL,"231105",NGORA,
TESO,BUKEDEA,BUKEDEA,BUKEDEA TOWN COUNCIL,"219102",BUKEDEABUKEDEABUKEDEA TOWN COUNCIL,BUKEDEA TOWN COUNCIL,"219102",BUKEDEA,
ELGON,BUDUDA,MANJIYA,BUKIGAI,"218106",BUDUDAMANJIYABUKIGAI,BUKIGAI,"218106",BUDUDA,
ELGON,KWEEN,KWEEN,KWANYIY,"228109",KWEENKWEENKWANYINY,KWANYIY,"228109",KWEEN,
ELGON,BUDUDA,MANJIYA,BUMASHETI,"218108",BUDUDAMANJIYABUMASHETI,BUMASHETI,"218108",BUDUDA,
ELGON,KWEEN,KWEEN,KAPTUM,"228106",KWEENKWEENKAPTUM,KAPTUM,"228106",KWEEN,
ELGON,KWEEN,KWEEN,KAPTOYOY,"228105",KWEENKWEENKAPTOYOY,KAPTOYOY,"228105",KWEEN,
ELGON,BUDUDA,MANJIYA,BUMAYOKA,"218109",BUDUDAMANJIYABUMAYOKA,BUMAYOKA,"218109",BUDUDA,
ELGON,BUDUDA,MANJIYA,BUSHIKA,"218110",BUDUDAMANJIYABUSHIKA,BUSHIKA,"218110",BUDUDA,
ELGON,BUKWO,KONGASIS,RIWO,"220109",BUKWOKONGASISRIWO,RIWO,"220109",BUKWO,
ELGON,BUDUDA,MANJIYA,BUDUDA,"218103",BUDUDAMANJIYABUDUDA,BUDUDA,"218103",BUDUDA,
ELGON,BUKWO,KONGASIS,KAPTERERWO,"220107",BUKWOKONGASISKAPTERERWO,KAPTERERWO,"220107",BUKWO,
ELGON,BUKWO,KONGASIS,KAMET,"220106",BUKWOKONGASISKAMET,KAMET,"220106",BUKWO,
ELGON,BUDUDA,MANJIYA,NAKATSI,"218115",BUDUDAMANJIYANAKATSI,NAKATSI,"218115",BUDUDA,
ELGON,BUDUDA,MANJIYA,BUWALI,"218113",BUDUDAMANJIYABUWAALI,BUWALI,"218113",BUDUDA,
ELGON,BUDUDA,MANJIYA,BUKALASI,"218104",BUDUDAMANJIYABUKALASI,BUKALASI,"218104",BUDUDA,
ELGON,BUDUDA,MANJIYA,BUBIITA,"218101",BUDUDAMANJIYABUBIITA,BUBIITA,"218101",BUDUDA,
ELGON,BUDUDA,MANJIYA,BULUCHEKE,"218107",BUDUDAMANJIYABULUCHEKE,BULUCHEKE,"218107",BUDUDA,
ELGON,BUDUDA,MANJIYA,BUSHIYI,"218112",BUDUDAMANJIYABUSHIYI,BUSHIYI,"218112",BUDUDA,
ELGON,BUDUDA,MANJIYA,NABWEYA,"218114",BUDUDAMANJIYANABWEYA,NABWEYA,"218114",BUDUDA,
ELGON,BUDUDA,MANJIYA,BUSHIRIBO,"218111",BUDUDAMANJIYABUSHIRIBO,BUSHIRIBO,"218111",BUDUDA,
ELGON,KWEEN,KWEEN,BINYINY,"228102",KWEENKWEENBINYINY,BINYINY,"228102",KWEEN,
ELGON,KWEEN,KWEEN,BINYINY TOWN COUNCIL,"228103",KWEENKWEENBINYINY TOWN COUNCIL,BINYINY TOWN COUNCIL,"228103",KWEEN,
ELGON,KWEEN,KWEEN,KITAWOI,"228108",KWEENKWEENKITAWOI,KITAWOI,"228108",KWEEN,
ELGON,KWEEN,KWEEN,KAPRORON,"228104",KWEENKWEENKAPRORON,KAPRORON,"228104",KWEEN,
ELGON,BUKWO,KONGASIS,SUAM,"220111",BUKWOKONGASISSUAM,SUAM,"220111",BUKWO,
ELGON,BUKWO,KONGASIS,BUKWO,"220101",BUKWOKONGASISBUKWO,BUKWO,"220101",BUKWO,
ELGON,BUKWO,KONGASIS,KORTEK,"220108",BUKWOKONGASISKORTEK,KORTEK,"220108",BUKWO,
ELGON,BUKWO,KONGASIS,BUKWO TOWN COUNCIL,"220102",BUKWOKONGASISBUKWO TOWN COUNCIL,BUKWO TOWN COUNCIL,"220102",BUKWO,
ELGON,BUKWO,KONGASIS,SENENDET,"220110",BUKWOKONGASISSENENDET,SENENDET,"220110",BUKWO,
ELGON,KWEEN,KWEEN,KIRIKI,"228107",KWEENKWEENKIRIKI,KIRIKI,"228107",KWEEN,
ELGON,BUDUDA,MANJIYA,NALWANZA,"218116",BUDUDAMANJIYANALWANZA,NALWANZA,"218116",BUDUDA,
ELGON,KWEEN,KWEEN,BENET,"228101",KWEENKWEENBENET,BENET,"228101",KWEEN,
ELGON,KWEEN,KWEEN,KWOSIR,"228110",KWEENKWEENKWOSIR,KWOSIR,"228110",KWEEN,
ELGON,BUKWO,KONGASIS,KABEI,"220105",BUKWOKONGASISKABEI,KABEI,"220105",BUKWO,
ELGON,BUKWO,KONGASIS,CHESOWER,"220104",BUKWOKONGASISCHESOWER,CHESOWER,"220104",BUKWO,
ELGON,BUKWO,KONGASIS,CHEPKWASTA,"220103",BUKWOKONGASISCHEPKWASTA,CHEPKWASTA,"220103",BUKWO,
ELGON,KWEEN,KWEEN,MOYOK,"228111",KWEENKWEENMOYOK,MOYOK,"228111",KWEEN,
ELGON,BUKWO,KONGASIS,TULEL,"220112",BUKWOKONGASISTULEL,TULEL,"220112",BUKWO,
BUSOGA,IGANGA,BUGWERI,MAKUUTU,"203105",IGANGABUGWERIMAKUUTU,MAKUUTU,"203105",IGANGA,
BUSOGA,BUGIRI,BUKOOLI NORTH,NABUKALU,"201210",BUGIRIBUKOOLINABUKALU,NABUKALU,"201210",BUGIRI,
ELGON,BUDUDA,MANJIYA,BUKIBOKOLO,"218105",BUDUDAMANJIYABUKIBOKOLO,BUKIBOKOLO,"218105",BUDUDA,
ELGON,BUDUDA,MANJIYA,BUDUDA TOWN COUNCIL,"218102",BUDUDAMANJIYABUDUDA TOWN COUNCIL,BUDUDA TOWN COUNCIL,"218102",BUDUDA,
BUKEDI,BUTALEJA,BUNYOLE,HIMUTU,"221108",BUTALEJABUNYOLEHIMUTU,HIMUTU,"221108",BUTALEJA,
BUSOGA,MAYUGE,BUNYA,MAGAMAGA TOWN COUNCIL,"214114",MAYUGEBUNYAMAGAMAGA TOWN COUNCIL,MAGAMAGA TOWN COUNCIL,"214114",MAYUGE,
ELGON,MANAFWA,BUBULO,BUNYINZA TOWN COUNCIL,"223131",MANAFWABUBULOBUNYINZA TOWN COUNCIL,BUNYINZA TOWN COUNCIL,"223131",MANAFWA,
TESO,KUMI,KUMI MUNICIPALITY,NORTHERN DIVISON,"208201",KUMIKUMI MUNICIPALITYNORTHERN DIVISION,NORTHERN DIVISON,"208201",KUMI,
BUSOGA,KALIRO,BULAMOGI,BUDOMERO,"222101",KALIROBULAMOGIBUDOMERO,BUDOMERO,"222101",KALIRO,
BUSOGA,KALIRO,BULAMOGI,NANSOLOLO,"222111",KALIROBULAMOGINANSOLOLO,NANSOLOLO,"222111",KALIRO,
BUSOGA,KALIRO,BULAMOGI,NAWAIKOKE,"222112",KALIROBULAMOGINAWAIKOKE,NAWAIKOKE,"222112",KALIRO,
BUSOGA,KALIRO,BULAMOGI,KISINDA,"222108",KALIROBULAMOGIKISINDA,KISINDA,"222108",KALIRO,
BUSOGA,KALIRO,BULAMOGI,KASOKWE,"222107",KALIROBULAMOGIKASOKWE,KASOKWE,"222107",KALIRO,
BUSOGA,KALIRO,BULAMOGI,NAMWIWA,"222110",KALIROBULAMOGINAMWIWA,NAMWIWA,"222110",KALIRO,
ELGON,MANAFWA,BUBULO,KAATO,"223118",MANAFWABUBULOKAATO,KAATO,"223118",MANAFWA,
ELGON,MANAFWA,BUBULO,BUKUSU,"223108",MANAFWABUBULOBUKUSU,BUKUSU,"223108",MANAFWA,
ELGON,MANAFWA,BUBULO,BUNABWANA,"223111",MANAFWABUBULOBUNABWANA,BUNABWANA,"223111",MANAFWA,
BUSOGA,BUGIRI,BUGIRI MUNICIPALITY,WESTERN DIVISION,"201102",BUGIRIBUGIRI MUNICIPALITYWESTERN DIVISION,WESTERN DIVISION,"201102",BUGIRI,
BUSOGA,NAMAYINGO,BUKOOLI,BUKANA,"230102",NAMAYINGOBUKOOLIBUKANA,BUKANA,"230102",NAMAYINGO,
BUSOGA,NAMUTUMBA,BUSIKI,NABWEYO,"224109",NAMUTUMBABUSIKINABWEYO,NABWEYO,"224109",NAMUTUMBA,
BUSOGA,NAMUTUMBA,BUSIKI,IVUKULA,"224108",NAMUTUMBABUSIKIIVUKULA,IVUKULA,"224102",NAMUTUMBA,
ELGON,KAPCHORWA,TINGEY,KASEREM,"206108",KAPCHORWATINGEYKASEREM,KASEREM,"206108",KAPCHORWA,
ELGON,KAPCHORWA,TINGEY,KAPSINDA,"206106",KAPCHORWATINGEYKAPSINDA,KAPSINDA,"206106",KAPCHORWA,
ELGON,KAPCHORWA,TINGEY,KAPTANYA,"206107",KAPCHORWATINGEYKAPTANYA,KAPTANYA,"206107",KAPCHORWA,
ELGON,KAPCHORWA,KAPCHORWA MUNICIPALITY,CENTRAL DIVISION,"206201",KAPCHORWAKAPCHORWA MUNICIPALITYCENTRAL DIVISION,CENTRAL DIVISION,"206201",KAPCHORWA,
ELGON,KAPCHORWA,TINGEY,KAWOWO,"206109",KAPCHORWATINGEYKAWOWO,KAWOWO,"206109",KAPCHORWA,
ELGON,KAPCHORWA,TINGEY,AMUKOL,"206101",KAPCHORWATINGEYAMUKOL,AMUKOL,"206101",KAPCHORWA,
ELGON,KAPCHORWA,TINGEY,CHEPTERECH,"206103",KAPCHORWATINGEYCHEPTARECH,CHEPTERECH,"206103",KAPCHORWA,
ELGON,KAPCHORWA,TINGEY,GAMOGO,"206104",KAPCHORWATINGEYGOMOGO,GAMOGO,"206104",KAPCHORWA,
ELGON,KAPCHORWA,TINGEY,KABEYWA,"206105",KAPCHORWATINGEYKABEYWA,KABEYWA,"206105",KAPCHORWA,
ELGON,KAPCHORWA,KAPCHORWA MUNICIPALITY,WESTERN DIVISION,"206203",KAPCHORWAKAPCHORWA MUNICIPALITYWEST DIVISION,WESTERN DIVISION,"206203",KAPCHORWA,
ELGON,KAPCHORWA,KAPCHORWA MUNICIPALITY,EASTERN DIVISION,"206202",KAPCHORWAKAPCHORWA MUNICIPALITYEAST DIVISION,EASTERN DIVISION,"206202",KAPCHORWA,
ELGON,KAPCHORWA,TINGEY,SIPI,"206111",KAPCHORWATINGEYSIPI,SIPI,"206111",KAPCHORWA,
