F15Regions,DName2016,CName2016,SName2016,scode,SC,Sname,scode17,DNama2017,BCOUNTIES
ELGON,BULAMBULI,BULAMBULI,BUNAMBUTYE,"225110",BULAMBULIBULAMBULIBUNAMBUTYE,BUNAMBUTYE,"225110",BULAMBULI,
ELGON,KWEEN,KWEEN,NGENGE,"228112",KWEENKWEENNGENGE,NGENGE,"228112",KWEEN,
TESO,KUMI,KUMI,ONGINO,"208107",KUMIKUMIONGINO,ONGINO,"208107",KUMI,
TESO,BUKEDEA,BUKEDEA,MALERA,"219106",BUKEDEABUKEDEAMALERA,MALERA,"219106",BUKEDEA,
TESO,KUMI,KUMI,KUMI,"208103",KUMIKUMIKUMI,KUMI,"208103",KUMI,
TESO,KATAKWI,TOROMA,KAPUJAN,"207101",KATAKWITOROMAKAPUJAN,KAPUJAN,"207101",KATAKWI,
GREATER KAMPALA,KAMPALA,KCCA,KAWEMPE DIVISION,"102102",KAMPALAKCCAKAWEMPE DIVISION,KAWEMPE DIVISION,"102102",KAMPALA,KYADONDO
GREATER KAMPALA,KAMPALA,KCCA,NAKAWA DIVISION,"102105",KAMPALAKCCANAKAWA DIVISION,NAKAWA DIVISION,"102105",KAMPALA,KYADONDO
GREATER KAMPALA,KAMPALA,KCCA,MAKINDYE DIVISION,"102104",KAMPALAKCCAMAKINDYE DIVISION,MAKINDYE DIVISION,"102104",KAMPALA,KYADONDO
GREATER KAMPALA,KAMPALA,KCCA,RUBAGA DIVISION,"102103",KAMPALAKCCALUBAGA DIVISION,RUBAGA DIVISION,"102103",KAMPALA,KYADONDO
GREATER KAMPALA,KAMPALA,KCCA,CENTRAL DIVISION,"102101",KAMPALAKCCACENTRAL DIVISION,CENTRAL DIVISION,"102101",KAMPALA,KYADONDO
ELGON,BULAMBULI,BULAMBULI,SIMU,"225106",BULAMBULIBULAMBULISISIYI,SIMU,"225106",BULAMBULI,
LANGO,APAC,APAC MUNICIPALITY,ATIK DIVISION,"302301",APACMARUZIAPAC,ATIK DIVISION,"302301",APAC,
LANGO,APAC,APAC MUNICIPALITY,AROCHA DIVISION,"302304",APACMARUZIAPAC,AROCHA DIVISION,"302304",APAC,
LANGO,APAC,MARUZI,APAC,"302302",APACMARUZIAPAC,APAC,"302302",APAC,
LANGO,APAC,APAC MUNICIPALITY,AKERE DIVISION,"302302",APACMARUZIAPAC,AKERE DIVISION,"302302",APAC,
LANGO,APAC,APAC MUNICIPALITY,AGULU DIVISION,"302303",APACMARUZIAPAC,AGULU DIVISION,"302303",APAC,
TORO,NTOROKO,NTOROKO,KIBUUKU TOWN COUNCIL,"424107",NTOROKONTOROKOKIBUUKU TC,KIBUUKU TOWN COUNCIL,"424107",NTOROKO,
BUNYORO,KAKUMIRO,BUGANGAIZI,KISIITA,"428106",KAKUMIROBUGANGAIZIKATIKARA,KATIKARA,"428113",KAKUMIRO,
BUNYORO,KAKUMIRO,BUGANGAIZI,KISIITA,"428106",KAKUMIROBUGANGAIZIKISIITA TOWN COUNCIL,KISIITA T.C,"428114",KAKUMIRO,
BUNYORO,KAKUMIRO,BUGANGAIZI,KIKWAYA,"428111",KAKUMIROBUGANGAIZIKIKWAYA,KIKWAYA,"428111",KAKUMIRO,
BUNYORO,HOIMA,BUHAGUZI,BUHIMBA,"403202",HOIMABUHAGUZIBUHIMBA,BUHIMBA T.C,"403202",HOIMA,
BUNYORO,KIBAALE,BUYANJA,MATALE,"407305",KIBAALEBUYANJAKARAMA,KARAMA,"407309",KIBAALE,
BUNYORO,KAGADI,BUYAGA,MABAALE,"427211",KAGADIBUYAGAMABAALE,MABAALE,"427211",KAGADI,
