sim_id,HIV/TB_coinfection_Female,HIV/TB_coinfection_Male,TB_only_Female,TB_only_Male,total_mse,rank_total,rank_HIV/TB_coinfection_Female,rank_HIV/TB_coinfection_Male,rank_TB_only_FEMALE,rank_TB_ONLY_MALE,b1_calib_id,b2_calib_id,m1_calib_id,m2_calib_id,m3_calib_id,m4_calib_id
565," 79,357 "," 39,071 "," 3,103 "," 5,670 "," 127,201 ",38,109,458,279,261,18,18,1-L,2-H,3-L,4-L
463," 47,479 "," 74,610 "," 1,269 "," 3,983 "," 127,341 ",39,24,552,46,131,17.6,17.6,1-H,2-H,3-H,4-L
574," 87,039 "," 33,738 "," 1,037 "," 5,630 "," 127,444 ",40,137,431,3,256,18,18,1-H,2-H,3-L,4-H
240," 88,661 "," 32,584 "," 2,129 "," 4,162 "," 127,536 ",41,145,423,195,157,16.8,16.8,1-H,2-H,3-H,4-H
496," 88,076 "," 33,378 "," 2,084 "," 4,030 "," 127,567 ",42,143,430,191,142,18,16,1-H,2-H,3-H,4-H
239," 88,982 "," 32,557 "," 2,131 "," 4,181 "," 127,851 ",43,146,422,196,161,16.8,16.8,1-H,2-H,3-H,4-L
495," 88,394 "," 33,351 "," 2,086 "," 4,049 "," 127,879 ",44,144,429,192,144,18,16,1-H,2-H,3-H,4-L
380," 73,985 "," 48,876 "," 1,191 "," 4,348 "," 128,400 ",45,90,495,30,175,17.2,18,1-H,2-L,3-H,4-H
384," 43,799 "," 79,238 "," 1,220 "," 4,152 "," 128,408 ",46,17,559,36,153,17.2,18,1-H,2-H,3-H,4-H
556," 69,213 "," 53,574 "," 1,133 "," 4,610 "," 128,530 ",47,77,509,21,202,18,17.6,1-H,2-L,3-H,4-H
460," 77,590 "," 45,784 "," 1,230 "," 4,117 "," 128,722 ",48,103,484,38,149,17.6,17.6,1-H,2-L,3-H,4-H
383," 43,855 "," 79,615 "," 1,219 "," 4,165 "," 128,855 ",49,18,560,35,158,17.2,18,1-H,2-H,3-H,4-L
379," 74,206 "," 49,126 "," 1,192 "," 4,357 "," 128,881 ",50,92,496,32,177,17.2,18,1-H,2-L,3-H,4-L
476," 65,685 "," 57,276 "," 1,102 "," 4,871 "," 128,934 ",51,66,520,15,217,17.6,18,1-H,2-L,3-H,4-H
475," 65,237 "," 57,658 "," 1,105 "," 4,941 "," 128,940 ",52,65,522,16,224,17.6,18,1-H,2-L,3-H,4-L
459," 77,896 "," 45,783 "," 1,235 "," 4,160 "," 129,073 ",53,104,483,40,155,17.6,17.6,1-H,2-L,3-H,4-L
555," 69,335 "," 53,985 "," 1,137 "," 4,626 "," 129,083 ",54,78,510,22,204,18,17.6,1-H,2-L,3-H,4-L
283," 82,285 "," 41,640 "," 1,304 "," 3,999 "," 129,228 ",55,118,470,52,136,16.8,18,1-H,2-L,3-H,4-L
284," 82,804 "," 41,357 "," 1,303 "," 3,949 "," 129,412 ",56,121,469,51,122,16.8,18,1-H,2-L,3-H,4-H
539," 81,769 "," 42,495 "," 1,281 "," 3,983 "," 129,528 ",57,117,473,48,132,18,17.2,1-H,2-L,3-H,4-L
477," 95,322 "," 28,210 "," 1,095 "," 4,962 "," 129,589 ",58,168,396,12,226,17.6,18,1-H,2-H,3-L,4-L
540," 82,286 "," 42,213 "," 1,279 "," 3,934 "," 129,712 ",59,119,471,47,119,18,17.2,1-H,2-L,3-H,4-H
478," 95,580 "," 28,143 "," 1,092 "," 4,916 "," 129,731 ",60,170,395,11,222,17.6,18,1-H,2-H,3-L,4-H
319," 93,661 "," 29,770 "," 2,229 "," 4,342 "," 130,001 ",61,161,408,209,174,17.2,16.4,1-H,2-H,3-H,4-L
363," 86,268 "," 38,530 "," 1,357 "," 3,862 "," 130,017 ",62,132,454,62,98,17.2,17.6,1-H,2-L,3-H,4-L
63," 94,285 "," 29,023 "," 2,277 "," 4,491 "," 130,076 ",63,163,404,215,192,16,17.2,1-H,2-H,3-H,4-L
364," 86,823 "," 38,252 "," 1,355 "," 3,813 "," 130,243 ",64,135,453,61,87,17.2,17.6,1-H,2-L,3-H,4-H
320," 94,214 "," 29,530 "," 2,231 "," 4,321 "," 130,296 ",65,162,407,210,171,17.2,16.4,1-H,2-H,3-H,4-H
469," 87,491 "," 32,912 "," 3,391 "," 6,533 "," 130,326 ",66,139,426,293,288,17.6,18,1-L,2-H,3-L,4-L
64," 94,836 "," 28,783 "," 2,279 "," 4,471 "," 130,369 ",67,164,402,216,191,16,17.2,1-H,2-H,3-H,4-H
470," 87,834 "," 32,676 "," 3,392 "," 6,522 "," 130,423 ",68,141,424,294,287,17.6,18,1-L,2-H,3-L,4-H
572," 57,458 "," 66,998 "," 1,046 "," 5,611 "," 131,114 ",69,43,542,5,254,18,18,1-H,2-L,3-H,4-H
