sim_id,HIV/TB_coinfection_Female,HIV/TB_coinfection_Male,TB_only_Female,TB_only_Male,total_mse,rank_total,rank_HIV/TB_coinfection_Female,rank_HIV/TB_coinfection_Male,rank_TB_only_FEMALE,rank_TB_ONLY_MALE,b1_calib_id,b2_calib_id,m1_calib_id,m2_calib_id,m3_calib_id,m4_calib_id
533," 105,585 "," 22,748 "," 3,944 "," 8,307 "," 140,584 ",189,207,357,333,334,18,17.2,1-L,2-H,3-L,4-L
277," 106,475 "," 21,967 "," 4,016 "," 8,576 "," 141,034 ",190,214,353,337,338,16.8,18,1-L,2-H,3-L,4-L
311," 85,021 "," 35,005 "," 5,821 "," 15,274 "," 141,121 ",191,129,440,497,497,17.2,16.4,1-L,2-H,3-H,4-L
312," 85,338 "," 34,805 "," 5,823 "," 15,279 "," 141,245 ",192,130,439,498,498,17.2,16.4,1-L,2-H,3-H,4-H
552," 35,254 "," 95,275 "," 3,621 "," 7,221 "," 141,371 ",193,8,569,314,305,18,17.6,1-L,2-H,3-H,4-H
576," 32,225 "," 102,826 "," 1,063 "," 5,280 "," 141,395 ",194,4,573,7,241,18,18,1-H,2-H,3-H,4-H
55," 85,883 "," 34,011 "," 5,908 "," 15,627 "," 141,429 ",195,131,433,503,503,16,17.2,1-L,2-H,3-H,4-L
339," 91,727 "," 34,267 "," 4,658 "," 10,801 "," 141,454 ",196,157,436,391,391,17.2,17.2,1-L,2-L,3-H,4-L
551," 34,832 "," 95,815 "," 3,617 "," 7,221 "," 141,484 ",197,7,570,313,306,18,17.6,1-L,2-H,3-H,4-L
575," 32,011 "," 103,117 "," 1,067 "," 5,335 "," 141,530 ",198,3,574,8,244,18,18,1-H,2-H,3-H,4-L
340," 92,132 "," 34,022 "," 4,661 "," 10,801 "," 141,616 ",199,158,434,392,392,17.2,17.2,1-L,2-L,3-H,4-H
366," 119,754 "," 16,755 "," 1,337 "," 3,844 "," 141,691 ",200,255,303,57,95,17.2,17.6,1-H,2-H,3-L,4-H
56," 86,429 "," 33,749 "," 5,913 "," 15,642 "," 141,733 ",201,133,432,504,504,16,17.2,1-L,2-H,3-H,4-H
83," 92,584 "," 33,322 "," 4,737 "," 11,107 "," 141,751 ",202,159,428,397,397,16,18,1-L,2-L,3-H,4-L
84," 92,992 "," 33,077 "," 4,740 "," 11,107 "," 141,916 ",203,160,427,398,398,16,18,1-L,2-L,3-H,4-H
365," 119,945 "," 16,965 "," 1,342 "," 3,863 "," 142,114 ",204,257,308,59,99,17.2,17.6,1-H,2-H,3-L,4-L
332," 115,243 "," 21,446 "," 1,840 "," 3,782 "," 142,311 ",205,238,348,151,76,17.2,16.8,1-H,2-L,3-H,4-H
331," 114,988 "," 21,737 "," 1,840 "," 3,794 "," 142,360 ",206,237,351,152,81,17.2,16.8,1-H,2-L,3-H,4-L
76," 115,951 "," 20,826 "," 1,882 "," 3,892 "," 142,551 ",207,249,341,157,107,16,17.6,1-H,2-L,3-H,4-H
75," 115,700 "," 21,115 "," 1,882 "," 3,905 "," 142,601 ",208,244,345,158,110,16,17.6,1-H,2-L,3-H,4-L
128," 115,700 "," 18,819 "," 2,772 "," 5,606 "," 142,897 ",209,245,328,257,253,16.4,16.4,1-H,2-H,3-H,4-H
127," 115,514 "," 19,080 "," 2,772 "," 5,617 "," 142,984 ",210,241,330,258,255,16.4,16.4,1-H,2-H,3-H,4-L
391," 89,496 "," 32,139 "," 5,978 "," 15,905 "," 143,518 ",211,147,420,511,511,17.6,16,1-L,2-H,3-H,4-L
419," 96,184 "," 31,476 "," 4,799 "," 11,316 "," 143,776 ",212,173,416,405,406,17.6,16.8,1-L,2-L,3-H,4-L
420," 96,328 "," 31,363 "," 4,800 "," 11,311 "," 143,802 ",213,175,415,406,405,17.6,16.8,1-L,2-L,3-H,4-H
472," 32,666 "," 100,796 "," 3,501 "," 6,847 "," 143,810 ",214,6,571,304,297,17.6,18,1-L,2-H,3-H,4-H
392," 90,048 "," 31,891 "," 5,984 "," 15,921 "," 143,844 ",215,148,419,512,512,17.6,16,1-L,2-H,3-H,4-H
471," 32,452 "," 101,080 "," 3,500 "," 6,856 "," 143,886 ",216,5,572,303,298,17.6,18,1-L,2-H,3-H,4-L
135," 90,388 "," 31,184 "," 6,066 "," 16,263 "," 143,901 ",217,149,414,513,513,16.4,16.8,1-L,2-H,3-H,4-L
163," 97,116 "," 30,548 "," 4,878 "," 11,619 "," 144,161 ",218,177,412,413,413,16.4,17.6,1-L,2-L,3-H,4-L
357," 110,795 "," 20,248 "," 4,146 "," 9,012 "," 144,201 ",219,227,336,347,348,17.2,17.6,1-L,2-H,3-L,4-L
136," 90,938 "," 30,937 "," 6,072 "," 16,279 "," 144,226 ",220,152,413,514,514,16.4,16.8,1-L,2-H,3-H,4-H
358," 111,254 "," 19,940 "," 4,148 "," 9,011 "," 144,353 ",221,232,335,348,347,17.2,17.6,1-L,2-H,3-L,4-H
164," 97,551 "," 30,343 "," 4,882 "," 11,623 "," 144,399 ",222,178,410,414,414,16.4,17.6,1-L,2-L,3-H,4-H
445," 124,621 "," 15,390 "," 1,397 "," 3,750 "," 145,158 ",223,275,291,69,64,17.6,17.2,1-H,2-H,3-L,4-L
189," 125,337 "," 14,845 "," 1,427 "," 3,793 "," 145,402 ",224,278,286,76,80,16.4,18,1-H,2-H,3-L,4-L
412," 120,195 "," 19,432 "," 1,926 "," 3,857 "," 145,410 ",225,258,333,165,97,17.6,16.4,1-H,2-L,3-H,4-H
411," 119,938 "," 19,711 "," 1,926 "," 3,870 "," 145,445 ",226,256,334,166,104,17.6,16.4,1-H,2-L,3-H,4-L
446," 125,251 "," 15,243 "," 1,396 "," 3,702 "," 145,591 ",227,277,290,67,42,17.6,17.2,1-H,2-H,3-L,4-H
155," 120,670 "," 19,115 "," 1,969 "," 3,989 "," 145,743 ",228,260,331,173,134,16.4,17.2,1-H,2-L,3-H,4-L
190," 125,965 "," 14,699 "," 1,426 "," 3,745 "," 145,835 ",229,284,281,75,61,16.4,18,1-H,2-H,3-L,4-H
156," 121,182 "," 18,772 "," 1,971 "," 3,977 "," 145,901 ",230,264,327,174,129,16.4,17.2,1-H,2-L,3-H,4-H
499," 100,417 "," 28,945 "," 4,941 "," 11,837 "," 146,139 ",231,189,403,421,421,18,16.4,1-L,2-L,3-H,4-L
500," 100,940 "," 28,749 "," 4,945 "," 11,846 "," 146,481 ",232,193,401,422,422,18,16.4,1-L,2-L,3-H,4-H
243," 101,377 "," 28,055 "," 5,020 "," 12,146 "," 146,598 ",233,197,394,427,427,16.8,17.2,1-L,2-L,3-H,4-L
208," 121,040 "," 16,930 "," 2,892 "," 5,915 "," 146,777 ",234,263,306,265,267,16.8,16,1-H,2-H,3-H,4-H
207," 120,855 "," 17,178 "," 2,892 "," 5,927 "," 146,852 ",235,261,309,266,268,16.8,16,1-H,2-H,3-H,4-L
215," 95,035 "," 28,703 "," 6,229 "," 16,925 "," 146,893 ",236,166,400,523,523,16.8,16.4,1-L,2-H,3-H,4-L
244," 101,903 "," 27,858 "," 5,025 "," 12,155 "," 146,941 ",237,198,393,428,428,16.8,17.2,1-L,2-L,3-H,4-H
216," 95,569 "," 28,284 "," 6,232 "," 16,932 "," 147,017 ",238,169,397,524,524,16.8,16.4,1-L,2-H,3-H,4-H
438," 115,668 "," 18,205 "," 4,278 "," 9,459 "," 147,611 ",239,243,319,357,357,17.6,17.2,1-L,2-H,3-L,4-H
437," 115,865 "," 18,415 "," 4,284 "," 9,470 "," 148,034 ",240,248,322,358,358,17.6,17.2,1-L,2-H,3-L,4-L
182," 116,625 "," 17,506 "," 4,354 "," 9,748 "," 148,234 ",241,252,312,363,363,16.4,18,1-L,2-H,3-L,4-H
525," 129,322 "," 13,983 "," 1,458 "," 3,670 "," 148,433 ",242,293,273,83,28,18,16.8,1-H,2-H,3-L,4-L
181," 116,821 "," 17,714 "," 4,361 "," 9,759 "," 148,654 ",243,254,313,364,364,16.4,18,1-L,2-H,3-L,4-L
269," 130,104 "," 13,421 "," 1,489 "," 3,720 "," 148,733 ",244,295,267,90,49,16.8,17.6,1-H,2-H,3-L,4-L
491," 125,079 "," 17,777 "," 2,016 "," 3,969 "," 148,840 ",245,276,315,181,127,18,16,1-H,2-L,3-H,4-L
526," 130,033 "," 13,839 "," 1,457 "," 3,622 "," 148,952 ",246,294,270,82,8,18,16.8,1-H,2-H,3-L,4-H
492," 125,518 "," 17,503 "," 2,017 "," 3,961 "," 148,999 ",247,279,311,182,124,18,16,1-H,2-L,3-H,4-H
561," 122,306 "," 18,455 "," 3,023 "," 5,451 "," 149,235 ",248,269,324,273,250,18,18,1-L,2-L,3-L,4-L
235," 125,890 "," 17,201 "," 2,062 "," 4,096 "," 149,249 ",249,282,310,187,148,16.8,16.8,1-H,2-L,3-H,4-L
270," 130,766 "," 13,319 "," 1,488 "," 3,676 "," 149,249 ",250,298,263,89,30,16.8,17.6,1-H,2-H,3-L,4-H
236," 126,326 "," 16,930 "," 2,063 "," 4,088 "," 149,407 ",251,285,307,188,146,16.8,16.8,1-H,2-L,3-H,4-H
562," 122,717 "," 18,312 "," 3,024 "," 5,444 "," 149,497 ",252,273,320,274,249,18,18,1-L,2-L,3-L,4-H
323," 106,303 "," 25,564 "," 5,168 "," 12,702 "," 149,736 ",253,212,378,439,439,17.2,16.8,1-L,2-L,3-H,4-L
324," 106,371 "," 25,506 "," 5,170 "," 12,703 "," 149,750 ",254,213,377,440,440,17.2,16.8,1-L,2-L,3-H,4-H
295," 99,782 "," 26,187 "," 6,392 "," 17,592 "," 149,952 ",255,185,384,535,535,17.2,16,1-L,2-H,3-H,4-L
296," 100,320 "," 25,789 "," 6,395 "," 17,599 "," 150,103 ",256,187,379,536,536,17.2,16,1-L,2-H,3-H,4-H
31," 125,683 "," 14,946 "," 3,069 "," 6,486 "," 150,185 ",257,280,287,275,284,16,16.4,1-H,2-H,3-H,4-L
32," 125,930 "," 14,798 "," 3,069 "," 6,471 "," 150,267 ",258,283,285,276,283,16,16.4,1-H,2-H,3-H,4-H
68," 107,415 "," 24,651 "," 5,253 "," 13,032 "," 150,351 ",259,216,371,445,445,16,17.6,1-L,2-L,3-H,4-H
67," 107,225 "," 24,942 "," 5,253 "," 13,039 "," 150,460 ",260,215,374,446,446,16,17.6,1-L,2-L,3-H,4-L
568," 27,824 "," 113,657 "," 3,208 "," 5,943 "," 150,631 ",261,2,575,288,269,18,18,1-L,2-H,3-H,4-H
40," 101,285 "," 24,935 "," 6,485 "," 17,973 "," 150,678 ",262,196,373,538,537,16,16.8,1-L,2-H,3-H,4-H
567," 27,648 "," 114,019 "," 3,207 "," 5,954 "," 150,829 ",263,1,576,287,270,18,18,1-L,2-H,3-H,4-L
39," 101,181 "," 25,191 "," 6,484 "," 17,979 "," 150,834 ",264,195,376,537,538,16,16.8,1-L,2-H,3-H,4-L
517," 120,290 "," 16,816 "," 4,416 "," 9,935 "," 151,457 ",265,259,304,371,371,18,16.8,1-L,2-H,3-L,4-L
518," 120,979 "," 16,628 "," 4,422 "," 9,946 "," 151,974 ",266,262,301,372,372,18,16.8,1-L,2-H,3-L,4-H
261," 121,271 "," 16,147 "," 4,494 "," 10,230 "," 152,141 ",267,265,298,377,377,16.8,17.6,1-L,2-H,3-L,4-L
349," 134,958 "," 12,156 "," 1,555 "," 3,676 "," 152,345 ",268,315,248,102,31,17.2,17.2,1-H,2-H,3-L,4-L
262," 121,922 "," 15,954 "," 4,499 "," 10,236 "," 152,611 ",269,267,295,378,378,16.8,17.6,1-L,2-H,3-L,4-H
93," 135,721 "," 11,676 "," 1,590 "," 3,749 "," 152,736 ",270,317,240,108,63,16,18,1-H,2-H,3-L,4-L
404," 111,047 "," 23,254 "," 5,318 "," 13,267 "," 152,885 ",271,230,363,453,453,17.6,16.4,1-L,2-L,3-H,4-H
350," 135,741 "," 12,020 "," 1,555 "," 3,628 "," 152,944 ",272,318,246,100,11,17.2,17.2,1-H,2-H,3-L,4-H
403," 110,839 "," 23,541 "," 5,318 "," 13,273 "," 152,971 ",273,228,364,454,454,17.6,16.4,1-L,2-L,3-H,4-L
315," 131,081 "," 15,498 "," 2,157 "," 4,235 "," 152,972 ",274,300,293,199,166,17.2,16.4,1-H,2-L,3-H,4-L
569," 130,503 "," 15,533 "," 1,025 "," 6,027 "," 153,089 ",275,296,294,2,274,18,18,1-H,2-L,3-L,4-L
316," 131,519 "," 15,242 "," 2,159 "," 4,227 "," 153,147 ",276,302,289,200,164,17.2,16.4,1-H,2-L,3-H,4-H
570," 130,803 "," 15,440 "," 1,021 "," 5,966 "," 153,231 ",277,299,292,1,271,18,18,1-H,2-L,3-L,4-H
94," 136,504 "," 11,540 "," 1,590 "," 3,701 "," 153,335 ",278,321,238,107,40,16,18,1-H,2-H,3-L,4-H
59," 131,864 "," 14,971 "," 2,205 "," 4,380 "," 153,421 ",279,304,288,205,181,16,17.2,1-H,2-L,3-H,4-L
148," 112,033 "," 22,469 "," 5,402 "," 13,602 "," 153,506 ",280,234,355,461,461,16.4,17.2,1-L,2-L,3-H,4-H
147," 111,822 "," 22,754 "," 5,402 "," 13,609 "," 153,586 ",281,233,358,462,462,16.4,17.2,1-L,2-L,3-H,4-L
60," 132,299 "," 14,718 "," 2,207 "," 4,372 "," 153,595 ",282,306,283,206,179,16,17.2,1-H,2-L,3-H,4-H
120," 106,210 "," 22,629 "," 6,651 "," 18,657 "," 154,147 ",283,211,356,546,545,16.4,16.4,1-L,2-H,3-H,4-H
119," 106,024 "," 22,907 "," 6,651 "," 18,662 "," 154,244 ",284,210,360,545,546,16.4,16.4,1-L,2-H,3-H,4-L
341," 125,887 "," 14,648 "," 4,630 "," 10,718 "," 155,883 ",285,281,279,389,389,17.2,17.2,1-L,2-H,3-L,4-L
111," 132,701 "," 13,320 "," 3,205 "," 6,837 "," 156,063 ",286,309,264,285,296,16.4,16,1-H,2-H,3-H,4-L
112," 133,055 "," 13,097 "," 3,207 "," 6,833 "," 156,192 ",287,311,258,286,295,16.4,16,1-H,2-H,3-H,4-H
484," 115,805 "," 21,163 "," 5,468 "," 13,848 "," 156,284 ",288,246,347,470,469,18,16,1-L,2-L,3-H,4-H
483," 115,547 "," 21,447 "," 5,468 "," 13,854 "," 156,315 ",289,242,349,469,470,18,16,1-L,2-L,3-H,4-L
342," 126,534 "," 14,506 "," 4,635 "," 10,726 "," 156,401 ",290,287,278,390,390,17.2,17.2,1-L,2-H,3-L,4-H
429," 140,230 "," 10,969 "," 1,628 "," 3,660 "," 156,487 ",291,333,228,116,25,17.6,16.8,1-H,2-H,3-L,4-L
466," 132,225 "," 14,739 "," 3,307 "," 6,268 "," 156,539 ",292,305,284,289,279,17.6,18,1-L,2-L,3-L,4-H
85," 126,908 "," 14,029 "," 4,709 "," 11,026 "," 156,672 ",293,288,274,395,395,16,18,1-L,2-H,3-L,4-L
430," 140,763 "," 10,883 "," 1,625 "," 3,612 "," 156,882 ",294,334,227,115,7,17.6,16.8,1-H,2-H,3-L,4-H
173," 141,009 "," 10,514 "," 1,665 "," 3,742 "," 156,930 ",295,336,224,124,58,16.4,17.6,1-H,2-H,3-L,4-L
465," 132,670 "," 14,702 "," 3,307 "," 6,279 "," 156,959 ",296,308,282,290,280,17.6,18,1-L,2-L,3-L,4-L
228," 116,817 "," 20,413 "," 5,553 "," 14,190 "," 156,973 ",297,253,337,476,475,16.8,16.8,1-L,2-L,3-H,4-H
395," 136,382 "," 13,940 "," 2,256 "," 4,401 "," 156,978 ",298,320,272,213,187,17.6,16,1-H,2-L,3-H,4-L
227," 116,563 "," 20,694 "," 5,553 "," 14,195 "," 157,005 ",299,251,339,475,476,16.8,16.8,1-L,2-L,3-H,4-L
396," 136,821 "," 13,700 "," 2,258 "," 4,393 "," 157,172 ",300,324,269,214,184,17.6,16,1-H,2-L,3-H,4-H
86," 127,559 "," 13,887 "," 4,715 "," 11,035 "," 157,195 ",301,290,271,396,396,16,18,1-L,2-H,3-L,4-H
174," 141,544 "," 10,427 "," 1,662 "," 3,694 "," 157,327 ",302,338,221,123,38,16.4,17.6,1-H,2-H,3-L,4-H
139," 137,184 "," 13,440 "," 2,306 "," 4,554 "," 157,483 ",303,326,268,219,198,16.4,16.8,1-H,2-L,3-H,4-L
140," 137,619 "," 13,202 "," 2,307 "," 4,547 "," 157,675 ",304,328,261,220,197,16.4,16.8,1-H,2-L,3-H,4-H
200," 111,228 "," 20,488 "," 6,818 "," 19,359 "," 157,893 ",305,231,338,554,553,16.8,16,1-L,2-H,3-H,4-H
199," 111,040 "," 20,754 "," 6,818 "," 19,364 "," 157,977 ",306,229,340,553,554,16.8,16,1-L,2-H,3-H,4-L
474," 140,901 "," 12,251 "," 1,070 "," 5,199 "," 159,421 ",307,335,249,9,237,17.6,18,1-H,2-L,3-L,4-H
473," 141,056 "," 12,267 "," 1,073 "," 5,248 "," 159,643 ",308,337,250,10,240,17.6,18,1-H,2-L,3-L,4-L
421," 130,572 "," 13,270 "," 4,768 "," 11,221 "," 159,830 ",309,297,262,403,403,17.6,16.8,1-L,2-H,3-L,4-L
546," 136,605 "," 13,411 "," 3,420 "," 6,603 "," 160,039 ",310,322,266,299,293,18,17.6,1-L,2-L,3-L,4-H
422," 131,252 "," 13,172 "," 4,774 "," 11,233 "," 160,430 ",311,301,259,404,404,17.6,16.8,1-L,2-H,3-L,4-H
545," 137,019 "," 13,382 "," 3,420 "," 6,614 "," 160,435 ",312,325,265,300,294,18,17.6,1-L,2-L,3-L,4-L
509," 145,340 "," 9,944 "," 1,703 "," 3,669 "," 160,655 ",313,351,210,132,26,18,16.4,1-H,2-H,3-L,4-L
165," 131,618 "," 12,683 "," 4,848 "," 11,535 "," 160,684 ",314,303,256,411,411,16.4,17.6,1-L,2-H,3-L,4-L
307," 121,531 "," 18,712 "," 5,707 "," 14,800 "," 160,749 ",315,266,326,487,487,17.2,16.4,1-L,2-L,3-H,4-L
308," 121,968 "," 18,433 "," 5,709 "," 14,803 "," 160,914 ",316,268,323,488,488,17.2,16.4,1-L,2-L,3-H,4-H
510," 145,885 "," 9,865 "," 1,700 "," 3,622 "," 161,073 ",317,352,209,131,9,18,16.4,1-H,2-H,3-L,4-H
253," 146,221 "," 9,492 "," 1,740 "," 3,758 "," 161,211 ",318,353,203,138,68,16.8,17.2,1-H,2-H,3-L,4-L
166," 132,300 "," 12,585 "," 4,855 "," 11,547 "," 161,287 ",319,307,254,412,412,16.4,17.6,1-L,2-H,3-L,4-H
23," 115,850 "," 18,113 "," 7,065 "," 20,442 "," 161,471 ",320,247,318,561,561,16,16.4,1-L,2-H,3-H,4-L
51," 122,589 "," 18,014 "," 5,794 "," 15,153 "," 161,549 ",321,271,317,493,493,16,17.2,1-L,2-L,3-H,4-L
24," 116,087 "," 17,952 "," 7,068 "," 20,454 "," 161,561 ",322,250,316,562,562,16,16.4,1-L,2-H,3-H,4-H
254," 146,735 "," 9,398 "," 1,739 "," 3,711 "," 161,582 ",323,355,199,137,44,16.8,17.2,1-H,2-H,3-L,4-H
52," 123,023 "," 17,738 "," 5,796 "," 15,156 "," 161,713 ",324,274,314,494,494,16,17.2,1-L,2-L,3-H,4-H
219," 142,610 "," 12,053 "," 2,410 "," 4,755 "," 161,828 ",325,341,247,229,214,16.8,16.4,1-H,2-L,3-H,4-L
220," 142,988 "," 11,828 "," 2,410 "," 4,737 "," 161,963 ",326,342,243,230,213,16.8,16.4,1-H,2-L,3-H,4-H
554," 146,266 "," 11,022 "," 1,097 "," 4,888 "," 163,274 ",327,354,230,13,218,18,17.6,1-H,2-L,3-L,4-H
553," 147,088 "," 10,986 "," 1,101 "," 4,908 "," 164,084 ",328,356,229,14,221,18,17.6,1-H,2-L,3-L,4-L
501," 135,640 "," 12,002 "," 4,912 "," 11,751 "," 164,304 ",329,316,245,419,419,18,16.4,1-L,2-H,3-L,4-L
502," 136,148 "," 11,913 "," 4,915 "," 11,756 "," 164,733 ",330,319,244,420,420,18,16.4,1-L,2-H,3-L,4-H
387," 126,527 "," 16,926 "," 5,863 "," 15,418 "," 164,734 ",331,286,305,501,501,17.6,16,1-L,2-L,3-H,4-L
388," 126,967 "," 16,662 "," 5,865 "," 15,422 "," 164,916 ",332,289,302,502,502,17.6,16,1-L,2-L,3-H,4-H
245," 136,710 "," 11,447 "," 4,993 "," 12,071 "," 165,222 ",333,323,234,425,425,16.8,17.2,1-L,2-H,3-L,4-L
370," 143,070 "," 11,527 "," 3,608 "," 7,208 "," 165,413 ",334,343,236,311,303,17.2,18,1-L,2-L,3-L,4-H
15," 143,885 "," 10,272 "," 3,531 "," 7,895 "," 165,584 ",335,347,217,309,324,16,16,1-H,2-H,3-H,4-L
131," 127,611 "," 16,263 "," 5,950 "," 15,777 "," 165,601 ",336,291,299,507,507,16.4,16.8,1-L,2-L,3-H,4-L
246," 137,221 "," 11,359 "," 4,997 "," 12,076 "," 165,653 ",337,327,233,426,426,16.8,17.2,1-L,2-H,3-L,4-H
16," 144,144 "," 10,153 "," 3,532 "," 7,884 "," 165,714 ",338,348,214,310,321,16,16,1-H,2-H,3-H,4-H
333," 151,506 "," 8,609 "," 1,821 "," 3,801 "," 165,737 ",339,369,187,150,82,17.2,16.8,1-H,2-H,3-L,4-L
132," 128,047 "," 16,002 "," 5,953 "," 15,780 "," 165,783 ",340,292,296,508,508,16.4,16.8,1-L,2-L,3-H,4-H
369," 143,406 "," 11,561 "," 3,610 "," 7,219 "," 165,796 ",341,345,239,312,304,17.2,18,1-L,2-L,3-L,4-L
334," 152,033 "," 8,526 "," 1,819 "," 3,756 "," 166,135 ",342,370,184,149,67,17.2,16.8,1-H,2-H,3-L,4-H
299," 148,141 "," 10,811 "," 2,518 "," 4,982 "," 166,452 ",343,360,226,239,230,17.2,16,1-H,2-L,3-H,4-L
300," 148,520 "," 10,601 "," 2,519 "," 4,965 "," 166,605 ",344,363,225,240,228,17.2,16,1-H,2-L,3-H,4-H
78," 152,861 "," 8,135 "," 1,861 "," 3,867 "," 166,724 ",345,374,171,155,102,16,17.6,1-H,2-H,3-L,4-H
43," 148,992 "," 10,380 "," 2,572 "," 5,160 "," 167,104 ",346,365,220,243,236,16,16.8,1-H,2-L,3-H,4-L
104," 122,623 "," 16,096 "," 7,254 "," 21,188 "," 167,162 ",347,272,297,568,567,16.4,16,1-L,2-H,3-H,4-H
77," 153,244 "," 8,170 "," 1,866 "," 3,906 "," 167,185 ",348,375,173,156,111,16,17.6,1-H,2-H,3-L,4-L
103," 122,437 "," 16,335 "," 7,254 "," 21,194 "," 167,221 ",349,270,300,567,568,16.4,16,1-L,2-H,3-H,4-L
44," 149,368 "," 10,171 "," 2,573 "," 5,144 "," 167,255 ",350,366,216,244,234,16,16.8,1-H,2-L,3-H,4-H
377," 152,608 "," 9,548 "," 1,150 "," 4,624 "," 167,929 ",351,371,206,24,203,17.2,18,1-H,2-L,3-L,4-L
378," 152,682 "," 9,522 "," 1,148 "," 4,581 "," 167,933 ",352,372,205,23,199,17.2,18,1-H,2-L,3-L,4-H
450," 147,801 "," 10,465 "," 3,732 "," 7,592 "," 169,590 ",353,359,223,320,315,17.6,17.6,1-L,2-L,3-L,4-H
325," 141,642 "," 10,370 "," 5,138 "," 12,614 "," 169,764 ",354,339,219,437,437,17.2,16.8,1-L,2-H,3-L,4-L
211," 132,738 "," 14,651 "," 6,109 "," 16,416 "," 169,915 ",355,310,280,517,517,16.8,16.4,1-L,2-L,3-H,4-L
212," 133,176 "," 14,407 "," 6,112 "," 16,420 "," 170,114 ",356,312,277,518,518,16.8,16.4,1-L,2-L,3-H,4-H
449," 148,386 "," 10,448 "," 3,731 "," 7,598 "," 170,163 ",357,362,222,319,317,17.6,17.6,1-L,2-L,3-L,4-L
326," 142,176 "," 10,288 "," 5,142 "," 12,621 "," 170,227 ",358,340,218,438,438,17.2,16.8,1-L,2-H,3-L,4-H
414," 157,443 "," 7,777 "," 1,904 "," 3,829 "," 170,952 ",359,387,164,163,91,17.6,16.4,1-H,2-H,3-L,4-H
70," 143,229 "," 9,795 "," 5,226 "," 12,951 "," 171,201 ",360,344,207,443,443,16,17.6,1-L,2-H,3-L,4-H
413," 157,753 "," 7,818 "," 1,908 "," 3,867 "," 171,347 ",361,388,165,164,103,17.6,16.4,1-H,2-H,3-L,4-L
158," 158,288 "," 7,410 "," 1,948 "," 3,948 "," 171,594 ",362,391,156,171,121,16.4,17.2,1-H,2-H,3-L,4-H
69," 143,638 "," 9,802 "," 5,229 "," 12,958 "," 171,626 ",363,346,208,444,444,16,17.6,1-L,2-H,3-L,4-L
157," 158,601 "," 7,451 "," 1,952 "," 3,987 "," 171,991 ",364,392,157,172,133,16.4,17.2,1-H,2-H,3-L,4-L
123," 154,647 "," 9,308 "," 2,686 "," 5,421 "," 172,062 ",365,381,197,253,248,16.4,16.4,1-H,2-L,3-H,4-L
458," 157,941 "," 8,599 "," 1,186 "," 4,340 "," 172,067 ",366,389,186,29,173,17.6,17.6,1-H,2-L,3-L,4-H
124," 155,023 "," 9,115 "," 2,686 "," 5,406 "," 172,229 ",367,384,193,254,247,16.4,16.4,1-H,2-L,3-H,4-H
457," 158,217 "," 8,649 "," 1,192 "," 4,389 "," 172,448 ",368,390,188,31,182,17.6,17.6,1-H,2-L,3-L,4-L
291," 137,968 "," 13,180 "," 6,270 "," 17,071 "," 174,489 ",369,329,260,527,527,17.2,16,1-L,2-L,3-H,4-L
292," 138,348 "," 12,947 "," 6,272 "," 17,073 "," 174,641 ",370,330,257,528,528,17.2,16,1-L,2-L,3-H,4-H
530," 153,651 "," 9,408 "," 3,857 "," 7,994 "," 174,910 ",371,377,200,327,327,18,17.2,1-L,2-L,3-L,4-H
406," 147,283 "," 9,298 "," 5,289 "," 13,182 "," 175,052 ",372,357,196,451,451,17.6,16.4,1-L,2-H,3-L,4-H
529," 153,935 "," 9,457 "," 3,862 "," 8,006 "," 175,260 ",373,378,201,328,328,18,17.2,1-L,2-L,3-L,4-L
405," 147,719 "," 9,325 "," 5,291 "," 13,188 "," 175,523 ",374,358,198,452,452,17.6,16.4,1-L,2-H,3-L,4-L
35," 139,118 "," 12,606 "," 6,360 "," 17,445 "," 175,530 ",375,331,255,531,531,16,16.8,1-L,2-L,3-H,4-L
36," 139,495 "," 12,377 "," 6,363 "," 17,447 "," 175,681 ",376,332,251,532,532,16,16.8,1-L,2-L,3-H,4-H
274," 154,728 "," 8,939 "," 3,930 "," 8,260 "," 175,857 ",377,382,191,329,329,16.8,18,1-L,2-L,3-L,4-H
538," 162,865 "," 7,823 "," 1,228 "," 4,142 "," 176,058 ",378,402,166,37,152,18,17.2,1-H,2-L,3-L,4-H
150," 148,362 "," 8,836 "," 5,374 "," 13,517 "," 176,090 ",379,361,189,459,459,16.4,17.2,1-L,2-H,3-L,4-H
273," 155,010 "," 8,988 "," 3,934 "," 8,272 "," 176,205 ",380,383,192,331,332,16.8,18,1-L,2-L,3-L,4-L
537," 163,028 "," 7,981 "," 1,232 "," 4,160 "," 176,400 ",381,403,168,39,156,18,17.2,1-H,2-L,3-L,4-L
493," 163,247 "," 7,195 "," 1,997 "," 3,966 "," 176,405 ",382,404,146,180,125,18,16,1-H,2-H,3-L,4-L
149," 148,796 "," 8,863 "," 5,376 "," 13,523 "," 176,559 ",383,364,190,460,460,16.4,17.2,1-L,2-H,3-L,4-L
282," 163,736 "," 7,468 "," 1,254 "," 4,153 "," 176,611 ",384,406,158,41,154,16.8,18,1-H,2-L,3-L,4-H
7," 133,400 "," 12,513 "," 7,684 "," 23,102 "," 176,699 ",385,313,253,575,575,16,16,1-L,2-H,3-H,4-L
8," 133,649 "," 12,382 "," 7,687 "," 23,116 "," 176,834 ",386,314,252,576,576,16,16,1-L,2-H,3-H,4-H
