"","calibration_group","max_incidence","min_incidence","mean_incidence"
"1","HIV_neg_female",148.21516346791,144.93220184961,146.383626107101
"2","HIV_neg_male",176.74531672736,172.88375779001,174.659737813696
"3","HIV_pos_female",596.061012580501,576.194720175199,584.089026850066
"4","HIV_pos_male",282.455004275859,270.155457752479,274.990146843596
