"year","mean_incremental_undisc_cost"
2018,37177.5876025701
2019,49513.5758556506
2020,32658.24794508
2021,19072.6469007475
2022,11554.9145811003
2023,8101.84237626692
2024,6829.84274545611
2025,6594.37925077727
2026,6799.57220944687
2027,7163.91779628553
