sim_calib_id,b1_contact,b2_contact,hiv2_mort,hiv3_mort,hiv4_mort,tb_hiv1_mort,tb_hiv2_mort,tb_hiv3_mort,tb_hiv4_mort
142,6,7,6,30,1.2,17,30,40,20
143,6,7,6,30,1.2,17,30,60,17
144,6,7,6,30,1.2,17,30,60,20
145,6,7,6,30,1.5,14,22,40,17
146,6,7,6,30,1.5,14,22,40,20
147,6,7,6,30,1.5,14,22,60,17
148,6,7,6,30,1.5,14,22,60,20
149,6,7,6,30,1.5,14,30,40,17
150,6,7,6,30,1.5,14,30,40,20
151,6,7,6,30,1.5,14,30,60,17
152,6,7,6,30,1.5,14,30,60,20
153,6,7,6,30,1.5,17,22,40,17
154,6,7,6,30,1.5,17,22,40,20
155,6,7,6,30,1.5,17,22,60,17
156,6,7,6,30,1.5,17,22,60,20
157,6,7,6,30,1.5,17,30,40,17
158,6,7,6,30,1.5,17,30,40,20
159,6,7,6,30,1.5,17,30,60,17
160,6,7,6,30,1.5,17,30,60,20
161,6,7,6,40,1.2,14,22,40,17
162,6,7,6,40,1.2,14,22,40,20
163,6,7,6,40,1.2,14,22,60,17
164,6,7,6,40,1.2,14,22,60,20
165,6,7,6,40,1.2,14,30,40,17
166,6,7,6,40,1.2,14,30,40,20
167,6,7,6,40,1.2,14,30,60,17
168,6,7,6,40,1.2,14,30,60,20
169,6,7,6,40,1.2,17,22,40,17
170,6,7,6,40,1.2,17,22,40,20
171,6,7,6,40,1.2,17,22,60,17
172,6,7,6,40,1.2,17,22,60,20
173,6,7,6,40,1.2,17,30,40,17
174,6,7,6,40,1.2,17,30,40,20
175,6,7,6,40,1.2,17,30,60,17
176,6,7,6,40,1.2,17,30,60,20
177,6,7,6,40,1.5,14,22,40,17
178,6,7,6,40,1.5,14,22,40,20
179,6,7,6,40,1.5,14,22,60,17
180,6,7,6,40,1.5,14,22,60,20
181,6,7,6,40,1.5,14,30,40,17
182,6,7,6,40,1.5,14,30,40,20
183,6,7,6,40,1.5,14,30,60,17
184,6,7,6,40,1.5,14,30,60,20
185,6,7,6,40,1.5,17,22,40,17
186,6,7,6,40,1.5,17,22,40,20
187,6,7,6,40,1.5,17,22,60,17
188,6,7,6,40,1.5,17,22,60,20
189,6,7,6,40,1.5,17,30,40,17
190,6,7,6,40,1.5,17,30,40,20
191,6,7,6,40,1.5,17,30,60,17
192,6,7,6,40,1.5,17,30,60,20
193,6,7,10,30,1.2,14,22,40,17
194,6,7,10,30,1.2,14,22,40,20
195,6,7,10,30,1.2,14,22,60,17
196,6,7,10,30,1.2,14,22,60,20
197,6,7,10,30,1.2,14,30,40,17
198,6,7,10,30,1.2,14,30,40,20
199,6,7,10,30,1.2,14,30,60,17
200,6,7,10,30,1.2,14,30,60,20
201,6,7,10,30,1.2,17,22,40,17
202,6,7,10,30,1.2,17,22,40,20
203,6,7,10,30,1.2,17,22,60,17
204,6,7,10,30,1.2,17,22,60,20
205,6,7,10,30,1.2,17,30,40,17
206,6,7,10,30,1.2,17,30,40,20
207,6,7,10,30,1.2,17,30,60,17
208,6,7,10,30,1.2,17,30,60,20
209,6,7,10,30,1.5,14,22,40,17
210,6,7,10,30,1.5,14,22,40,20
211,6,7,10,30,1.5,14,22,60,17
212,6,7,10,30,1.5,14,22,60,20
213,6,7,10,30,1.5,14,30,40,17
214,6,7,10,30,1.5,14,30,40,20
215,6,7,10,30,1.5,14,30,60,17
216,6,7,10,30,1.5,14,30,60,20
217,6,7,10,30,1.5,17,22,40,17
218,6,7,10,30,1.5,17,22,40,20
219,6,7,10,30,1.5,17,22,60,17
220,6,7,10,30,1.5,17,22,60,20
221,6,7,10,30,1.5,17,30,40,17
222,6,7,10,30,1.5,17,30,40,20
223,6,7,10,30,1.5,17,30,60,17
224,6,7,10,30,1.5,17,30,60,20
225,6,7,10,40,1.2,14,22,40,17
226,6,7,10,40,1.2,14,22,40,20
227,6,7,10,40,1.2,14,22,60,17
228,6,7,10,40,1.2,14,22,60,20
229,6,7,10,40,1.2,14,30,40,17
230,6,7,10,40,1.2,14,30,40,20
231,6,7,10,40,1.2,14,30,60,17
232,6,7,10,40,1.2,14,30,60,20
233,6,7,10,40,1.2,17,22,40,17
234,6,7,10,40,1.2,17,22,40,20
235,6,7,10,40,1.2,17,22,60,17
236,6,7,10,40,1.2,17,22,60,20
