"","sim_id","HIV/TB_coinfection_Female","HIV/TB_coinfection_Male","TB_only_Female","TB_only_Male","total_mse"
"1",1216,17614.6280648001,378430.61993365,10282.147916654,35281.2463520063,441608.642267111
"2",1217,17185.8867303969,374720.292632072,10285.5417978092,35280.0525918396,437471.773752118
"3",1218,16811.7107535168,371612.244420474,10284.3602618622,35276.6333964315,433984.948832285
"4",1219,80599.2407331668,655556.052861503,10565.9424016096,36513.5638083486,783234.799804628
"5",1220,79400.3489363257,649663.634075825,10571.6146973549,36523.7845682849,776159.382277791
"6",1221,78281.8997992666,644228.98662824,10576.231135923,36531.406597661,769618.52416109
"7",1222,192526.19135547,936533.70031318,10849.2299713475,37743.5057121359,1177652.62735213
"8",1223,190915.122892844,929428.191382804,10851.682036299,37747.0900548963,1168942.08636684
"9",1224,189031.386306089,922246.982955037,10857.9632658588,37764.4135652251,1159900.74609221
"10",1225,60684.0929984861,541356.853324563,10603.4546887796,36699.9162243889,649344.317236217
"11",1226,59452.4826697619,536094.655584204,10607.2187899378,36704.079794248,642858.436838152
"12",1227,58848.553028551,532630.123930943,10605.827661455,36704.7710974007,638789.27571835
"13",1228,167514.799630076,844841.476382675,10913.4387293306,38034.6369244953,1061304.35166658
"14",1229,165713.168778459,837980.704807582,10916.51282311,38040.9203724536,1052651.3067816
"15",1230,163692.886861117,831095.988828819,10923.3640531396,38060.7902943175,1043773.03003739
"16",1231,313876.816986913,1144654.32590484,11191.5277958681,39276.4592060692,1508999.12989369
"17",1232,310890.914610124,1133842.6264001,11192.7287587811,39289.0473778039,1495215.31714681
"18",1233,310008.886271802,1129310.77672339,11195.6924813558,39303.229293375,1489818.58476992
"19",1234,145834.277979264,724361.048288392,10978.8359975255,38324.8959516261,919499.058216807
"20",1235,144554.654524208,719067.464037603,10976.4331267924,38326.4014485272,912924.953137131
"21",1236,142312.790202627,712628.592200202,10983.9660163596,38348.8297101367,904274.178129325
"22",1237,293143.983364538,1050830.01294697,11281.6253669158,39695.8691174836,1394951.4907959
"23",1238,289552.675526637,1040123.42010174,11284.0829480522,39715.881111231,1380676.05968766
"24",1239,288642.34782127,1035923.10758147,11286.3204160711,39726.2845173172,1375578.06033613
"25",1240,465652.644724697,1356119.30464781,11564.9156618753,41057.413021381,1874394.27805576
"26",1241,461711.185589362,1343857.79352295,11566.9255095867,41077.2413334488,1858213.14595534
"27",1242,456996.181887347,1333056.79988748,11575.2306159196,41111.8353107491,1842740.0477015
"28",1243,15154.1984014901,349251.489598809,4049.35920247672,15936.4115834881,384391.458786264
"29",1244,14744.3487343309,345449.247295189,4032.53433595787,15737.580589049,379963.710954527
"30",1245,14425.6614727072,342538.568762998,4014.09562396182,15552.0937228853,376530.419582552
"31",1246,66650.828245895,610231.97523947,4180.65500718273,15738.1604310575,696801.618923605
"32",1247,65400.1780149748,604125.612476625,4167.92121262059,15564.1187789055,689257.830483126
"33",1248,64477.2436453057,598950.35965457,4153.15835146255,15391.0541197884,682971.815771127
"34",1249,165869.957769123,875556.703555345,4326.60808043629,15677.1689116495,1061430.43831655
"35",1250,164921.570519095,870100.904219943,4308.88495176113,15499.3617930839,1054830.72148388
"36",1251,162238.066576654,860772.782114326,4302.29373645593,15361.9442289974,1042675.08665643
"37",1252,50082.8565823278,501529.27036461,4202.88919334264,15802.473656664,571617.489796944
"38",1253,49004.6449417706,496538.424989082,4187.97115343994,15621.8410534705,565352.882137763
"39",1254,47790.43115691,491342.431584794,4176.185148151,15452.8312701743,558761.879160029
"40",1255,143666.586563708,787501.720093503,4364.91998383989,15745.2602512476,951278.486892298
"41",1256,142303.542772496,781896.456097965,4347.23424768554,15566.0513616492,944113.284479796
"42",1257,140044.024494924,773992.789463621,4340.64449950894,15430.8547309027,933808.313188957
"43",1258,275831.235141853,1070680.37298808,4516.83202581184,15793.4927646551,1366821.9329204
"44",1259,273489.850355185,1062959.6152368,4502.65367537185,15634.5172243048,1356586.63649166
"45",1260,269856.557813253,1050842.10830554,4493.84792310519,15506.5649450948,1340699.078987
"46",1261,125023.027993884,672808.524130183,4406.21512867704,15834.9001564462,818072.66740919
"47",1262,123724.145149424,667523.225320931,4388.21413464089,15666.0237127393,811301.608317735
"48",1263,121520.609647128,660834.737312827,4377.33137790271,15511.0553268359,802243.733664694
"49",1264,256687.076754341,979293.07847825,4572.61249283199,15907.8518650895,1256460.61959051
"50",1265,253723.725168086,969368.858059422,4559.09801047449,15758.6812512115,1243410.36248919
"51",1266,250309.006665938,960671.423290477,4552.38287077149,15641.5424119074,1231174.35523909
"52",1267,414393.795322432,1268440.79104976,4741.3109896773,16122.2438232892,1703698.14118516
"53",1268,410529.296102966,1256331.63439719,4728.8466414563,15987.685750967,1687577.46289258
"54",1269,406277.329952618,1245640.14817537,4720.79077012138,15862.752737747,1672501.02163586
"55",1270,13939.9598965867,322953.249021044,3159.92339885795,26106.4362953141,366159.568611803
"56",1271,13602.0789227637,319368.8880291,3112.55483464912,25633.6710110001,361717.192797513
"57",1272,13266.1142575406,315451.673370572,3066.78625143876,25166.0349217564,356950.608801308
"58",1273,55147.3042267275,569378.677265942,2988.73517507963,23616.6400411384,651131.356708887
"59",1274,53973.0232431316,563351.286604806,2945.83403493879,23170.5844291499,643440.728312027
"60",1275,52947.7042365165,557785.032853837,2902.48601229274,22736.9377511317,636372.160853777
"61",1276,143088.338137162,820609.581860502,2859.10695828174,21482.6017376919,988039.628693639
"62",1277,142322.42220629,815509.832280647,2811.06861360123,21030.1332598066,981673.456360345
"63",1278,140354.756931807,807882.480316292,2772.37137425956,20627.4289948347,971637.037617193
"64",1279,41239.0150951787,464265.132385777,2989.26352788873,23466.2802938169,531959.691302662
"65",1280,40214.692281938,459334.732408535,2945.57994422631,23017.0442982663,525512.048932966
"66",1281,39188.2662892155,454470.61263669,2903.45847574097,22585.4671389041,519147.804540551
"67",1282,123556.358247168,736245.653762135,2843.06776243914,21184.9865679962,883830.066339738
"68",1283,122207.035452693,730659.320316358,2796.14381409456,20729.2191664103,876391.718749556
"69",1284,119837.150570464,722310.124412455,2762.66197749805,20356.3984092739,865266.335369692
"70",1285,242187.940350882,1002849.91824492,2737.11586728021,19265.9139305326,1267040.88839361
"71",1286,240474.366284051,996012.720127399,2692.83593915204,18839.8068868283,1258019.72923743
"72",1287,236982.229936999,984101.816666126,2662.55842488448,18500.959927064,1242247.56495507
"73",1288,107228.900250442,625809.35827396,2836.43560119014,20931.8374824611,756806.531608053
"74",1289,105273.579383546,618476.429965798,2795.10652425001,20504.3925896355,747049.508463229
"75",1290,104040.886127076,614515.403147563,2754.12048067598,20105.5716040563,741415.981359371
"76",1291,225645.599222671,915738.373838778,2723.02501701821,18870.5845449985,1162977.58262347
"77",1292,222752.094772854,905945.861972765,2684.38772404419,18474.5612937675,1149856.90576343
"78",1293,219471.278539568,897388.134564215,2652.91556149814,18135.5233070084,1137647.85197229
"79",1294,368775.748836371,1188203.04467904,2647.32315657444,17185.2383596406,1576811.35503162
"80",1295,366050.471776264,1179856.70452046,2605.09350330931,16784.6742322232,1565296.94403225
"81",1296,361634.945204453,1166632.4916721,2575.89546622985,16462.0626439154,1547305.3949867
"82",1297,33253.1535235436,481038.443212997,9198.2474691759,30730.2088380782,554220.053043795
"83",1298,32017.7416721127,473802.677901655,9202.39382776464,30718.8081872426,545741.621588775
"84",1299,31968.1369864975,472205.97910296,9205.95980719959,30710.7879286122,544090.86382527
"85",1300,130764.658483947,807843.276703057,9475.18002168854,31839.9152811071,979923.0304898
"86",1301,130029.941065203,802951.50869723,9472.09536776056,31822.4157490335,974275.960879227
"87",1302,127261.266161382,792491.887220107,9477.07996632549,31819.1162057253,961049.34955354
"88",1303,279868.325318531,1136463.28515515,9743.9641643197,32941.0803307937,1459016.65496879
"89",1304,278955.281847751,1129962.43535035,9740.42437150375,32926.5218898463,1451584.66345945
"90",1305,278373.249178014,1125184.33139464,9745.72734585774,32928.8403557364,1446232.14827424
"91",1306,102273.067132444,676731.244672645,9503.95567476659,32002.3576996399,820510.625179496
"92",1307,99945.9947006714,667886.487959813,9508.79655536567,31997.102299671,809338.381515521
"93",1308,99718.1445987935,665485.409839837,9512.87920924939,31993.5328952158,806709.966543095
"94",1309,249182.077635305,1034506.70374584,9798.40389150974,33198.9125656389,1326686.09783829
"95",1310,246291.029043,1026164.66788936,9804.61364222529,33203.7717939377,1315464.08236852
"96",1311,244531.78432888,1017902.75521018,9808.14332056091,33200.1118953902,1305442.79475501
"97",1312,436434.092778113,1383517.32089595,10068.0480018934,34336.0264942465,1864355.4881702
"98",1313,433341.185627014,1374265.34185466,10072.5105271358,34340.1968162031,1852019.23482502
"99",1314,431936.48796311,1367593.76616988,10078.2516268819,34348.34636633,1843956.85212621
"100",1315,218666.280893623,893801.606754733,9866.79330209191,33486.7640979993,1155821.44504845
"101",1316,217252.799927021,886868.976963156,9869.64480795406,33480.3274448338,1147471.74914296
"102",1317,214666.097730876,880105.584060795,9876.5889320805,33489.0022885278,1138137.27301228
"103",1318,409877.734293317,1276499.58596818,10155.38062584,34737.6582503111,1731270.35913765
"104",1319,408461.272461901,1270222.95876643,10160.0013875011,34742.466153104,1723586.69876893
"105",1320,403560.687788904,1256880.5742558,10165.1216606995,34748.6929558182,1705355.07666122
"106",1321,626096.340539744,1632089.79729027,10430.2049231874,35985.0265606728,2304601.36931388
"107",1322,621793.490001759,1621214.26120996,10435.4616256672,35996.5022828352,2289439.71512022
"108",1323,620145.341860756,1613832.94211512,10440.834951153,36008.5321817602,2280427.65110879
"109",1324,27199.1720763308,447621.585276518,3503.58730212047,15914.2732877095,494238.617942679
"110",1325,26377.2968821585,442633.296279971,3486.26521859631,15678.6157180609,488175.474098787
"111",1326,25544.8084605889,437102.753294926,3475.95513151386,15496.9355728927,481620.452459921
"112",1327,111678.693463855,756622.802249036,3594.35255902061,15356.8729357382,887252.72120765
"113",1328,111086.416387557,751942.149015067,3573.14614198001,15142.477697388,881744.189241992
"114",1329,109153.679449331,744885.598793134,3558.15582072181,14931.2797870188,872528.713850205
"115",1330,246857.960027381,1069225.59538738,3700.32734946702,14976.2715122826,1334760.15427651
"116",1331,244456.218406912,1060635.48425341,3685.18338546214,14779.8217628675,1323556.70780865
"117",1332,243442.962818519,1054571.01447894,3666.30682936515,14585.5938005458,1316265.87792737
"118",1333,85989.1084836219,629492.451110237,3612.4785245467,15380.2253884288,734474.263506834
"119",1334,85046.5647630394,624940.949642791,3591.61182484653,15161.2956562109,728740.421886888
