"","sim_id","HIV/TB_coinfection_Female","HIV/TB_coinfection_Male","TB_only_Female","TB_only_Male","total_mse"
"1",2431,11330.5539476638,288911.93045393,11207.3809151212,39323.268211994,350773.133528709
"2",2432,11076.3941733424,285814.818482241,11211.7258082257,39333.4662976894,347436.404761498
"3",2433,10858.3124192441,282304.788777102,11219.5062387248,39359.1437083997,343741.751143471
"4",2434,43518.297958065,517659.32258239,11511.9648451124,40718.4208834228,613408.00626899
"5",2435,42769.3397167862,513176.137254509,11521.1926446649,40747.1874444893,608213.85706045
"6",2436,41968.0272270166,508130.180157975,11524.1175676094,40762.1127472621,602384.437699864
"7",2437,122340.007673312,753160.078417951,11811.4531415432,42088.6255119596,929400.164744765
"8",2438,121846.093564317,749120.009698895,11811.2011640886,42101.4803584075,924878.784785709
"9",2439,120378.372377566,742851.061052,11818.5294394151,42132.3971991686,917180.360068149
"10",2440,31777.0035449322,421640.493401667,11548.1792179555,40905.5359997856,505871.21216434
"11",2441,30964.7454407875,417527.245270997,11553.262683748,40922.1563213993,500967.409716932
"12",2442,30103.2660044081,413032.037674294,11561.1285854357,40952.3678761712,495648.800140309
"13",2443,104095.162599875,675172.105737448,11874.2185414782,42384.734798895,833526.221677696
"14",2444,103066.610121909,670414.065068063,11876.9459307366,42411.8589091179,827769.480029827
"15",2445,101306.03264632,663864.567744192,11885.2746747876,42447.6868217627,819503.561887062
"16",2446,213191.541239952,926586.820710018,12171.1537237134,43772.0056152427,1195721.52128893
"17",2447,211906.258804689,920778.159453648,12174.0686911644,43803.2543067016,1188661.7412562
"18",2448,209298.043956409,912534.501196067,12182.8471907585,43843.769324639,1177859.16166787
"19",2449,88902.5150585183,572468.01488415,11942.0532028389,42691.8835527284,716004.466698236
"20",2450,87349.4420462307,567459.430692867,11945.3492085453,42722.2557040328,709476.477651676
"21",2451,85626.4686704147,561283.23461781,11956.0241968253,42754.9099420336,701620.637427084
"22",2452,197020.621590944,845231.990955173,12262.7300411617,44214.2749759144,1098729.61756319
"23",2453,194985.181657354,838835.064316605,12266.3617332286,44249.7130074787,1090336.32071467
"24",2454,192184.98075939,829152.627880014,12271.9949998502,44277.5085154245,1077887.11215468
"25",2455,330435.029647138,1102675.88544556,12559.0137208146,45699.2480460714,1491369.17685958
"26",2456,328288.738184021,1095555.93472182,12562.8774597236,45738.3945350354,1482145.9449006
"27",2457,324619.597298968,1085948.16968434,12572.4341473728,45785.8744274478,1468926.07555813
"28",2458,12286.44553351,261675.589539177,4548.29894416439,16072.6986444372,294583.032661288
"29",2459,12145.4377403419,258189.132874243,4539.83910963237,15929.1636922091,290803.573416426
"30",2460,11964.7579430078,255318.557171255,4529.28552880655,15789.5985436844,287602.199186754
"31",2461,33734.1508179299,474689.066377548,4727.33988785747,16239.0966159066,529389.653699242
"32",2462,33070.1798494642,470280.809453663,4718.36105761628,16093.9302908569,524163.280651601
"33",2463,32621.5255015831,466569.625059158,4703.5464209681,15962.0893988712,519856.786380581
"34",2464,100536.946421895,694767.461070936,4918.90700012829,16526.4715371952,816749.786030154
"35",2465,100007.06769174,690696.913390715,4902.69281499715,16383.6981678989,811990.372065351
"36",2466,98637.2220447017,684535.931224589,4896.46098605062,16276.6374857388,804346.25174108
"37",2467,25208.4553449588,384296.820871985,4755.17857158483,16347.1620244262,430607.616812955
"38",2468,24576.4797120833,381104.206317993,4737.85280224883,16188.6918258323,426607.230658157
"39",2469,23684.1788770365,375854.455529624,4736.34667798466,16081.9814216655,420356.962506311
"40",2470,84661.3851169612,619500.190620133,4965.24448080074,16660.5231794966,725787.343397392
"41",2471,83779.4822113479,615232.026239165,4949.26141186355,16517.5417472949,720478.311609672
"42",2472,82359.6477098813,609448.471354854,4943.02554209513,16409.8813961138,713161.026002944
