,year,gender,year_gender,hiv_incidence,PLHIV_2b_CD4_350_more,PLHIV_2a_CD4_350_less,PLHIV_2_CD4_200_more,PLHIV_3_CD4_200_less,art_coverage,hiv_prevalence,n1_prop,n2_prop,n3_prop,n4_prop,n2_prop_eligible,eta_24,eta_34
21,2000,Males,2000_Males,0.032107492,0.458106251,0.350624809,0.808731059,0.191268941,0,0.197168983,0.802831017,0.15945668,0.037712302,0,0,0,0
22,2001,Males,2001_Males,0.032530148,0.443197534,0.354290382,0.797487916,0.202512084,0,0.201500849,0.798499151,0.160694492,0.040806357,0,0,0,0
23,2002,Males,2002_Males,0.032839537,0.43283218,0.355473087,0.788305266,0.211694734,0,0.205174588,0.794825412,0.161740208,0.04343438,0,0,0,0
24,2003,Males,2003_Males,0.03304829,0.42550289,0.35548898,0.78099187,0.21900813,0,0.208274373,0.791725627,0.162660592,0.045613781,0,0,0,0
25,2004,Males,2004_Males,0.03307115,0.420044582,0.354994797,0.775039379,0.222566072,0.00239455,0.210909405,0.789090595,0.163463094,0.046941278,0.000505033,0,0,0.039219145
26,2005,Males,2005_Males,0.032789843,0.415123853,0.354135732,0.769259585,0.219617015,0.011123401,0.213219193,0.786780807,0.164020908,0.046826563,0.002371722,0,0,0.077905251
27,2006,Males,2006_Males,0.032173105,0.409335851,0.352720394,0.762056245,0.209711036,0.028232719,0.215335328,0.784664672,0.164097632,0.045158195,0.006079502,0,0,0.121614119
28,2007,Males,2007_Males,0.03127664,0.401669514,0.350408574,0.752078088,0.19418537,0.053736542,0.217347114,0.782652886,0.163462002,0.04220563,0.011679482,0,0,0.15287115
29,2008,Males,2008_Males,0.030271561,0.391841492,0.346924794,0.738766287,0.17781183,0.083421883,0.21927206,0.78072794,0.161990806,0.038989166,0.018292088,0,0,0.159090902
30,2009,Males,2009_Males,0.029253695,0.380522978,0.342314704,0.722837682,0.165452191,0.111710127,0.221012135,0.778987865,0.159755899,0.036566942,0.024689294,0,0,0.177647393
31,2010,Males,2010_Males,0.028173028,0.368502683,0.336754419,0.705257102,0.153640621,0.141102278,0.222472877,0.777527123,0.156900577,0.034180871,0.03139143,0,0,0.213384306
32,2011,Males,2011_Males,0.026525429,0.35586282,0.325121401,0.68098422,0.145129004,0.173886775,0.223674347,0.776325653,0.152318701,0.032461635,0.038894011,0.477428685,0.038104986,0.079812939
33,2012,Males,2012_Males,0.02419335,0.342229025,0.294339405,0.63656843,0.152012728,0.211418842,0.223613359,0.776386641,0.142345205,0.033992077,0.047276077,0.462384546,0.038801982,0.083917126
34,2013,Males,2013_Males,0.021863502,0.327175233,0.271623827,0.59879906,0.15232551,0.24887543,0.221983883,0.778016117,0.132923741,0.033813808,0.055246334,0.453614318,0.039981127,0.088139032
35,2014,Males,2014_Males,0.019662343,0.311039839,0.253518074,0.564557913,0.149200173,0.286241914,0.219101437,0.780898563,0.12369545,0.032689972,0.062716015,0.449055921,0.041835702,0.09316368
36,2015,Males,2015_Males,0.017422516,0.291381069,0.239708838,0.531089907,0.145149465,0.323760628,0.215239223,0.784760777,0.114311379,0.031241858,0.069685986,0.451352652,0.045051502,0.099814418
37,2016,Males,2016_Males,0.015195017,0.259831376,0.23279106,0.492622436,0.145202528,0.362175036,0.210284351,0.789715649,0.10359079,0.030533819,0.076159742,1,0.036818434,0.036818434
38,2017,Males,2017_Males,0.014019715,0.237798127,0.228395051,0.466193178,0.14814807,0.385658752,0.204258929,0.795741071,0.095224119,0.030260566,0.078774243,1,0.015081317,0.015081317
39,2018,Males,2018_Males,0.014019715,0.225411663,0.226429313,0.451840977,0.153235196,0.394923827,0.198233506,0.801766494,0.089570021,0.03037635,0.078287135,1,0.015081317,0.015081317
40,1980,Females,1980_Females,0.000675044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
41,1981,Females,1981_Females,0.001215079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
42,1982,Females,1982_Females,0.00183612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
43,1983,Females,1983_Females,0.002084536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
44,1984,Females,1984_Females,0.002729878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
45,1985,Females,1985_Females,0.006105098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
46,1986,Females,1986_Females,0.009480318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
47,1987,Females,1987_Females,0.012855538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
48,1988,Females,1988_Females,0.016230757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
49,1989,Females,1989_Females,0.020281021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
50,1990,Females,1990_Females,0.037127419,0.735907822,0.199432032,0.935339855,0.064660145,0,0.099433347,0.900566653,0.093003972,0.006429375,0,0,0,0
51,1991,Females,1991_Females,0.042877826,0.715549119,0.212489431,0.92803855,0.07196145,0,0.125575944,0.874424056,0.116539317,0.009036627,0,0,0,0
52,1992,Females,1992_Females,0.048259433,0.693443835,0.226050097,0.919493932,0.080506068,0,0.153506697,0.846493303,0.141148477,0.012358221,0,0,0,0
53,1993,Females,1993_Females,0.053197507,0.670510765,0.239462849,0.909973614,0.090026386,0,0.182350482,0.817649518,0.165934127,0.016416355,0,0,0,0
