"G_compartment","sex_name","year","expected_total_pop","expected_disease_pop","expected_non_disease_pop","expected_non_disease_mort_total","expected_non_disease_mort_rate","TB_compartment","HIV_compartment","hiv_adj","tb_adj","mort_rate"
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,4,1,1,1,0.00385925684980931
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,4,2,10,1,0.0385925684980931
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,4,3,20,1,0.0771851369961862
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,4,4,2.4,1,0.00926221643954235
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,5,1,1,1,0.00385925684980931
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,5,2,10,1,0.0385925684980931
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,5,3,20,1,0.0771851369961862
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,5,4,2.4,1,0.00926221643954235
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,6,1,1,20,0.0771851369961862
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,6,2,10,5,0.192962842490466
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,6,3,20,5,0.385925684980931
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,6,4,2.4,12.5,0.115777705494279
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,7,1,1,1,0.00385925684980931
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,7,2,10,1,0.0385925684980931
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,7,3,20,1,0.0771851369961862
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,7,4,2.4,1,0.00926221643954235
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,8,1,1,1,0.00385925684980931
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,8,2,10,1,0.0385925684980931
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,8,3,20,1,0.0771851369961862
2,"female",1990,10420888.6877222,180479.502444187,10240409.185278,39520.3692931345,0.00385925684980931,8,4,2.4,1,0.00926221643954235
2,"female",1991,10701066.5111206,226323.2627471,10474743.2483735,38798.0762583742,0.00370396441596777,1,1,1,1,0.00370396441596777
2,"female",1991,10701066.5111206,226323.2627471,10474743.2483735,38798.0762583742,0.00370396441596777,1,2,10,1,0.0370396441596777
2,"female",1991,10701066.5111206,226323.2627471,10474743.2483735,38798.0762583742,0.00370396441596777,1,3,20,1,0.0740792883193554
2,"female",1991,10701066.5111206,226323.2627471,10474743.2483735,38798.0762583742,0.00370396441596777,1,4,2.4,1,0.00888951459832265
2,"female",1991,10701066.5111206,226323.2627471,10474743.2483735,38798.0762583742,0.00370396441596777,2,1,1,1,0.00370396441596777
2,"female",1991,10701066.5111206,226323.2627471,10474743.2483735,38798.0762583742,0.00370396441596777,2,2,10,1,0.0370396441596777
2,"female",1991,10701066.5111206,226323.2627471,10474743.2483735,38798.0762583742,0.00370396441596777,2,3,20,1,0.0740792883193554
2,"female",1991,10701066.5111206,226323.2627471,10474743.2483735,38798.0762583742,0.00370396441596777,2,4,2.4,1,0.00888951459832265
2,"female",1991,10701066.5111206,226323.2627471,10474743.2483735,38798.0762583742,0.00370396441596777,3,1,1,1,0.00370396441596777
2,"female",1991,10701066.5111206,226323.2627471,10474743.2483735,38798.0762583742,0.00370396441596777,3,2,10,1,0.0370396441596777
2,"female",1991,10701066.5111206,226323.2627471,10474743.2483735,38798.0762583742,0.00370396441596777,3,3,20,1,0.0740792883193554
2,"female",1991,10701066.5111206,226323.2627471,10474743.2483735,38798.0762583742,0.00370396441596777,3,4,2.4,1,0.00888951459832265
