sim_id,HIV_neg_female_mse,HIV_neg_male_mse,HIV_pos_female_mse,HIV_pos_male_mse,tb_mort_mse_total,hiv_prev_mse_male,hiv_prev_mse_female,hiv_prev_mse,max_perc_diff_male,max_perc_diff_female,b1_contact,b2_contact,hiv2_mort,hiv3_mort,hiv4_mort,tb_hiv1_mort,tb_hiv2_mort,tb_hiv3_mort,tb_hiv4_mort,tbmort_rank_total,tbmort_HIV_neg_male,tbmort_HIV_neg_female,tbmort_HIV_pos_male,tbmort_HIV_pos_female
3872,3291.983151,7962.37147,26616.09873,62864.82519,100735.2785,205721284.1,24945057.12,230666341.3,0.039633732,0.020987887,10,8,8,35,1.5,17,30,60,20,331,10,37,657,179
4623,3137.793726,8161.477586,22661.83846,43613.64142,77574.75119,199966950.4,28234082.11,228201032.5,0.039321024,0.022894622,11,7,8,35,1.2,17,30,60,17,112,21,3,490,70
4624,3127.746345,8126.805578,24093.4831,45151.22661,80499.26164,200424272.8,27753963.17,228178236,0.039328103,0.022608278,11,7,8,35,1.2,17,30,60,20,149,14,1,508,117
4639,3144.954441,8169.683255,22645.86427,43537.6744,77498.17636,201570317.9,26686972.5,228257290.4,0.039339675,0.021924018,11,7,8,35,1.5,17,30,60,17,110,25,4,489,69
4640,3134.893827,8135.018013,24068.57106,45062.47122,80400.95412,202032180,26228585.23,228260765.3,0.039346746,0.021639262,11,7,8,35,1.5,17,30,60,20,147,16,2,507,116
5388,3183.723619,8806.532572,46755.38808,25613.6089,84359.25317,185757915.1,32800823.43,218558738.5,0.038123949,0.024707635,12,6,8,35,1.2,17,22,60,20,203,97,9,218,426
5389,3183.183023,8859.496844,68495.59512,21859.75196,102398.0269,184738326.5,34653168.01,219391494.5,0.038073498,0.02552308,12,6,8,35,1.2,17,30,40,17,344,107,8,96,582
5390,3174.218815,8830.244873,66932.3643,22172.34065,101109.1686,185183775.4,34084258.99,219268034.4,0.038081121,0.025232869,12,6,8,35,1.2,17,30,40,20,338,100,5,102,578
5392,3178.229967,9257.353322,30241.01594,33807.88759,76484.48682,197107615.6,29069293.48,226176909.1,0.039055513,0.02328519,12,6,8,35,1.2,17,30,60,20,86,155,6,374,240
5406,3180.767077,8837.542285,66928.62793,22138.78651,101085.7238,186704336.2,32287053.85,218991390.1,0.038099983,0.024250258,12,6,8,35,1.5,17,30,40,20,337,101,7,101,577
5408,3184.09532,9263.393622,30225.94268,33743.54959,76416.98121,198697276,27480643.14,226177919.2,0.039074253,0.022311593,12,6,8,35,1.5,17,30,60,20,85,158,10,373,239
5519,3351.048842,7822.892476,31501.45373,79007.196,121682.591,205655220.6,25706375.88,231361596.5,0.039798658,0.021885938,12,7,8,35,1.2,17,30,60,17,448,7,61,754,262
5520,3337.825673,7770.180033,35113.42656,81508.76409,127730.1964,206167849.2,25216191.53,231384040.7,0.039806382,0.021574045,12,7,8,35,1.2,17,30,60,20,466,5,53,768,314
5535,3360.720414,7835.433954,31474.97118,78895.55631,121566.6819,207287309.5,24265351.5,231552661,0.039817028,0.02092242,12,7,8,35,1.5,17,30,60,17,445,8,66,753,260
5536,3347.483204,7782.745257,35072.82652,81379.28186,127582.3369,207804646.6,23798497.27,231603143.8,0.039824744,0.020612248,12,7,8,35,1.5,17,30,60,20,465,6,59,767,313
5639,3239.82742,7614.652596,121405.2322,199181.5061,331441.2184,220757121.6,22556778.71,243313900.3,0.040918026,0.019813704,12,8,8,35,1.2,14,30,60,17,970,3,28,1193,836
5640,3228.258819,7568.016437,130078.1314,203848.6372,344723.0439,221392124.8,22067390.11,243459514.9,0.040926089,0.01944856,12,8,8,35,1.2,14,30,60,20,994,1,21,1204,870
5655,3248.055495,7624.864681,121350.9559,198986.197,331210.0731,222449748.6,21330780.2,243780528.8,0.040935513,0.018863508,12,8,8,35,1.5,14,30,60,17,969,4,30,1191,835
5656,3236.473387,7578.241221,129997.8751,203624.3416,344436.9313,223090493.4,20867405.37,243957898.8,0.040943571,0.018500203,12,8,8,35,1.5,14,30,60,20,993,2,25,1203,869
