"range_indicator","gender_name","incidence_in_year_per_100K_gender"
"max","female",2507.15184042764
"max","male",1874.75151822115
"mean","female",2150.86777870269
"mean","male",1596.89999006399
"min","female",1682.15276316768
"min","male",1228.65371408655
