"range_indicator","gender_name","prevalence_per_100K_gender"
"max","female",3834.70651002058
"max","male",2759.56036007168
"mean","female",3305.09870928267
"mean","male",2366.63109642604
"min","female",2613.19300621718
"min","male",1850.85726160888
